specimen_number,id,date_new,year,month,day,DOY,sub_sp,repro,county,locality,habitat,elev_m,lat,long,error_dist_m,georef_by,georef_notes,source
SD00010465,500051,1935-04-17,1935,4,17,107,,FFL,San Diego,2 miles east of Banner,,,33.08232,-116.51855,805,,,cch2
SD00010615,500046,1935-02-27,1935,2,27,58,integrifolia,FL,San Diego,"Bluff on San Marcos Creek, near Green Valley School",,,33.0857,-117.2639,3218,,,cch2
SD00010642,500223,2007-05-11,2007,5,11,131,integrifolia,FL,San Diego,"Ramona, ca 3.5 mi NW of, NE of San Pasqual Valley Road, on Lower Isabel Creek Rd.","n facing roadcut 30*,sand, decomposing granite",239,33.08972,-116.89472,,,,cch2
SD00010574,500044,1935-02-20,1935,2,20,51,integrifolia,FL,San Diego,"Springhill, near Ramona",,,33.09021,-116.79119,805,,,cch2
SD00010659,500192,2005-02-13,2005,2,13,44,integrifolia,FL,San Diego,0.5 mile SE of entrance to Inaja picnic area on Highway 78/79 between Santa Isabel and Wynola,"granitic: on steep, damp, west-facing slope near canyon rim",1060,33.0971,-116.6592,,,,cch2
SD00010533,500183,2004-07-05,2004,7,5,187,integrifolia,FFL,San Diego,"in seasonal creek bed in oak woodland, .5 mile E of Inaja picnic area, ca 500 ft South of Hwy. 78/79","sandy, granitic",940,33.1022,-116.6607,,,,cch2
SD00010518,500339,2012-04-29,2012,4,29,120,integrifolia,FFL,San Diego,"Cleveland National Forest, Pamo Valley, Santa Ysabel Creek, along Forest route 12504 1/4 mile west of intersection with Pamo Valley Rd.","Granite boulders, D.G. soil, north facing moderate slope",280,33.105,-116.86028,,,,cch2
SD00010645,500216,2002-03-01,2002,3,1,60,integrifolia,FL,San Diego,"San Diego Wild Animal Park, Conservation Area. In the northeast corner of the grounds near 'Condor Release Pens', approx. 1½ mi NW of the intersection of Rockwood Canyon and San Pasqual Valley Rd.",Decomposed granite and granitic based soils.,340,33.1061,-116.9814,,,,cch2
SD00010621,500262,2009-04-26,2009,4,26,116,integrifolia,FL,San Diego,North of Julian. Volcan Mountain Open Space Preserve. 583 meters north east of intersection of Farmer and Wynola Road.,Disturbed area along trail on west facing moderate slope,1350,33.1071,-116.5978,,,,cch2
SD00010641,500224,2007-03-18,2007,3,18,77,integrifolia,FL,San Diego,"City of Escondido, 750 Feet South of Rockwood and Old Ranch Road intersection, 800 feet east of Rancho San Pasqual Union school, north-west facing, 5% slope",granitic soil,478,33.10972,-117.00722,,,,cch2
SD00010523,500333,1993-06-01,1993,6,1,152,integrifolia,FFL,San Diego,"Volcan Mountains, north of Julian. Near road fork between Ferguson and Simmons Flats.",,1606,33.1151,-116.58333,,,,cch2
SD00010648,500217,2005-05-27,2005,5,27,147,integrifolia,FFL,San Diego,"Volcan Mountains, San Felipe Valley Wildlife Area, approx. ½ mi E of Ferguson Flat. On steep slope far above outlet of Arkansas Cyn. East facing slope, 25-35 degrees.",loose fine-grained loamy sand,1210,33.1233,-116.5725,,,,cch2
SD00010513,500348,2008-03-15,2008,3,15,75,integrifolia,FFL,San Diego,"City of Escondido, San Pasqual Valley, Rancho San Pasqual, 200 m north east of Orchard View and Old Ranch Road Intersection, 300 m north west of Ranchview Place and Rosewood Intersection, top of hill","Decomposed Granite, slight slope, north facing.",217,33.12421,-117.0055,,,,cch2
SD00010433,500344,2012-04-18,2012,4,18,109,menziesii,FFL,San Diego,"Arkansas Canyon, NE-flank of Volcan Mountain. San Felipe Valley Wildlife Area, California Fish & Game property. 5.7 air miles NW of intersection of State hwy. 78 and County Road S-2.","Near end of access road. SE-facing slope of canyon, fine sandy soil and rocks.",980,33.12596,-116.5638,,,,cch2
SD00010514,500351,1994-02-28,1994,2,28,59,integrifolia,FFL,San Diego,"San Felipe Valley, east of S-2, north of Sissors Crossing. Grid I-21.",,764,33.12723,-116.51955,,,,cch2
SD00010522,500334,1993-05-25,1993,5,25,145,integrifolia,FFL,San Diego,"Volcan Mountains, north of Julian. Near road, extension of Farmer (Volcan) Road, Rutherford Ranch.",,1603,33.13311,-116.58407,,,,cch2
SD00010571,500053,1935-05-08,1935,5,8,128,integrifolia,FFL,San Diego,5 mi. south of Mesa Grande on Black Cañon Road,,,33.13604,-116.79118,805,,,cch2
SD00010448,500203,1997-02-24,1997,2,24,55,menziesii,FL,San Diego,"San Felipe Valley, approx 5.0 air miles NW of intersection of State Hwy 78 and County Hwy S-2 within the San Felipe Valley Wildlife Area, California Dept. of Fish & Game. 200 feet E of S-2 at SW corner of property.",NW-facing slope among rocks in course sandy loam.,831,33.1403,-116.5297,,,,cch2
SD00010512,500349,2009-05-12,2009,5,12,132,integrifolia,FFL,San Diego,Julian; Rutherford Ranch; Volcan Mtns.; 2.71 miles N of junction Farmer Rd. & Wynola Road; Hunter's Camp area; near Santa Ysabel Crk.,Crouch coarse sandy loam.,1549,33.14194,-116.6025,,,,cch2
SD00010446,500227,2005-03-15,2005,3,15,74,menziesii,FL,San Diego,"Ranchita, 1 mi S of junction of Montezuma Valley Rd (S22) and Wilson Rd, 7 mi NW of junction of HWY 78 and San Felipe Rd (S2)","Full sun, gentle, SW facing slope, granitic, sandy soil",1223,33.19458,-116.50812,,,,cch2
SD00010624,500268,2009-04-29,2009,4,29,119,integrifolia,FL,San Diego,"Mesa Grande, Nature Conservancy (Wheatly Property), 2 miles W of Morettis Junction (Pala Road & Hwy 79) E of Mesa Grande Road, 2.5 miles S of dam at Lake Henshaw",granitic substrates,1079,33.19901,-116.75103,,,,cch2
SD00010517,500340,2010-04-16,2010,4,16,106,integrifolia,FFL,San Diego,"Cleveland National Forest, west side of Mesa Grande Road, North slope of the ridge above the Patton lode mine along the fence line of private property east of National Forest land.","fairly steep North slope with granite boulders, seeps.",860,33.20222,-116.81806,,,,cch2
SD00010463,500056,1936-04-14,1936,4,14,105,,FL,San Diego,Montezuma Valley,,,33.21113,-116.52236,4023,,,cch2
SD00010467,500078,1941-04-29,1941,4,29,119,,FFL,San Diego,Fresh burn at Montezuma View Point,,,33.21145,-116.5124,805,,,cch2
SD00010435,500342,2014-04-11,2014,4,11,101,menziesii,FFL,San Diego,"Anza-Borrego Desert State Park, Chimney Spring Drainage, 6.14 air miles SW of Borrego Springs and .75 air mile NW of intersection of Old Culp Valley Road and County Hwy. S-22.",Boulders and sand.,1021,33.21246,-116.46545,,,,cch2
SD00010431,500346,2009-04-04,2009,4,4,94,menziesii,FL,San Diego,Warner Springs; Northeast facing slope along Pacific Crest Trail; 0.38 mile SE of Barrel Spring trailhead off of Montezuma Rd.,"rocky, decompsing granite",1097,33.2131,-116.583,,,,cch2
SD00010443,500271,2010-05-01,2010,5,1,121,menziesii,FFL,San Diego,"Valle de San Jose, NW-side of San Felipe Hills. Pacific Crest Trail trailhead S-side of County Road S-22 (Montezuma Valley Road)1.1 miles ESE of intersection of S-22 and S-2 near Barrel Spring.","in clearing, decomposed granite substrate.",1053,33.2163,-116.58797,,,,cch2
SD00010464,500077,1941-04-29,1941,4,29,119,,FFL,San Diego,Near junction San Felipe & Montezuma roads,,,33.22157,-116.60615,402,,,cch2
SD00010432,500345,2015-03-23,2015,3,23,82,menziesii,FL,San Diego,Anza-Borrego Desert State Park; head of South Fork Hellhole Canyon; 6.16 air miles SW of Borrego Springs; 0.91 air mile NW of intersection of County Hwy. S-22 and Culp Valley Campground/Pena Spring Primitive Road.,"Boulders, rocks, gravel, and sand.",1109,33.22449,-116.47383,,,,cch2
SD00010622,500261,2009-04-04,2009,4,4,94,integrifolia,FL,San Diego,"Cleveland National Forest, Temescal Valley, ¾ mi N of Esmeralda Mine, 3¾ mi SW of Lake Henshaw Dam, along Lusardi Canyon Truck Trail 1/4 mile S of the divide and bench mark 3041",Granite boulders with decomposed granite and clay soil,849,33.22695,-116.82572,,,,cch2
SD00010458,500204,2006-05-04,2006,5,4,124,menziesii,FFL,San Diego,"Between Warner Springs and Ranchita on Vista Irrigation District land. South of S-2 (San Felipe Road), approx. 2½ mi SE of its junction with SR-79.",Granitic soils.,980,33.2299,-116.6437,,,,cch2
SD00010461,500113,1920-04-14,1920,4,14,105,,FL,San Diego,Warner Ranch,,,33.24254,-116.6653,2414,,,cch2
SD00010561,500047,1935-03-13,1935,3,13,72,integrifolia,FL,San Diego,"Moosa Canyon, north of Escondido",,,33.25052,-117.12968,9654,,,cch2
SDSU12385,386734,1996-04-25,1996,4,25,116,integrifolia,,San Diego,"Ca. 100 yards west of San Luis Rey River Picnic Area, 30 yards south of river, ca. 2 miles west of Lake Henshaw, Cleveland National Forest.","sandy loam soil. flat, partly shaded. small clearing in Quercus agrifolia woodland.",780,33.25528,-116.79667,,,,cch2
SD00010575,500067,1938-04-26,1938,4,26,116,integrifolia,FFL,San Diego,Cedar Creek Bridge,,,33.27763,-116.85549,402,,,cch2
SD00010451,500266,2009-04-22,2009,4,22,112,menziesii,FL,San Diego,"Warner Springs Ranch, about ½ mi NE of Warner Springs, northeast of horse barn on hiking trail going northeast uphill.",,969,33.2878,-116.6319,,,,cch2
SD00010560,500073,1939-05-09,1939,5,9,129,integrifolia,FFL,San Diego,1st year burn in Chaparral near Lilac,,,33.28781,-117.08392,1609,,,cch2
SD00010614,500076,1940-05-22,1940,5,22,143,integrifolia,FFL,San Diego,Near Eagles' Nest Hot Springs Mt.,,,33.28809,-116.59418,805,,,cch2
SD00010453,500251,2010-05-26,2010,5,26,146,menziesii,FFL,San Diego,Eagles Nest: Fletcher Family Ranch; E of Warner Springs on the SW side of Hot Springs Mountain; at the end on Eagles Nest Road; along dirt road loop ENE of lake,granitic substrates,1435,33.28965,-116.58698,,,,cch2
SDSU15375,389691,1998-03-21,1998,3,21,80,integrifolia,,San Diego,UTM-Easting: 472886.41; UTM-Northing: 3685540. Training Area: JULIETT RANGE 403. LTETM PLOT: 85. LTETM Unknown code: F04.,Coastal sage scrub.,121,33.31028,-117.29139,805,,,cch2
SD00010434,500343,2009-04-04,2009,4,4,94,menziesii,FL,San Diego,Cleveland National Forest; Warner Springs; N facing shoulder of Lost Creek Road; vicinity of 2 miles NNE of junction Lost Creek Road and Highway 79,decompsing granite,1094,33.3111,-116.6421,,,,cch2
SD00010473,500177,2004-05-02,2004,5,2,123,menziesii,FL,San Diego,"Palomar Mountain Divide Truck Trail, South of Highway 79, nearest town is Oak Grove.","Granitic, disturbed roadside.",1376,33.3167,-116.7353,,,,cch2
SD00010649,500210,2006-04-29,2006,4,29,119,integrifolia,FL,San Diego,"Palomar Mountain (Birch Hill area), Cleveland National Forest, Observation Pointe Development, 400 feet W of Conifer Rd, 1.5 miles N of its junction with S-7 (East Grade Road).",granitic,1693,33.318600000000004,-116.8453,,,,cch2
SD00010447,500214,2005-04-24,2005,4,24,114,menziesii,FFL,San Diego,Aguanga Mountain; Palomar Mountain Divide Truck Trail; Maple Lode Mine; 2½ mi SW of Holcomb Village,Granitic roadcut; North facing slope,1250,33.3205,-116.7428,,,,cch2
SD00010608,500072,1938-08-06,1938,8,6,218,integrifolia,FFL,San Diego,"Chimney Creek, Palomar Mountain.",,,33.32563,-116.89086,805,,,cch2
SD00010472,500120,1969-04-10,1969,4,10,100,menziesii,FL,San Diego,Palomar Mountain State Park. On open slope se workshop reservoir.,,1630,33.33027,-116.89894,241,,,cch2
SD00010471,500160,1991-04-22,1991,4,22,112,menziesii,FL,San Diego,"NE side of Aguanga Mountain, mouth of Blue Canyon, 6.75 mi. NW of Warner Springs P.O. by way of Calif. Hwy. 79.","Loamy, north-facing tributary",930,33.33144,-116.71249,241,,,cch2
SD00010540,500081,1945-06-14,1945,6,14,165,integrifolia,FFL,San Diego,Palomar.,,,33.33502,-116.86051,,,,cch2
SD00010655,500188,2002-03-21,2002,3,21,80,integrifolia,UNK,San Diego,Palomar State Park on west facing slope approximately 300 meters west of Boucher Hill.,,1585,33.33556,-116.92194,,,,cch2
SD00010456,500234,2007-04-22,2007,4,22,112,menziesii,FFL,San Diego,"Warner Springs, Cleveland National Forest, Lost Valley Road 3.8 mi N of Warner Springs (Hwy 79), 3 mi S of Chihuahua Valley Road","Granitic, sandy, dry wash",1168,33.34201,-116.64702,,,,cch2
SD00010613,500055,1935-07-10,1935,7,10,191,integrifolia,FFL,San Diego,Near Wyss Ranch on Palomar Mt.,,,33.34371,-116.9104,,,,cch2
SD00010583,500276,2009-06-18,2009,6,18,169,integrifolia,FL,San Diego,"Palomar Mountain State Park, Fry Creek campground, 2.7 mi. north of the summit of the south Palomar grade, E of Canfield Road",Narrow ravine with numerous granitic outcrops.,1528,33.3447,-116.868,,,,cch2
SD00010444,500273,2010-05-01,2010,5,1,121,menziesii,FL,San Diego,"Aguanga Mountain, Cleveland National Forest, along Palomar Mountain Divide Truck Trail, near 5.5 air miles WNW of junction with Highway 79.",Granitic,1629,33.34685,-116.79642,,,,cch2
SD00010637,500235,2009-06-02,2009,6,2,153,integrifolia,FFL,San Diego,Palomar Mountains: Cleveland National Forest; northeast of Upper Doane Valley; northwest of Fry Creek Campground,mostly granitic substrates,1600,33.3472,-116.89388,,,,cch2
SD00010587,500258,1997-04-08,1997,4,8,98,integrifolia,FL,San Diego,Wilderness Gardens Preserve; ca. 3.4 miles east of Pala south of Highway 76 along the San Luis Rey River.,Alluvial substrate with sandy loam soil in the river bottom and granitic and or gabbroic substrates with sandy or clay soils on the surrounding slopes.,162,33.35028,-117.03278,241,,,cch2
SD00010588,500256,2008-06-07,2008,6,7,159,integrifolia,FL,San Diego,"Warner Springs, northbound Pacific Crest Trail, 6 miles from Lost Valley Rd. trailhead, 200 yards east of trail, along west bank of dry tributary to Agua Caliente Creek",Granitic soil,1473,33.35487,-116.60481,,,,cch2
SD00010470,500149,1985-04-26,1985,4,26,116,menziesii,FL,San Diego,"oak woodland, Puerta la Cruz Road, Cleveland Nat. Forest.",,1160,33.35759,-116.67206,241,,,cch2
SD00010585,500274,2010-05-31,2010,5,31,151,integrifolia,FL,San Diego,Cleveland National Forest; Puerta La Cruz Road; 2 miles SE Mitchell Camp Road and Chihuahua Valley Road; 5.7 miles N of Warner Springs and Hwy 79,,1168,33.36112,-116.67281,,,,cch2
SD00010579,500312,2015-02-24,2015,2,24,55,integrifolia,FL,San Diego,Camp Pendleton: east-central portion of Base; India Training Area; north of Lake O'Neill; east of the Santa Margarita River; on a rocky slope just east of De Luz Road along the Fallbrook Weapons Station border,,105,33.36227,-117.31402,,,,cch2
SDSU06129,380534,1944-05-22,1944,5,22,143,integrifolia,,San Diego,Palomar,,,33.36337,-116.83613,3218,,,cch2
SD00010542,500032,1925-05-25,1925,5,25,145,integrifolia,FFL,San Diego,Palomar Mountain.,,1585,33.36337,-116.83613,3218,,,cch2
SD00010543,500063,1937-05-15,1937,5,15,135,integrifolia,FFL,San Diego,Palomar.,,,33.36337,-116.83613,,,,cch2
SD00010584,500275,2010-05-08,2010,5,8,128,integrifolia,FL,San Diego,Cleveland National Forest; Puerta La Cruz Road; 1.75 miles SE Mitchell Camp Road and Chihuahua Valley Road; 6 miles N of Warner Springs and Hwy 79,,1182,33.36474,-116.67411,,,,cch2
SD00010437,500281,2010-04-14,2010,4,14,104,menziesii,FL,San Diego,"Cleveland National Forest; Puerta La Cruz Road; 1.4 miles SE Mitchell Camp Road and Chihuahua Valley Road at small, dry riverbed that crosses the road.",,1206,33.36631,-116.67929,,,,cch2
SD00010454,500245,2009-05-03,2009,5,3,123,menziesii,FL,San Diego,"SW of Oak Grove, Rattlesnake Canyon, Cleveland National Forest, at bottom of canyon",Granitic; rocky canyon with seasonal Rattlesnake Creek,961,33.36972,-116.78611,,,,cch2
SD00010441,500277,2010-05-08,2010,5,8,128,menziesii,FL,San Diego,Cleveland National Forest; Puerta La Cruz Road; about 1 mile SE Mitchell Camp Road and Chihuahua Valley Road; south-east of the junction with Puerta La Cruz Trail.,,1326,33.3711,-116.68994000000001,,,,cch2
SD00010445,500284,2011-05-08,2011,5,8,128,menziesii,FL,San Diego,"Chihuahua Valley Road, 1.1 mile E of intersection with Highway 79.",Granitic; roadcut in steeply sloping mountainside.,1048,33.37167,-116.72833,,,,cch2
SD00010452,500264,2008-04-06,2008,4,6,97,menziesii,FL,San Diego,"South of Oak Grove. 25249 Oak Grove Truck Trail, ca. 1 mile S of its intersection with Highway 79, east facing slope west of road.",Granitic,915,33.3736,-116.784,,,,cch2
SD00010438,500280,2010-04-14,2010,4,14,104,menziesii,FL,San Diego,"Cleveland National Forest; along Chihuahua Valley Road, 1.5 miles SW of junction with Mitchell Camp Road at large pullout area northwest of U-curve in the road.",,1216,33.37634,-116.71033,,,,cch2
SD00010576,500037,1878-04-01,1878,4,1,91,integrifolia,FL,San Diego,Fallbrook,,,33.37642,-117.25115,4827,,,cch2
SD00010521,500335,2017-03-14,2017,3,14,73,integrifolia,FFL,San Diego,"Fallbrook Naval Weapons Station: west of Fallbrook; North Magazine, north of Ammunition Road; northwestern part of station; on the northwestern slope of the highest peak on the station",,245,33.38229,-117.28723,,,,cch2
SD00010490,500125,1941-03-06,1941,3,6,65,,FL,Los Angeles,Santa Catalina Island; Middle Ranch Canyon.,,300,33.3842,-118.3842,,,,cch2
SD00010462,500054,1935-05-08,1935,5,8,128,,FFL,San Diego,Chihuahua Valley,,,33.38516,-116.67809,2011,,,cch2
SD00010439,500279,2010-05-20,2010,5,20,140,menziesii,FL,San Diego,Northern San Diego County; along Old Mitchell Camp Road 0.17 mile N of junction with Chihuahua Valley Road,,1269,33.38696,-116.68639,,,,cch2
SD00026562,3641150,2017-03-02,2017,3,2,61,integrifolia,FFL,San Diego,"Fallbrook Naval Weapons Station: west of Fallbrook; North Magazine, north of Ammunition Road; northern part of station River Road, on north-facing slopes",mostly granitic substrates,117,33.38966,-117.27513,,,,cch2
SD00010628,500249,2010-07-08,2010,7,8,189,integrifolia,FFL,San Diego,Cleveland National Forest: Cutca Valley on the lower northern slope of Palomar Mountain; along Cutca Valley Truck Trail,mostly granitic substrates,1060,33.39034,-116.91667,,,,cch2
SD00010617,500155,1972-04-16,1972,4,16,107,integrifolia,FL,San Diego,Cutca Valley,,1050,33.39303,-116.91633,805,,,cch2
SD00010436,500319,2011-05-09,2011,5,9,129,menziesii,FL,San Diego,Chihuahua Valley; along Old Mitchell Camp Road; 0.70 mile N of Chihuahua Valley Road,,1275,33.39447,-116.68579,,,,cch2
SD00010609,500074,1940-03-30,1940,3,30,90,integrifolia,FL,San Diego,Hormiguero Ranch,,,33.39493,-117.0338,1609,,,cch2
SD00010440,500278,2010-06-01,2010,6,1,152,menziesii,FL,San Diego,"Chihuahua Valley, Adobe Springs, creekside, ca 1 mile NW of intersection Chihuahua Valley Road and Old Mitchell Camp Road, now under BLM management and slated to be part of the Beauty Mountain Wilderness Area.",Granitic,1225,33.39556,-116.70111,,,,cch2
SD00010632,500246,2008-03-18,2008,3,18,78,integrifolia,FFL,San Diego,Northeast of Fallbrook. On the south side of the Santa Margarita River at the Willow Glen and North Stagecoach trailhead. Which is about 1.6 miles northwest (by air) of Red Mountain Lookout,,139,33.41306,-117.21389,,,,cch2
SD00010559,500075,1940-04-18,1940,4,18,109,integrifolia,FL,San Diego,Herron Ranch near DeLuz,,,33.43751,-117.32043,,,,cch2
SD00010529,500295,2014-04-08,2014,4,8,98,integrifolia,FFL,San Diego,"Camp Pendleton: northeast portion of Base; Training Area Echo, along a dirt road at the base of the highest ridge of the Santa Margarita Mountains, just northeast of Case Springs Road, west of Margarita Peak & southeast of Case Springs Lake",,725,33.44083,-117.40063,,,,cch2
SD00010546,500163,1995-05-04,1995,5,4,124,integrifolia,FFL,Riverside,"Cleveland Nat'l Forest, Agua Tibia Wilderness Area. N slope of Agua Tibia Mtn., E of Dripping Springs Alcove Area, N of Woodchuck Trail.",Granitic substrate with a decomposed granitic soil; aspect NE; slope 55%.,610,33.45,-116.95,,,,cch2
SD00010567,500161,1971-03-16,1971,3,16,75,integrifolia,FL,San Diego,½ mile NW of Margarita Peak,"Shaded, grassy area",800,33.45129,-117.39809,402,,,cch2
SD00010618,500162,1992-05-06,1992,5,6,127,integrifolia,FFL,San Diego,"So. Santa Ana Mts, San Mateo Cyn Wilderness Area. S side of Miller Mt along 'Miller Canyon', the major drainage on the southern flank of the mountain, from Road 8S02 upstream to the area of contact between lower granitic and higher basaltic rocks.",Granitic & basaltic rocks,640,33.49225,-117.38606,402,,,cch2
SD00010503,500040,1882-04-24,1882,4,24,114,,FL,Riverside,Temecula,,,33.4956,-117.1493,,,,cch2
SD00010484,500042,1882-04-24,1882,4,24,114,,FL,Riverside,Temecula,,,33.4956,-117.1493,,,,cch2
SD00010475,500313,2013-03-19,2013,3,19,78,,FFL,Riverside,"Perris-Aguanga Basin: Menifee Valley, Los Alamos Road at its crossing of Warm Springs Creek, and hill west of Jeanette Drive (Murrieta 7.5'Q)",,390,33.59833,-117.14194,,,,cch2
RSA0059611,1125058,1917-04-04,1917,4,4,94,,,Riverside County,Palm Canyon,under shrub.,762,33.6698,-116.5157,1000,,,cch2
SD00010510,500213,2000-04-12,2000,4,12,103,,FL,Riverside,"San Jacinto Mountains, Baldy Mountain area; Idyllwild [quad].",,1616,33.68333,-116.71667,,,,cch2
RSA0060576,1127422,1984-04-28,1984,4,28,119,menziesii,,Riverside County,"Collected on North-facing slope adjacent ot and on the South side of Highway 74, 3.6 miles from Strawberry Creek going towards Mountain Center.",,1219,33.6982,-116.7528,1000,,,cch2
SD00010477,500308,2013-04-02,2013,4,2,92,,FL,Riverside,"Peninsular Range: Temescal Canyon between Horsetheif Canyon Road and Hostettler Road, near I-15 Fwy, SE of Corona (Lee) Lake (Albrehill 7.5'Q)",,377,33.73696,-117.42017,,,,cch2
SD00010672,500135,1954-04-30,1954,4,30,120,integrifolia,FL,San Bernardino,"Idlewild, San Jacinto River.",,1676,33.7503,-116.7152,,,,cch2
SDSU18403,392587,2008-02-27,2008,2,27,58,menziesii,,Riverside,"El Sobrante Landfill preserve area, western Riverside County, east of Interstate 15 off Temescal Canyon Road. Ca. 5 kilometers east off freeway. Access through landfill entrance.","North-facing slope near edge of mesatop. Recently burned, formerly Riversidean sage scrub, now largely herbaceous community.",405,33.79494,-117.45103,,,,cch2
SDSU18390,392574,2008-02-21,2008,2,21,52,menziesii,,Riverside,"El Sobrante Landfill preserve area, western Riverside County, east of Interstate 15 off Temescal Canyon Road. Ca. 5 kilometers east off freeway. Access through landfill entrance.","In expansion phase on highly disturbed, west-facing slope of Riversidean sage scrub. Dominants include Eriogonum fasciculatum, Opuntia sp., Dichelostemma capitatum, Plagiobothrys sp., Eriodium spp.",418,33.79722,-117.46225,,,,cch2
SD00010505,500033,1925-05-10,1925,5,10,130,,FL,Riverside,"Banning-Idyllwild Road, San Jacinto Mountains.",,1219,33.8748,-116.842,,,,cch2
OBI106017,196225,1969-04-12,1969,4,12,102,,,Riverside,"Box Springs mts, NW slope of hill, SE of UCR","coastal sage scrub. Assoc Euphorbia, Encelia, Oenothera, Amsinckia, Phacelia, Eriogonum, Rubus",366,33.96621,-117.31939,633,,,cch2
RSA0043164,1081945,2012-05-21,2012,5,21,142,,,San Bernardino County,"Yucaipa Ridge; approximately 4 air miles northeast of the San Gorgonio Ranger station, or approximately 0.6 air mile northeast of Allen Peak.","A steep shady rocky north facing slope with Quercus chrysolepis, Pinus coulteri, Cercocarpus ledifolius, Galium aparine, Yucca whipplei, Osmorhiza brackypoda, Lomatium dissectum, Dryopteris, Eriophyllum confertiflorum, Galium angustifolium, Lithophragma affine, Gilia capitatum.",1616,34.08484,-116.97716,,,,cch2
RSA0094763,1110758,2015-03-31,2015,3,31,90,,,San Bernardino County,"Little San Bernardino Mountains; along dirt road in Water Canyon, 1.3 mi west of Pioneertown Rd, approx 5 mi. NW of Yucca Valley.",Geologic formation: alluvium; Parent rock: granite; Soil type: sand; banks of sandy wash.,1148,34.1309667,-116.4915,,,,cch2
RSA0022321,1205796,2011-04-23,2011,4,23,113,,,San Bernardino County,Sawtooth Mountains; collecting in rugged boulder piles about a mile south of Pioneertown and about 0.75 air mile east of Chaparrosa Spring.,"Bouldery hills and canyons with burnt pinyons, junipers and joshua trees from the Sawtooth Complex fire of 2006 and with Yucca schidigera, Nolina parryi, Yucca whipplei, Ephedra californica, Eriophyllum confertiflorum, Ericameria linearifolia, Quercus cornelius-mulleri, Delphinium parishii, Bromus tectorum, Opuntia basilaris and an abundance of winter annuals.",1338,34.14308,-116.50302,,,,cch2
RSA0003800,1202835,1882-02-25,1882,2,25,56,integrifolia,,Los Angeles County,Pasadena.,,,34.152867,-118.121454,6700,,,cch2
SD00010662,500272,2006-04-01,2006,4,1,91,integrifolia,FL,San Bernardino,"Little San Bernardino Mountains; Pipes Canyon Preserve; Sorrel Horse Canyon, south of Pioneertown Road along wash and ridge to the south.",Decomposed granite and alluvial soils.,1220,34.16111,-116.51083,,,,cch2
RSA0043195,962363,2010-07-02,2010,7,2,183,,,San Bernardino County,Upper Santa Ana River Watershed: Middle Control Road between Highway 38 and Santa Ana River.,"N-slpe with chaparral and dense Oak Woodland, some roadside seeps.",1571,34.1619444,-116.9633333,,,,cch2
RSA0043193,1094910,2010-05-06,2010,5,6,126,,,San Bernardino County,San Bernardino National Forest: the upper Santa Ana River watershed; along the Santa Ana River Trail approximately 0.25 air mile east of Mill Creek road.,"A shady forest slope with Pinus jeffreyi, Abies concolor, Quercus kelloggii, Pinus coulteri, Pinus lambertiana, Ribes nevadense, Viola purpurea, Claytonia rubra, and Nemophilla spatulata.",1553,34.16404,-116.94995,,,,cch2
RSA0036743,905376,1998-04-11,1998,4,11,101,,,San Bernardino County,Burns Pinon Ridge Reserve.,,1250,34.17,-116.43,,,,cch2
SDSU22704,3671751,1983-05-17,1983,5,17,137,menziesii,,San Bernardino,1.7 miles northwest of the end of Etiwanda Ave.; Day Canyon Gaging Station.,Dry shade,884,34.184673,-117.540695,,,,cch2
SD00010671,500114,1918-05-19,1918,5,19,139,integrifolia,FL,Los Angeles,San Gabriel Mountains; Millards Canyon.,,610,34.2172,-118.1463,,,,cch2
SD00010673,500123,1963-05-07,1963,5,7,127,integrifolia,FL,San Bernardino,"Cedar Pines Park, San Bernardino Mountains.",,1524,34.25,-117.3259,,,,cch2
SDSU06088,380493,1934-05-01,1934,5,1,121,menziesii,,San Bernardino,"Dry shore, E side big bear Lake, San Bernardino Mts.",,,34.264,-116.8662,2926,,,cch2
RSA0036099,1021779,1935-06-05,1935,6,5,156,integrifolia,,San Bernardino County,"Saw pit canyon. [Sawpit Canyon, San Bernardino Mountains]",Deep shade on slope.,1270,34.264,-117.3371,2500,,,cch2
SDSU06137,380542,1952-04-01,1952,4,1,92,menziesii,,Los Angeles,Azusa Canyon. Angeles Natl. Forest near Coldstream Guard Station.,Veg type: west. Drainage area: chaparrall. Soil: humus-loam.,1036,34.291484,-117.840418,300,,,cch2
SD00010508,500237,2008-03-24,2008,3,24,84,,FL,San Bernardino,"San Bernardino Mountains: Wye Peak at Cajon Junction, northeast of 215/Highway 138 intersection.",Mountain top.,1107,34.31417,-117.43861,,,,cch2
RSA0043194,967280,1995-04-25,1995,4,25,115,,,San Bernardino County,"East of hwy. I-15 and Cajon Pass, via hwy. 138, Elliott's Ranch area.",,1067,34.325,-117.4227778,,,,cch2
SD00010509,500219,1995-05-21,1995,5,21,141,,FL,San Bernardino,"Head of Grapevine Canyon on Grapevine Canyon Road, south of Apple Valley.",,1738,34.37667,-117.05833,,,,cch2
SBBG172001,3753745,2019-03-16,2019,3,16,75,menziesii,,Ventura,"upper Ojai Valley, Sulphur Mtn, Sulphur Mtn Rd on N facing slopes in vicinity of Mile Marker 13.50",silty loam; N-facing slope; part shade; oak woodland; 2nd year after Thomas fire,668,34.41771,-119.16248,,,,cch2
