"X1","specimen_number","taxon name","collector","coll_number_prefix","coll_number","coll_number_suffix","collection_date","late_collection_date","verbatim_date","county","elevation","locality","latitude","longitude","datum","source","error_distance","units","citation","doy","new_error_distance"
208,"RSA489150","Nemophila menziesii","""Steve Myers, Jeri Hirshberg""","s.n.",NA,NA,"3/15/1988","3/15/1988",1988-03-15,"San Bernardino","1128m","Intersection of Hwy 247 and El Cortez Road.",34.1477,-116.4187,"WGS84","CalTopo (copied from RSA489153)",200,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",75,0.2
209,"RSA496740","Nemophila menziesii","Steve Myers","s.n.",NA,NA,"2/4/1988","2/4/1988",1988-02-04,"Riverside","488m","""Northgate Estates development, immediately NW of Canyon Lake.""",33.704167,-117.28,NA,"(copied from UCR51361)",NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",35,NA
210,"RSA5018","Nemophila menziesii","Carl B. Wolf",NA,18,NA,"3/20/1932","3/20/1932",1932-03-20,"Riverside","457m","""Richman Ranch, 2.5 miles no. of De Luz; S.W. Riverside County.""",33.473333,-117.315833,"null","(copied from UCR168251)",NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",80,NA
211,"RSA522735","Nemophila menziesii","""Steve Boyd, Tim Ross, L. Arnseth""",NA,3841,NA,"3/29/1990","3/29/1990",1990-03-29,"Riverside","396m","""Vail Lake area, cinder cone ridge at N side of mouth of Temecula Creek Canyon and adjacent benches on S Flank of Big Oak Mountain.""",33.5025,-116.998611,"NAD83","Delorme Topo USA",1600,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",88,1.6
212,"RSA523372","Nemophila menziesii","G. H. True",NA,11,NA,"2/22/1935","2/22/1935",1935-02-22,"Riverside","457m","Mockingbird Canyon.",33.8701,-117.3882,"WGS84","GoogleMaps via BerkeleyMapper",4300,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",53,4.3
213,"RSA523373","Nemophila menziesii","G. H. True",NA,28,NA,"3/1/1935","3/1/1935",1935-03-01,"Riverside","366m","Box Springs.",33.9456,-117.2921,"WGS84","GoogleMaps via BerkeleyMapper (copied from UC1537411)",2000,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",60,2
214,"RSA523514","Nemophila menziesii","""Steve Boyd, Tim Ross, L. Arnseth""",NA,3973,NA,"3/30/1990","3/30/1990",1990-03-30,"Riverside","701m","""Vail Lake area, valley between Black Hills & Rocky Ridge.""",33.5363,-116.9537,"WGS84","BerkeleyMapper",500,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",89,0.5
215,"RSA524475","Nemophila menziesii","""Steve Boyd, Tim Ross, L. Arnseth, J. Bonilla""",NA,4079,NA,"4/3/1990","4/3/1990",1990-04-03,"Riverside","610m","""Vail Lake area, upper benches and adjacent slopes of the E flank of 'Big' Oak Mountain., just S of the E summit.""",33.5,-116.966667,"NAD83","Delorme Topo USA",400,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",93,0.4
216,"RSA543739","Nemophila menziesii","""Steve Boyd, Mike Hammitt""",NA,6033,NA,"5/2/1991","5/2/1991",1991-05-02,"Riverside","600m","""Vail Lake region, SW & W flanks of Billy Goat Mountain, 3 miles N Hwy 79, 1 mile W of Hwy 371, N of Aguanga.""",33.476667,-116.870556,"not recorded",NA,NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",122,NA
217,"RSA554391","Nemophila menziesii","Scott D. White",NA,92,"-256","6/8/1992","6/8/1992",1992-06-08,"San Bernardino","1494m","""San Bernardino National Forest, vicinity of Rock Camp Ranger Station, from the Station to ca. 1 mi due E, and at widest part of site, S to Hwy 173.""",34.3,-117.216667,"NAD83","TOPO!",400,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",160,0.4
218,"RSA554412","Nemophila menziesii","Scott D. White",NA,92,"-341","6/9/1992","6/9/1992",1992-06-09,"San Bernardino","1463m","""San Bernardino National Forest, Willow Creek, 1.5 - 2 miles E of Rock Camp Guard Station & immediately NE of large curve to S on Hwy 173.""",34.286667,-117.185833,NA,"(copied from UCR99688)",NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",161,NA
219,"RSA556434","Nemophila menziesii","Julie Greene",NA,1126,NA,"3/10/1993","3/10/1993",1993-03-10,"Riverside","476m","San Jacinto Wildlife area.",33.875,-117.1125,NA,"(copied from UCR138727)",NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",69,NA
220,"RSA562471","Nemophila menziesii","""Steve Boyd, Tim Ross""",NA,7275,NA,"5/6/1992","5/6/1992",1992-05-06,"San Diego","640m","""Southern Santa Ana Mountains, San Mateo Canyon Wilderness Area. South side of Miller Mountain along """"Miller Canyon'"""", the major drainage on the southern flank of the mountain., From Road 8S02 upstream to the area of contact between lower granitic and higher basaltic rocks.""",33.485833,-117.395278,"not recorded",NA,NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",127,NA
221,"RSA576123","Nemophila menziesii","Reid V. Moran",NA,681,NA,"3/6/1941","3/6/1941",1941-03-06,"Los Angeles","300m","""Middle Ranch Canyon, Santa Catalina Island.""",33.3842,-118.3842,"NAD27","(copied from SBBG38716)",1,"km","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",65,1
222,"RSA596954","Nemophila menziesii","""Scott D. White, Chet McGaugh""",NA,3017,NA,"5/9/1995","5/9/1995",1995-05-09,"Los Angeles","457m","""E edge of Santa Susana Mts., Just W of San Gabriel Mtns: 'Sunshine Canyon' (name not shown on topo): W of San Fernando Road and I-5 Fwy. Just SW of interchange with State Route 14. Sunshine Canyon Landfill property.""",34.333333,-118.516667,"not recorded",NA,NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",129,NA
223,"RSA598890","Nemophila menziesii","""Steve Boyd, T. S. Ross""",NA,9206,NA,"3/21/1997","3/21/1997",1997-03-21,"Los Angeles","1183m","""Liebre Mountains, Portal Ridge, open ridgeline about junction of Juday Truck Trail and Troedel Motorway, south of Troedel Spring.""",34.696556,-118.4625,"not recorded",NA,NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",80,NA
224,"RSA604728","Nemophila menziesii","""K. Watkins, Elizabeth McClintock""","s.n.",NA,NA,"4/9/1937","4/9/1937",1937-04-09,"Riverside",NA,"Meadow between Hemet and Winchester",33.75,-117.033333,"not recorded",NA,NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",99,NA
225,"RSA605075","Nemophila menziesii","Walter Wisura",NA,5004,NA,"2/25/1997","2/25/1997",1997-02-25,"San Bernardino",NA,"""Jurupa Hills: Mary Vagl Museum and Nature Center, Cypress St., Fontana.""",34.041667,-117.45,NA,"(copied from UCR103880)",NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",56,NA
226,"RSA606291","Nemophila menziesii","Jon E. Keeley",NA,25291,NA,"4/7/1994","4/7/1994",1994-04-07,"Riverside","660m","""Shipley Reserve, study site Sh4. S of Hemet, S end of Rawson Road""",33.6382,-117.0313,"WGS84","GoogleMaps via BerkeleyMapper (copied from RSA606389)",2,"km","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",97,2
227,"RSA613194","Nemophila menziesii","D. L. Banks",NA,1791,NA,"4/8/1997","4/8/1997",1997-04-08,"San Diego","162m","""NW Palomar Mountains, Agua Tibia Mountains: Wilderness Gardens Preserve. Approximately 3.4 miles east of Pala south of Hwy. 76 along the San Luis Rey River., Areas along the main trail network from the parking area along the primary driveway within the river bottom to areas of native grasslands on the higher slopes.""",33.350278,-117.032778,"not recorded",NA,NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",98,NA
228,"RSA615","Nemophila menziesii","J. T. Howell",NA,881,NA,"3/18/1928","3/18/1928",1928-03-18,"San Bernardino","244m","""Aliso Canyon, Rancho Santa Ana.""",33.894589,-117.692445,"WGS84","GoogleEarth (copied from RSA36)",2,"km","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",78,2
229,"RSA616","Nemophila menziesii","J. T. Howell",NA,889,NA,"3/18/1928","3/18/1928",1928-03-18,"Orange","152m","""Rancho Santa Ana, Botanic Garden.""",33.8726,-117.7073,"NAD83/WGS84","RSA:2009 (copied from RSA401)",1,"miles","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",78,1.60934
230,"RSA616268","Nemophila menziesii","""Scott D. White, Pam DeVries""",NA,6496,NA,"3/15/1998","3/15/1998",1998-03-15,"Los Angeles","579m","""Soledad Canyon Proposed quarry area N of Soledad Canyon road, S of I14 freeway, E of Bee Canyon and W of Agua Dulce Canyon. Degraded shrublands on S facing slopes and canyons above Soledad Canyon.""",34.433333,-118.35,"not recorded",NA,NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",74,NA
231,"RSA620357","Nemophila menziesii","A. C. Sanders",NA,19724,NA,"3/1/1997","3/1/1997",1997-03-01,"Riverside","427m","""Box Springs Mtns: Coyote Hill (Bench Mark A&lt;&lt;VersityA, 1386ft) and ridge S and SE of the UCR Botanic Garden.""",33.966667,-117.316667,"not recorded",NA,NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",60,NA
232,"RSA628204","Nemophila menziesii","A. C. Sanders",NA,14687,NA,"6/6/1994","6/6/1994",1994-06-06,"San Bernardino","1400m","""Waters Road near Fernwood Dr., Seeley Creek drainagebetween Valley of Enchantment and Cedarpines Park.""",34.25,-117.316667,"not recorded",NA,NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",157,NA
233,"RSA651289","Nemophila menziesii","Sandy Gray",NA,50,NA,"5/10/1981","5/10/1981",1981-05-10,"Los Angeles",NA,"Hwy 10 N Dudley & [Ganesha] Hills Raod - 1 mile. Pomona.",36.324722,-117.028889,"not recorded",NA,NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",130,NA
234,"RSA652202","Nemophila menziesii","J. Bruce Smiley","s.n.",NA,NA,"2/20/1940","2/20/1940",1940-02-20,"San Bernardino","457m","Santa Ana Wash.",34.08863,-117.18224,"WGS84","GoogleMaps via BerkeleyMapper (copied from RSA652146)",3,"km","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",51,3
235,"RSA656407","Nemophila menziesii","James Henrickson",NA,19865,NA,"5/10/1958","5/10/1958",1958-05-10,"San Bernardino","732m","ca. 12 air miles NW of San Bernardino in lower Lytle Creek Wash about 2-4 miles N of Interstate 15",34.214438,-117.457673,"WGS84","Geolocate (copied from RSA657335)",900,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",130,0.9
236,"RSA660848","Nemophila menziesii","""Gerald Braden, Arthur Davenport, Lori Ackerman""",NA,13,NA,"5/4/1988","5/4/1988",1988-05-04,"Los Angeles",NA,"""Strawberry Peak, San Gabriel Mountains.""",34.283344,-118.120515,"WGS84","GoogleEarth (copied from RSA660519)",600,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",125,0.6
237,"RSA662611","Nemophila menziesii","Paul Neipp",NA,13,NA,"4/21/1994","4/21/1994",1994-04-21,"Los Angeles",NA,"directly west of San Dimas Ranger Station on San Dimas Canyon Rd.",34.165664,-117.769058,"WGS84","Google Earth (copied from RSA823054)",300,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",111,0.3
238,"RSA668058","Nemophila menziesii","Don Jillson","s.n.",NA,NA,"6/8/1957","6/8/1957",1957-06-08,"San Diego","1646m","""Near crestline Camp, Palomar Mt., Agua Tibia Mountains.""",33.31277,-116.86427,"WGS84","TOPO! (copied from RSA668065)",162,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",159,0.162
239,"RSA673728","Nemophila menziesii","""Scott D. White, Bill La Haye""",NA,7964,NA,"5/27/2000","5/27/2000",2000-05-27,"Riverside","1616m","San Jacinto Mountains: Baldy Mtn. area.",33.683333,-116.716667,"NAD83","Specimen Label (Lat + Long)",1600,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",148,1.6
240,"RSA682600","Nemophila menziesii","""Scott D. White, Amanda Duchardt""",NA,8865,NA,"3/27/2003","3/27/2003",2003-03-27,"Orange","91m","Santa Ana Mountain Foothills: Canyon bottom and west facing slopes above Canada Gobernadora.",33.533333,-117.583333,"not recorded",NA,NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",86,NA
241,"RSA688918","Nemophila menziesii","""Scott D. White, Michael Honer""",NA,8897,NA,"4/2/2003","4/2/2003",2003-04-02,"Riverside","305m","Temescal Valley: Just west of I-15 Freeway and northeast of Lawson Dr.",33.783333,-117.5,"not recorded",NA,NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",92,NA
242,"RSA701528","Nemophila menziesii","""Steve Boyd, Heidi Bigelow""",NA,10804,NA,"4/5/2004","4/5/2004",2004-04-05,"San Diego",NA,"""Pine Hills area, between Magee Flat and Deadman Flat along Eagle Peak Rd.""",33.031111,-116.660556,"not recorded",NA,NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",96,NA
243,"RSA703103","Nemophila menziesii","""Steve Boyd, Naomi S. Fraga""",NA,11003,NA,"4/27/2004","4/27/2004",2004-04-27,"San Diego","898m","""Warner Springs area, rolling terrain near the Pacific Crest Trail, south of Highway 79 and west of the Warner Springs resort.""",33.270833,-116.532222,"not recorded",NA,NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",118,NA
244,"RSA715310","Nemophila menziesii","Wayne Law",NA,40,NA,"5/20/2000","5/20/2000",2000-05-20,"San Bernardino","1098m","Miller Canyon next to East fork of West fork Mojave River. E of Silverwood Lake.",34.270556,-117.291389,"not recorded",NA,NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",141,NA
245,"RSA721842","Nemophila menziesii","J. Russell Bruff",NA,816,NA,"3/20/1937","3/20/1937",1937-03-20,"Kern",NA,"Near Delano.",35.76889,-119.24611,"WGS84","Geolocate (copied from LA51300)",3.8,"km","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",79,3.8
246,"RSA721843","Nemophila menziesii","J. Russell Bruff",NA,816,NA,"3/20/1937","3/20/1937",1937-03-20,"Kern",NA,"Near Delano.",35.76889,-119.24611,"WGS84","Geolocate (copied from LA51300)",3.8,"km","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",79,3.8
247,"RSA733621","Nemophila menziesii","Keith E. Hoffmaster",NA,1076,NA,"3/23/1946","3/23/1946",1946-03-23,"Napa",NA,"""Napa range, along Napa-Monticello road.""",38.38984,-122.2023,"WGS84","GoogleMaps via BerkeleyMapper (copied from UCD112134)",12.3,"km","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",82,12.3
248,"RSA736311","Nemophila menziesii","""Scott D. White, Justin M. Wood""",NA,11783,NA,"3/25/2008","3/25/2008",2008-03-25,"Riverside","274m","""Perris / Elsinore Basin: Foothills of Gavilan Hills at Temescal Wash, near Olsen Canyon, A!MorganA(r) Property, Alberhill area.""",33.8,-117.491667,"not recorded",NA,NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",85,NA
249,"RSA747361","Nemophila menziesii","R. G. Swinney",NA,8562,NA,"3/24/2008","3/24/2008",2008-03-24,"San Bernardino","1107m","""Wye Peak at Cajon Junction, NE of 215/Hwy 138 intersection.""",34.314167,-117.438611,"not recorded",NA,1000,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",84,1
250,"RSA748852","Nemophila menziesii","R. G. Swinney",NA,8650,NA,"4/11/2008","4/11/2008",2008-04-11,"Los Angeles","549m","""San Dimas Experimental Forest, Lewis Paul Canyon, above waterfall at junction of Big Dalton Cyn. Rd.""",34.170278,-117.812778,"not recorded",NA,1000,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",102,1
251,"RSA750477","Nemophila menziesii","Jim R. Shevock",NA,11065,NA,"3/23/1985","3/23/1985",1985-03-23,"Kern","1000m","""Piute Mtns. Along Erskine Creek Road, 2.1 miles from the flume and the first creek crossing of Erskine Creek.""",35.6,-118.458333,"not recorded",NA,NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",82,NA
252,"RSA751918","Nemophila menziesii","""Scott D. White, Justin M. Wood""",NA,12921,NA,"5/22/2009","5/22/2009",2009-05-22,"Riverside","1159m","""San Jacinto Mountains: Old Control Road, above Halfway Spring.""",33.733333,-116.766667,"not recorded",NA,NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",142,NA
253,"RSA752003","Nemophila menziesii","""Sarah J. De Groot, Dolores Gault""",NA,6067,NA,"6/8/2009","6/8/2009",2009-06-08,"San Bernardino","1534m","""San Bernardino Mountains: Along Santa Ana River Trail 2E03, off Middle Control Road, E of Cold Creek.""",34.16294,-116.96795,"WGS84","GPS",NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",159,NA
254,"RSA754914","Nemophila menziesii","Robert F. Thorne",NA,62973,NA,"4/25/1995","4/25/1995",1995-04-25,"San Bernardino","1067m","""East of hwy. I-15 and Cajon Pass, via hwy. 138, Elliott's Ranch area.""",34.325,-117.422778,"not recorded",NA,NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",115,NA
255,"RSA75874","Nemophila menziesii","F. W. Peirson",NA,8336,NA,"5/4/1929","5/4/1929",1929-05-04,"Riverside","793m","""In open spaces along road, summit of St. JohnAs Grade, south of Hemet.""",33.6093,-116.9354,"WGS84","GoogleMaps via BerkeleyMapper (copied from CAS180866)",1.25,"km","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",124,1.25
256,"RSA75875","Nemophila menziesii","F. W. Peirson",NA,8353,NA,"5/4/1929","5/4/1929",1929-05-04,"San Diego","1296m","Trail from Oak Grove to Palomar Mountain.",33.37724,-116.81395,"WGS84","TOPO! (copied from CAS187400)",4.827,"km","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",124,4.827
257,"RSA763963","Nemophila menziesii","Justin M. Wood",NA,1714,NA,"5/14/2010","5/14/2010",2010-05-14,"San Diego","754m","""Dameron Valley: East side of Hwy 79, 0.6 miles south of Riverside/San Diego county line, +/- 3.0 miles NW of Oak Grove.""",33.416944,-116.827222,"not recorded",NA,NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",134,NA
258,"RSA771734","Nemophila menziesii","""Orlando Mistretta, Duncan S. Bell, Jill Beckman, Joy England, Katie Kane, Jamie Hall, Chris McDonald, Lucila Reccia""",NA,4780,NA,"4/12/2010","4/12/2010",2010-04-12,"Riverside","610m","Whitewater Cyn. Along Whitewater River drainage and adjacent slopes below Whitewater Visitor Center (Whitewater Trout Farm).",33.97288,-116.65146,"not recorded",NA,NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",102,NA
259,"RSA771945","Nemophila menziesii","""Robert F. Thorne, Gary D. Wallace""",NA,43386,NA,"4/25/1973","4/25/1973",1973-04-25,"Los Angeles","1159m","""San Gabriel Mountains, Mojave Desert Slope: 1/4 mi N of Bob's Gap, 3.5 miles S of Llano, N slope of Holcomb Ridge""",34.457427,-117.81411,"WGS84","Google Earth (copied from RSA249817)",300,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",115,0.3
260,"RSA783108","Nemophila menziesii","J. D. Olmsted",NA,441,NA,"5/2/1962","5/2/1962",1962-05-02,"Riverside","777m","By saddle just N of highest part of Box Spring Mountains.",33.975,-117.2926,"WGS84","GoogleMaps via BerkeleyMapper (copied from RSA182347)",1,"km","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",122,1
261,"RSA802257","Nemophila menziesii","""Duncan S. Bell, Caitlin Elam, Carrie Kiel""",NA,5004,NA,"6/5/2013","6/5/2013",2013-06-05,"Riverside",NA,"In Strawberry Creek below Strawberry Valley approximately 2.25 air miles southwest of Idyllwild.",33.72957,-116.74579,"NAD83","GPS",NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",156,NA
262,"SD113485","Nemophila menziesii","Darley F. Howe",NA,129,NA,"3/24/1935","3/24/1935",1935-03-24,"San Diego",NA,"East of Jamul",32.71452,-116.83958,"WGS84","TOPO! (copied from SD112827)",3.219,"km","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",83,3.219
263,"SD113486","Nemophila menziesii","Darley F. Howe",NA,14,NA,"4/1/1915","4/1/1915",2015-04-01,"Los Angeles",NA,"Claremont",34.122,-117.7176,"WGS84","""Baldwin et al. (2017), Master spatial file""",6,"km","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",91,6
264,"SD11378","Nemophila menziesii","Frank F. Gander",NA,204,"26","5/8/1935","5/8/1935",1935-05-08,"San Diego",NA,"Chihuahua Valley",33.38516,-116.67809,"WGS84","TOPO! v3.4.2",1.25,"miles","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",128,2.011675
265,"SD181486","Nemophila menziesii","Scott D. White",NA,7644,NA,"4/12/2000","4/12/2000",2000-04-12,"Riverside","1616 m","""San Jacinto Mountains, Baldy Mountain area; Idyllwild [quad].""",33.68333,-116.71667,"not recorded","Coordinates from label",0,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",103,NA
266,"SD186240","Nemophila menziesii","""A. C. Sanders, P. J. MacKay""",NA,17043,NA,"5/21/1995","5/21/1995",1995-05-21,"San Bernardino","1737 m","""Head of Grapevine Canyon on Grapevine Canyon Road, south of Apple Valley.""",34.37667,-117.05833,"not recorded","Coordinates from label",0,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",141,NA
267,"SD241836","Nemophila menziesii","""Ellen Dean, T. Starbuck and M. Starbuck""",NA,4626,NA,"3/25/2008","3/25/2008",2008-03-25,"San Luis Obispo","591 m","North of Carrizo Plain National Monument. Along Soda Lake Road between College and Belmont Streets.",35.30722,-119.98611,"not recorded","Coordinates from label",0,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",85,NA
268,"SD244167","Nemophila menziesii","""A. C. Sanders, Timothy W. Chumley""",NA,40746,NA,"4/2/2013","4/2/2013",2013-04-02,"Riverside","377 m","""Peninsular Range: Temescal Canyon between Horsetheif Canyon Road and Hostettler Road, near I-15 Fwy, SE of Corona (Lee) Lake (Albrehill 7.5'Q)""",33.73696,-117.42017,"not recorded","Coordinates from label",0,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",92,NA
269,"SD247444","Nemophila menziesii","""T. B. Salvato, John Lovio""",NA,7350,NA,"3/19/2013","3/19/2013",2013-03-19,"Riverside","390 m","""Perris-Aguanga Basin: Menifee Valley, Los Alamos Road at its crossing of Warm Springs Creek, and hill west of Jeanette Drive (Murrieta 7.5'Q)""",33.59833,-117.14194,"not recorded","Coordinates from label",0,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",78,NA
270,"SD28484","Nemophila menziesii","Frank F. Gander",NA,9058,NA,"4/29/1941","4/29/1941",1941-04-29,"San Diego",NA,"Near junction San Felipe & Montezuma roads",33.22157,-116.60615,"WGS84","TOPO! v3.4.2",0.25,"miles","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",119,0.402335
271,"SD28536","Nemophila menziesii","Frank F. Gander",NA,9111,NA,"4/29/1941","4/29/1941",1941-04-29,"San Diego",NA,"Fresh burn at Montezuma View Point",33.21145,-116.5124,"WGS84","""TOPO! v3.4.2, Blackburns Map of Life Zones 1949""",0.5,"miles","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",119,0.80467
272,"SD38532","Nemophila menziesii","Edith A. Purer",NA,6339,NA,"4/19/1935","4/19/1935",1935-04-19,"San Diego",NA,"""In shade of shrubs, 1 mile east of Banner""",33.0768,-116.53406,"WGS84","""TOPO! v3.4.2, GNIS""",0.25,"miles","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",109,0.402335
273,"SD38535","Nemophila menziesii","Edith A. Purer",NA,NA,NA,"3/1/1932","3/1/1932",1932-03-01,"Mariposa",NA,"Yosemite National Park; in valley.",37.72644,-119.61164,"not recorded","Coordinates from label",0,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",61,NA
274,"SD38536","Nemophila menziesii","Janet Turner",NA,3728,NA,"4/19/1933","4/19/1933",1933-04-19,"San Mateo",NA,"Above Emerald Lake",37.4634,-122.2613,"not recorded","Coordinates from label",0,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",109,NA
275,"SD4046","Nemophila menziesii","Edmund Jaeger",NA,NA,NA,"5/10/1925","5/10/1925",1925-05-10,"Riverside","1219 m","""Banning-Idyllwild Road, San Jacinto Mountains.""",33.8748,-116.842,"not recorded","Coordinates from label",0,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",130,NA
276,"SD7439","Nemophila menziesii","Daniel Cleveland",NA,NA,NA,"1882-04-24","1882-04-24",1882-04-24,"Riverside",NA,"Temecula",33.4956,-117.1493,"not recorded","Coordinates from label",0,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",114,NA
277,"SD7444","Nemophila menziesii","Daniel Cleveland",NA,NA,NA,"1882-04-24","1882-04-24",1882-04-24,"Riverside",NA,"Temecula",33.4956,-117.1493,"not recorded","Coordinates from label",0,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",114,NA
278,"SD75491","Nemophila menziesii","Reid Moran",NA,681,NA,"3/6/1941","3/6/1941",1941-03-06,"Los Angeles","299 m","Santa Catalina Island; Middle Ranch Canyon.",33.3842,-118.3842,"not recorded","Coordinates from label",0,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",65,NA
279,"SD85506","Nemophila menziesii","R. Mitchel Beauchamp",NA,2215,NA,"4/22/1971","4/22/1971",1971-04-22,"San Diego","1590 m","""In forest leaf litter, Laguna Mountains""",32.91667,-116.46667,"WGS84","TOPO! v3.4.2",1,"miles","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",112,1.60934
