specimen_number,id,date_new,year,month,day,DOY,sub_sp,repro,county,locality,habitat,elev_m,lat,long,error_dist_m,georef_by,georef_notes,datum,references,source,scored_by,notes,plant,Total,buds_1,flowers_2,spent_3,immature_4,mature_5
UC168373,3157399,1889-06-11,1889,6,11,162,integrifolia,Flowering/Fruiting,San Bernardino,near summit Waterman's Canyon; near Summit Waterman's Canyon,dry slope,1219,34.2281,-117.301,1200,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3157399,cch2,,,,,,,,,
UC1562873,3160619,1987-05-24,1987,5,24,144,integrifolia,Flowering/Fruiting,San Bernardino,"on Hwy 18 ca 1 mi w Rim Forest ((Rim of the World Dr), head of Strawberry Creek in San Bernardino Mts.); San Bernardino Mts., w of Rim Forest, Strawberry Creek","in shade oftrees; hd creek; grassy e-fcg slopes mixed forest of Calocedrus, sugar pine & Q. kelloggi",1676,34.2291,-117.2331,805,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3160619,cch2,,,,,,,,,
SFV112668,613407,1994-05-14,1994,5,14,134,,Flowering,Los Angeles,San Gabriel Mountains; 1 miles west on 2N23 from Newcomb's Saddle.,"Chaparral - conifer-oak woodlands. Dominant associates include Pseudotsuga macrocarpa, Quercus berberidifolia, Quercus chrysolepis, Rhus ovata, Ceanothus leucodermis, and Ceanothus integerrimus.",950,34.24,-118.02,1000,,,,http://cch2.org/portal/collections/individual/index.php?occid=613407,cch2,,,,,,,,,
SFV112666,613396,1962-06-02,1962,6,2,153,,Flowering,Los Angeles,San Gabriel Mountains; Roadside along Route 2 (Angeles Crest Highway) about 5 miles north of La Canada.,,793,34.25,-118.19,1000,,,,http://cch2.org/portal/collections/individual/index.php?occid=613396,cch2,,,,,,,,,
SFV112676,613415,1962-06-03,1962,6,3,154,integrifolia,Flowering,San Bernardino,"San Bernardino Mountains; North Shore, Lake Arrowhead. Near Lake Arrowhead Hospital.",,1585,34.26,-117.17,1000,,,,http://cch2.org/portal/collections/individual/index.php?occid=613415,cch2,,,,,,,,,
UC880908,3151378,1935-06-05,1935,6,5,156,integrifolia,Flowering/Fruiting,San Bernardino,"Sawpit Canyon San Bernardino Mts., Sawpit Canyon",deep shade on slope,1270,34.264,-117.3371,2500,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3151378,cch2,,,,,,,,,
SFV112678,613399,1998-05-28,1998,5,28,148,menziesii,Flowering,Los Angeles,San Gabriel Mountains; Arroyo Seco near Switzer Picnic Area.,,976,34.26666667,-118.1416667,1000,,,,http://cch2.org/portal/collections/individual/index.php?occid=613399,cch2,,,,,,,,,
UC1069189,3147315,1935-05-03,1935,5,3,123,integrifolia,Flowering/Fruiting,San Bernardino,"1 1/2 mi nne of n end Grass Valley; Deep Creek Quad., San Bernardino NF, nne of Grass Valley",Veg. Type: J Cp B ; sw slope,1463,34.287,-117.2157,805,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3147315,cch2,,,,,,,,,
UC1979852,3154326,2008-05-21,2008,5,21,142,integrifolia,Flowering/Fruiting,San Bernardino,Transverse Ranges; San Bernadino Mountains region: East of Rock Camp Station. North of Lake Arrowhead.,Northwest raining dry draw (dry at this point) that drains into the stream east of Rock Camp Station. This stream empties into Willow Creek. This draw is east of the stream. Grassy and sandy soil in draw.,1469,34.28903,-117.20592,,,,,http://cch2.org/portal/collections/individual/index.php?occid=3154326,cch2,,,,,,,,,
SFV112659,607801,1995-04-09,1995,4,9,99,,Flowering,Los Angeles,"San Gabriel Mountains; Angeles Forest Highway, 3.5 miles north of junction with Angeles Crest Highway. 100 m off highway.","Dominant associates include: Quercus berberidifolia, Eriogonum fasciculatum, and Ceanothus integerrimus. Other associates include Nemophila menziesii, Claytonia perfoliata, Avena barbata, and Castilleja affinis.",915,34.3,-118.15,1000,,,,http://cch2.org/portal/collections/individual/index.php?occid=607801,cch2,,,,,,,,,
UC1518672,3148507,1979-05-10,1979,5,10,130,integrifolia,Flowering/Fruiting,San Bernardino,"on road to Silverwood Lake above stream in Horsethief Canyon (s of junction with road to Hesperia); above stream Horsethief Canyon, rd to Hesperia",desert transition chaparral; in shade of large granitic boulders and shrubs,1097,34.30317,-117.337528,900,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3148507,cch2,,,,,,,,,
UC572487,3158546,1935-04-27,1935,4,27,117,integrifolia,Flowering/Fruiting,San Bernardino,"3/4 mi n Lake Arrowhead (San Bernardino National Forest); Deep Creek Quad., San Bernardino National For, n Lake Arrowh",,1386,34.316,-117.1982,805,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3158546,cch2,,,,,,,,,
SFV112665,613395,1958-03-29,1958,3,29,88,,Flowering,Los Angeles,Santa Susana Mountains; Phil Gentile Ranch.,Oak woodland by stream.,450,34.32,-118.51,1000,,,,http://cch2.org/portal/collections/individual/index.php?occid=613395,cch2,,,,,,,,,
SFV112658,613405,1974-05-24,1974,5,24,144,,Flowering,Los Angeles,San Gabriel Mountains; Gold Creek Canyon. Side canyon of Little Tujunga Canyon. Watts Ranch.,,660,34.32,-118.31,1000,,,,http://cch2.org/portal/collections/individual/index.php?occid=613405,cch2,,,,,,,,,
SFV112671,613406,1958-04-11,1958,4,11,101,,Flowering,Los Angeles,"Santa Susana Mountains; Oat Mountain, north slope ravine. Roadside.",,945,34.32,-118.57,1000,,,,http://cch2.org/portal/collections/individual/index.php?occid=613406,cch2,,,,,,,,,
UC284102,3161250,1918-05-30,1918,5,30,150,integrifolia,Flowering/Fruiting,San Bernardino,Cajon Pass,sand wash on desert slope,,34.325158,-117.428354,2000,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3161250,cch2,,,,,,,,,
UC126911,3367801,1906-04-27,1906,4,27,117,,Flowering/Fruiting,San Bernardino,Cajon Pass,Upper Sonoran Zone,1250,34.3252,-117.4287,1138,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3367801,cch2,,,,,,,,,
UC1518667,3149043,1979-05-10,1979,5,10,130,integrifolia,Flowering/Fruiting,San Bernardino,near junction of Grass Valley Creek and Mojave River; near junction of Grass Valley Creek and Mojave River,,975,34.338878,-117.270458,1200,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3149043,cch2,,,,,,,,,
UC1611538,3156648,1993-04-15,1993,4,15,105,,Flowering/Fruiting,Los Angeles,"Los Pinetos Spring wester San Gabriel Mtns., San Fernando 7.5' USGS quad, Los P (at head of canyon)",on mesic slopes in dappled shade; area around spring dominated by a Juglans/Quercus woodland,893,34.3594,-118.4386,805,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3156648,cch2,,,,,,,,,
UC457221,3150188,1931-05-16,1931,5,16,136,integrifolia,Flowering/Fruiting,Los Angeles,"Swartout Valley San Gabriel Mts., Swartout Valley",,,34.365782,-117.652957,3600,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3150188,cch2,,,,,,,,,
SFV112660,613398,1975-04-03,1975,4,3,93,,Flowering,Los Angeles,San Gabriel Mountains; Placerita Canyon near Los Pinetos Canyon.,Grassy flats under oaks.,564,34.37,-118.44,1000,,,,http://cch2.org/portal/collections/individual/index.php?occid=613398,cch2,,,,,,,,,
UC501494,3154598,1932-05-29,1932,5,29,150,integrifolia,Flowering/Fruiting,Los Angeles,"head Arrastre Canyon; San Gabriel Mts., head of Arrastre Canyon",moist snad under alnus along stream; Upper Sonoran Zone,1524,34.390608,-118.16492,2000,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3154598,cch2,,,,,,,,,
UC1069170,3305784,1935-03-21,1935,3,21,80,,Flowering/Fruiting,San Bernardino,"2 mi w Hesperia; Hesperia Quad., w of Hesperia",Veg. Type: Yb Jc Sli Epr (could be Je or Epv); flat slope; under other plants in shade,1021,34.4173,-117.3205,805,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3305784,cch2,,,,,,,,,
SFV112669,613408,1962-03-25,1962,3,25,84,,Flowering,Los Angeles,"San Gabriel Mountains; Soledad Canyon. Small, burnt over canyon west of Bee Canyon, north of River's End Ranch.",,610,34.44,-118.37,1000,,,,http://cch2.org/portal/collections/individual/index.php?occid=613408,cch2,,,,,,,,,
UC1871057,3157415,1991-04-29,1991,4,29,119,integrifolia,,Los Angeles,"Transverse Ranges; Liebre Mountains region; Parker mountain and ridge to SW: SW of Acton and NNE of Ravenna. T4N R13W; W edge section 2, E and SE edge section 3, NNE edge section 10. Collected between 3670-4131 (summit) feet elevation.",Desert Transition chaparral on decomposed granite substrate; Juniperus californica common on lower slopes of mountain; area recently burned,1119,34.456389,-118.219444,,,,,http://cch2.org/portal/collections/individual/index.php?occid=3157415,cch2,,,,,,,,,
UC1871236,3163942,1991-04-30,1991,4,30,120,integrifolia,,Los Angeles,"Transverse Ranges; Liebre Mountains region; Soledad Canyon Wash: about half mile E of Acton; T5N R13W, W1/2 SE1/4 SE1/4 section 36; elevation 2720 feet.","Broad, open, sandy wash dominated by Ephedra nevadensis and Artemisia tridentata parishii, with numerous perennial and annual herbs.",829,34.468889,-118.188333,,,,,http://cch2.org/portal/collections/individual/index.php?occid=3163942,cch2,,,,,,,,,
UC75479,3155837,1906-04-29,1906,4,29,119,integrifolia,Flowering/Fruiting,San Bernardino,"near Victorville; Mohave Desert, Dead Man's Point; Dead Man's Point, near Victorville, San Bernardino Co., Mohave Desert",Lower Sonoran Zone,925,34.473101,-117.124596,2000,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3155837,cch2,,,,,,,,,
UC668349,3158274,1941-04-19,1941,4,19,109,integrifolia,Flowering/Fruiting,San Bernardino,8 mi sw Victorville; sw of Victorville,growing mostly in bushes - scattered juniperus and Joshua trees,1036,34.500665,-117.167628,800,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3158274,cch2,,,,,,,,,
UC1537399,3441543,1935-03-06,1935,3,6,65,,Flowering/Fruiting,Los Angeles,4 mi w Palmdale; w of Palmdale,foothills; Yucca-juniper association,944,34.57942,-118.18575,,,,,http://cch2.org/portal/collections/individual/index.php?occid=3441543,cch2,,,,,,,,,
UC24273,3149088,1896-05-20,1896,5,20,141,integrifolia,Flowering/Fruiting,Los Angeles,Leonis Valley,,,34.62475,-118.30813,7000,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3149088,cch2,,,,,,,,,
UC1069199,3161701,1935-05-08,1935,5,8,128,integrifolia,Flowering/Fruiting,Los Angeles,"4 3/4 mi ene Warm Springs; Tejon Quad., ene of Warm Springs",Veg. Type: Sx F (with line over top F); n slope,822,34.6383,-118.4896,805,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3161701,cch2,,,,,,,,,
UC310650,3565083,1926-04-11,1926,4,11,101,,Flowering/Fruiting,Santa Barbara,10 mi w Buellton; w of Buellton,sandy field,,34.6633,-120.3401,1000,,,NAD83,http://cch2.org/portal/collections/individual/index.php?occid=3565083,cch2,,,,,,,,,
UC24243,3333056,1902-05-01,1902,5,1,121,,Flowering/Fruiting,Los Angeles,Elizabeth Lake,,,34.66583,-118.40167,,,,,http://cch2.org/portal/collections/individual/index.php?occid=3333056,cch2,,,,,,,,,
UC56874,3148026,1902-05-01,1902,5,1,121,integrifolia,Flowering/Fruiting,Los Angeles,"vicinity Elizabeth Lake; Antelope Valley, Pine Canyon; vicinity of Elizabeth Lake, Antelope Valley",,1219,34.667088,-118.400085,2393,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3148026,cch2,,,,,,,,,
UC1069184,3512932,1935-04-26,1935,4,26,116,,Flowering/Fruiting,Santa Barbara,"ridge 3 mi s Los Alamos; Lompoc Quad., Santa Barbara Natl For, s of Los Alamos",Veg. Type: A ; n slope,457,34.704265,-120.286189,865,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3512932,cch2,,,,,,,,,
UC1069173,3208026,1935-03-27,1935,3,27,86,,Flowering/Fruiting,Los Angeles,"2 3/4 mi nne Sawmill Peak; Tejon Quad., nne of Sawmill Peak","Veg. Type: Chn, Ef, Atr ; nw slope",1219,34.7257,-118.5443,805,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3208026,cch2,,,,,,,,,
UC593306,3505198,1938-05-08,1938,5,8,128,,Flowering/Fruiting,Santa Barbara,"e Zaca Peak (near summit Figueroa Mountain, San Rafael Mountains); San Rafael Mountains, Figueroa Mountain, e of Zaca Peak",,1371,34.7432,-119.9848,1000,,,NAD83,http://cch2.org/portal/collections/individual/index.php?occid=3505198,cch2,,,,,,,,,
UC1069174,3476730,1934-04-01,1934,4,1,91,,Flowering/Fruiting,Ventura,"5 mi nw Ozena; Mt. Pinos Quad., nw of Ozena",Veg. Type: open flat,1066,34.757,-119.4104,805,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3476730,cch2,,,,,,,,,
UC774697,3156962,1941-04-29,1941,4,29,119,integrifolia,Flowering/Fruiting,San Bernardino,"s sides Old Dad-Granite Mt. Range Mojave Desert, s sides Old Dad-Granite Mt., Willow Spring Ca (East Fork Willow Spring Canyon (Upper Portion) Willow Spring Canyon)","Lower-Upper Sonoran-Erogonum fasciculatum var.; semi-shade: humus & granite gravel, among bushes",1371,34.771618,-115.70569,900,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3156962,cch2,,,,,,,,,
UC880924,3530819,1906-06-19,1906,6,19,170,,Flowering/Fruiting,Santa Barbara,Zaca Lake Forest Reserve Zaca Lake Forest Reserve (hills near lake),hills near lake,,34.778,-120.036,1000,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3530819,cch2,,,,,,,,,
UC592140,3370850,1935-04-12,1935,4,12,102,,Flowering/Fruiting,San Bernardino,Mohave Desert,,,34.84988,-116.41113,108447,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3370850,cch2,,,,,,,,,
SFV112662,613402,1995-04-30,1995,4,30,120,,Flowering,Kern,"Ventura Mountains; Southeast of Maricopa on Cerro Noroeste Road, 9.7 miles southeast of CA Highway 33.",Pinyon-Juniper Woodland.,1400,34.89,-119.36,1000,,,,http://cch2.org/portal/collections/individual/index.php?occid=613402,cch2,,,,,,,,,
SFV112663,613403,1998-06-12,1998,6,12,163,,Flowering,Kern,Ventura Mountains; Roadcut adjacent to Cerro Noroeste Road a few miles from Bitter Creek National Wildlife Refuge.,"Dominant associates included: Quercus john-tuckeri, Bromus tectorum, and Poa bulbosum.",1300,34.91,-119.4,1000,,,,http://cch2.org/portal/collections/individual/index.php?occid=613403,cch2,,,,,,,,,
UC1069183,3232283,1935-04-06,1935,4,6,96,,Flowering/Fruiting,Santa Barbara,"6 mi wsw Cuyama Ranch; Santa Ynez Quad., wsw of Cuyama Ranch",Veg. Type: Grass; n slope,746,34.9374,-119.6822,805,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3232283,cch2,,,,,,,,,
UC1980035,3263926,2009-03-30,2009,3,30,89,menziesii,Flowering/Fruiting,Kern,"Coast Ranges; Temblor Mountains region: West end of the San Emigdio Mountains: Bitter Creek National Wildlife Refuge; Cienaga Canyon, off of Klipstein Canyon Road. Northeast of Cerro Noroeste Road.","Collected up steep slope of dry, sunny white loose shale, northeast of road, to top of hill, and along creek bottom at base of slope, a short distance to the east of the road. Growing in low gentle draw near top of ridge.",973,34.94695,-119.40093,,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3263926,cch2,,,,,,,,,
UC1069171,3464409,1935-03-04,1935,3,4,63,,Flowering/Fruiting,Kern,"near mouth of Grapevine Tejon Quad., San Joaquin Valley, nr Grapevine (San Joaquin V)",Veg. Type: Gr (underlined),365,34.9798,-118.8973,805,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3464409,cch2,,,,,,,,,
UC1069175,3549611,1936-03-20,1936,3,20,80,,Flowering/Fruiting,Santa Barbara,"2 1/2 mi sw Spanish Ranch; McKittrick Quad., Santa Barbara Natl Forest, sw Spanish Ranc",Veg. Type: woodland; 15 ne slope,762,35.0238,-120.0327,4828,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3549611,cch2,,,,,,,,,
UC2027001,3497176,2005-03-24,2005,3,24,83,,Flowering/Fruiting,San Luis Obispo,Southeast Half of the Caliente Range. Approx. 1.6km NNW of Wells Canyon,"Semi-desert scrub. NE facing slope dominated by Juniperus californica, Eriogonum fasciculatum var. polifolium, and Ericameria linearifolia",939,35.027778,-119.665278,50,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3497176,cch2,,,,,,,,,
UC1285256,3477884,1958-03-19,1958,3,19,78,,Flowering/Fruiting,San Luis Obispo,"near n base Caliente Mountain (Carrizo Plain); , near n base Caliente Mountain",,,35.084389,-119.752739,3783,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3477884,cch2,,,,,,,,,
UC2028828,3228819,2013-03-19,2013,3,19,78,menziesii,,Kern,"North of Comanche Creek, Tejon Ranch.","Gentle northwest facing slope, loamy sand soil.",343,35.098277,-118.759768,1000,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3228819,cch2,,,,,,,,,
UC72015,3469715,1895-04-01,1895,4,1,91,,Flowering/Fruiting,San Luis Obispo,Arroyo Grande,,,35.12187,-120.58559,2740,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3469715,cch2,,,,,,,,,
UC455932,3321386,1910-03-29,1910,3,29,88,,Flowering/Fruiting,San Luis Obispo,Carisa Plains,,,35.144588,-119.740544,16993,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3321386,cch2,,,,,,,,,
UC1069188,3293464,1936-03-14,1936,3,14,74,,Flowering/Fruiting,San Luis Obispo,"1 mi ese Sycamore Springs; Arroyo Grande Quad., San Luis Obispo NF, ese Sycamore Spring",Veg. Type: Woodland-Gr ; s slope,76,35.1874,-120.691,805,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3293464,cch2,,,,,,,,,
SFV112651,613417,1995-03-26,1995,3,26,85,,Flowering,San Luis Obispo,"Carrizo Plain; Carrizo Plain Natural Area. On ridge west of Soda Lake, about 5 miles north of Painted Rock.",Non-native grassland with Poa secunda.,800,35.19,-119.91,1000,,,,http://cch2.org/portal/collections/individual/index.php?occid=613417,cch2,,,,,,,,,
UC144182,3246164,1905-04-18,1905,4,18,108,,Flowering/Fruiting,Kern,Girard Station,,,35.190178,-118.51551,1220,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3246164,cch2,,,,,,,,,
SFV112657,613416,1993-03-19,1993,3,19,78,,Flowering,San Luis Obispo,"Carrizo Plain; Carrizo Plain Natural Area. Along Soda Lake Road, 2.3 miles northwest of intersection with dirt road leading to Painted Rock and Education Center.","Grassland area dominated by Bromus madritensis, Amsinckia tessellata, Schismus arabicus, and Erodium cicutarium.",585,35.23,-119.9,1000,,,,http://cch2.org/portal/collections/individual/index.php?occid=613416,cch2,,,,,,,,,
UC1069168,3500940,1937-04-15,1937,4,15,105,,Flowering/Fruiting,Kern,"2 1/2 mi n Crocker Spring; McKittrick Quad., n of Crocker Spring",Veg. Type: Gr (underlined); 5% nw slope,609,35.259804,-119.65086,1130,,,,http://cch2.org/portal/collections/individual/index.php?occid=3500940,cch2,,,,,,,,,
UC1137832,3513535,1935-03-03,1935,3,3,62,,Flowering/Fruiting,Kern,"4 mi n Arvin (near Sequoia N.F.); Caliente Quad., , n of Arvin",Veg. Type: Grassland; 1% w slope; soil sandy loam; grassy slopes & flats,167,35.2741,-118.8158,805,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3513535,cch2,,,,,,,,,
UC606954,3212540,1938-05-07,1938,5,7,127,,Flowering/Fruiting,Kern,6 mi n Caliente; n of Caliente,grassy slopes under Quercus,,35.331085,-118.58599,3232,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3212540,cch2,,,,,,,,,
UC54858,3382759,1882-04-01,1882,4,1,91,,Flowering/Fruiting,San Luis Obispo,Morro Bay,,,35.34247,-120.83321,6437,,,NAD83,http://cch2.org/portal/collections/individual/index.php?occid=3382759,cch2,,,,,,,,,
UC1069187,3330026,1936-03-27,1936,3,27,87,,Flowering/Fruiting,San Luis Obispo,"4.3 mi ne Black Butte; San Luis Obispo Quad., ne of Black Butte",Veg. Type: Grass; 2-3% slope,342,35.351067,-120.547444,2200,,,,http://cch2.org/portal/collections/individual/index.php?occid=3330026,cch2,,,,,,,,,
UC1069186,3525088,1937-04-14,1937,4,14,104,,Flowering/Fruiting,San Luis Obispo,"3 3/4 mi nne Pozo; Pozo Quad., Los Padres Natl Forest, nnw of Pozo",Veg. Type: Gr (underlined); w slope,548,35.3607,-120.3516,805,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3525088,cch2,,,,,,,,,
UC511238,3236174,1932-02-27,1932,2,27,58,,Flowering/Fruiting,Kern,"Kern River Park , Kern River Park (Kern River Watershed)",sandy soil; Lower Sonoran Zone; rolling foothills,182,35.434701,-118.883573,4000,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3236174,cch2,,,,,,,,,
UC168379,3162309,1891-04-03,1891,4,3,93,,Flowering/Fruiting,Kern,Lerdo,,,35.490215,-119.15081,1622,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3162309,cch2,,,,,,,,,
UC606955,3407644,1938-03-31,1938,3,31,90,,Flowering/Fruiting,Kern,"two mi w Famosa (Kimberlina Field, s of road to Wasco); w of Famosa, Kimberlina Field","with Lupinus, Orthocarpus & other herbs in open grassy fields",,35.558296,-119.233215,6128,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3407644,cch2,,,,,,,,,
UC310223,3186619,1926-04-08,1926,4,8,98,,Flowering/Fruiting,San Luis Obispo,Paso Robles,dryi slope,,35.630681,-120.675571,4500,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3186619,cch2,,,,,,,,,
UC1562894,3483889,1986-04-20,1986,4,20,110,integrifolia,Flowering/Fruiting,Kern,"Scodie Mts. E of Isabelle Lake, ca 4 air miles NW of Walker Pass, canyon on N side Pinyon Peak, shoulder of SE hill ca 1/2 mi from end of dirt road.","Canyon; dry sandy flat on shoulder of se hill; nearr end dirt rd w/digger pines, granite outcrops.",1524,35.697,-118.0852,805,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3483889,cch2,,,,,,,,,
UC1927520,3157927,2003-03-20,2003,3,20,79,integrifolia,,Kern,Sierra Nevada; Southern Sierra Nevada region; Owens Peak Eastern Watershed. Indian Wells Canyon.,"Flat area; dominated by Eriogonum fasciculatum var polifolium, E, wrightii var. subscaposum, and Lysium cooperi. Winter annuals abundant, dominated by Gilia brecciarum ssp. neglecta.",1494,35.7133,-117.9633,,,,,http://cch2.org/portal/collections/individual/index.php?occid=3157927,cch2,,,,,,,,,
UC1927593,3154572,2003-02-22,2003,2,22,53,integrifolia,,Kern,Sierra Nevada; Southern Sierra Nevada region; THE OWENS PEAK EASTERN WATERSHED. Upper reaches of Short Canyon. SW side of canyn.,"Associated species: Yucca brevifolia, Gutierrezia microcephala, Ericameria linearifolia, Cryptantha sp., Lotus argophyllus, Opuntia basilaris, Cheilanthes covillei, Poa secunda, Eriogonum fasciculatum var. polifolium, Phacelia fremontii.",1372,35.7156,-117.9286,,,,,http://cch2.org/portal/collections/individual/index.php?occid=3154572,cch2,,,,,,,,,
UC168378,3157400,1891-05-14,1891,5,14,134,,Flowering/Fruiting,Kern,Kernville,,,35.75524,-118.42399,2910,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3157400,cch2,,,,,,,,,
UC566277,3334199,1932-03-26,1932,3,26,86,,Flowering/Fruiting,San Luis Obispo,"2 mi e San Miguel; San Miguel Quad., e of San Miguel",,243,35.7554,-120.6662,4828,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3334199,cch2,,,,,,,,,
UC1069195,3281079,1938-03-30,1938,3,30,89,,Flowering/Fruiting,Monterey,"3 1/2 mi ese Pleyto Well; Bradley Quad., ese Pleyto Well",Veg. Type: D' Gr (Gr underlined); 20% se slope,289,35.7981,-120.8033,805,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3281079,cch2,,,,,,,,,
UC310899,3321052,1925-03-20,1925,3,20,79,,Flowering/Fruiting,Tulare,1 mi n Richgrove (open plain); n of Richgrove,open plain,,35.809273,-119.10217,3634,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3321052,cch2,,,,,,,,,
SFV112677,613404,1999-04-17,1999,4,17,107,menziesii,Flowering,Kern,"Ventura Mountains; San Emigdio Mountains. Cerro Noroeste Road, 4 km south of Cienega Canyon.",,800,35.91666667,-119.4083333,1000,,,,http://cch2.org/portal/collections/individual/index.php?occid=613404,cch2,,,,,,,,,
UC1069176,3163294,1932-03-03,1932,3,3,63,,Flowering/Fruiting,Fresno,"Canoas Creek Cholame Quad., Canoas Creek",Veg. Type: Grassland,335,35.9856,-120.2298,805,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3163294,cch2,,,,,,,,,
UC310398,3159045,1925-03-23,1925,3,23,82,,Flowering/Fruiting,Fresno,15 mi sw Coalinga; sw of Coalinga,"loose soil, damp slope",,35.98567,-120.54853,,,,,http://cch2.org/portal/collections/individual/index.php?occid=3159045,cch2,,,,,,,,,
UC659438,3164002,1940-03-24,1940,3,24,84,,Flowering/Fruiting,Fresno,"9 mi sw Coalinga (Curry Mountain, Waltham Canyon, western Fresno County); Inner Coast Ranges, Curry Mountain, Waltham Canyon","n slope, Juniperus-Aplopappus-Artemisia-Lupinus-Eriogonum Association",487,36.08272,-120.457664,1622,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3164002,cch2,,,,,,,,,
UC880917,3408935,1915-04-01,1915,4,1,91,,Flowering/Fruiting,Monterey,"Mansfield's Ranch , Mansfield's Ranch (King City)",,,36.1147,-121.1145,5000,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3408935,cch2,,,,,,,,,
UC24225,3147767,1897-03-31,1897,3,31,90,,Flowering/Fruiting,Tulare,Tulare,sandy wash,,36.207886,-119.34564,8060,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3147767,cch2,,,,,,,,,
UC24217,3149086,1897-04-01,1897,4,1,91,,Flowering/Fruiting,Tulare,"Tulare head of the San Joaquin Valley, Tulare",,,36.207886,-119.34564,8060,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3149086,cch2,,,,,,,,,
UC24213,3154366,1901-04-10,1901,4,10,100,,Flowering/Fruiting,Tulare,Kaweah,,,36.469776,-118.91665,3634,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3154366,cch2,,,,,,,,,
UC24226,3149639,1898-03-01,1898,3,1,60,,Flowering/Fruiting,Tulare,"35 mi e Visalia (near Grapevine Spring); San Joaquin Valley, , e of Visalia",,,36.49682,-118.81639,11681,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3149639,cch2,,,,,,,,,
UC880870,3189169,1938-04-19,1938,4,19,109,,Flowering/Fruiting,San Benito,"8 mi s Panoche (Griswold Canyon); , s of Panoche",open slopes,487,36.50766,-120.82507,1783,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3189169,cch2,,,,,,,,,
UC496087,3284882,1907-07-02,1907,7,2,183,,Flowering/Fruiting,Monterey,"near Carmel Highlands (San Jose Canyon); , near Carmel Highlands",,,36.519,-121.9178,850,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3284882,cch2,,,,,,,,,
UC610620,3554026,1935-02-10,1935,2,10,41,,Flowering/Fruiting,Monterey,"ne side Whaler's Knoll Point Lobos State Park; , ne side Whaler's Knoll",,,36.52167,-121.94611,1783,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3554026,cch2,,,,,,,,,
