X1,specimen_number,taxon name,collector,coll_number_prefix,coll_number,coll_number_suffix,collection_date,late_collection_date,verbatim_date,county,elevation,locality,latitude,longitude,datum,source,error_distance,units,citation,doy,new_error_distance_m
352,UC131445,Nemophila menziesii,C. F. Baker,NA,2868,NA,4/25/1903,4/25/1903,4/25/1903,San Joaquin,NA,"""Tracy; ; Tracy, San Joaquin Co.""",37.745274,-121.426834,not recorded,Terrain Navigator 5.03 USGS 1:24000,1.009,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),115,1623.82406
353,UC131446,Nemophila menziesii,C. F. Baker,NA,1970,NA,4/6/1903,4/6/1903,4/6/1903,San Francisco,NA,"""San Bruno hills; San Francisco, San Bruno hills""",37.6874,-122.4355,WGS84,"""Baldwin et al. (2017), Master spatial file""",500,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),96,500
354,UC131456,Nemophila menziesii,C. F. Baker,NA,500,NA,4/12/1902,4/12/1902,4/12/1902,San Mateo,NA,La Honda,37.317913,-122.269394,not recorded,"""Terrain Navigator, inferred""",0.564,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),102,907.66776
355,UC131658,Nemophila menziesii,A. A. Heller,NA,7272,NA,3/25/1904,3/25/1904,3/25/1904,Santa Clara,NA,w Los Gatos; w of Los Gatos,37.209385,-122.05352,not recorded,"""Terrain Navigator, inferred""",1.008,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),85,1622.21472
356,UC1377696,Nemophila menziesii,W. J. Dress,NA,3064,NA,3/17/1951,3/17/1951,3/17/1951,Contra Costa,NA,w Orinda; w of Orinda,37.877434,-122.20395,not recorded,"""Terrain Navigator Pro 1:24,000""",1.408,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),76,2265.95072
357,UC1426018,Nemophila menziesii,Donald R. Bissing,NA,32,NA,3/29/1973,3/29/1973,3/29/1973,Los Angeles,713 m,"""Evey Canyon San Gabriel Mountains, Evey Canyon (0.3 mi from mouth canyon, San Gabriel Mountains)""",34.166069,-117.683611,WGS84,GoogleEarth (copied from RSA240667),150,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),88,150
358,UC144182,Nemophila menziesii,A. A. Heller,NA,7710,NA,4/18/1905,4/18/1905,4/18/1905,Kern,NA,Girard Station,35.190178,-118.51551,NAD27,Terrain Navigator (copied from UC130902),0.758,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),108,1219.87972
359,UC144187,Nemophila menziesii,Baker,NA,4124,NA,4/4/1904,4/4/1904,4/4/1904,Riverside,NA,Elsinore,33.6814,-117.3608,not recorded,GoogleMaps via BerkeleyMapper (copied fr,4000,meters,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),95,4000
360,UC1537399,Nemophila menziesii,Gordon H. True Jr.,NA,48,NA,3/6/1935,3/6/1935,3/6/1935,Los Angeles,944 m,4 mi w Palmdale; w of Palmdale,34.57942,-118.18575,not recorded,Biogeomancer,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),65,NA
361,UC1611538,Nemophila menziesii,Tim Ross and Walter Appleby,NA,6823,NA,4/15/1993,4/15/1993,4/15/1993,Los Angeles,893 m,"""Los Pinetos Spring wester San Gabriel Mtns., San Fernando 7.5' USGS quad, Los P (at head of canyon)""",34.3594,-118.4386,not recorded,trs2LL,0.5,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),105,804.67
362,UC1614293,Nemophila menziesii,Charles M. Belshaw,NA,409,NA,3/17/1935,3/17/1935,3/17/1935,Alameda,NA,"""along w fence of Botanical Gardens Strawberry Canyon (Strawberry Canyon, Berkeley); Berkeley, Strawberry Canyon""",37.873528,-122.23781,not recorded,Terrain Navigator 5.03 1:24000,0.696,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),76,1120.10064
363,UC168379,Nemophila menziesii,T. S. Brandegee,NA,NA,NA,1891-04-03,1891-04-03,1891-04-03,Kern,NA,Lerdo,35.490215,-119.15081,not recorded,Terrain Navigator,1.008,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),93,1622.21472
364,UC196340,Nemophila menziesii,A. A. Heller,NA,11179,NA,2/16/1914,2/16/1914,2/16/1914,Butte,NA,8 mi n Oroville; n of Oroville,39.612827,-121.60595,not recorded,Terrain Navigator,4.008,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),47,6450.23472
365,UC24207,Nemophila menziesii,Harley P. Chandler,NA,1801,NA,4/12/1902,4/12/1902,4/12/1902,Alameda,NA,"""Berkeley Hills San Francisco Bay Region, Berkeley Hills""",37.8931,-122.2717,WGS84,GoogleMaps via BerkeleyMapper (copied from UCD105910),2.5,km,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),102,2500
366,UC24208,Nemophila menziesii,H. M. Hall,NA,2701,NA,3/4/1902,3/4/1902,3/4/1902,Alameda,NA,"""San Leandro Creek San Francisco Bay Region, San Leandro Creek""",37.74299,-122.07432,not recorded,Terrain Navigator 5.03 1:24000,10.576,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),63,17020.37984
367,UC24212,Nemophila menziesii,R. D. Alderson,NA,NA,NA,4/9/1921,4/9/1921,4/9/1921,San Diego,NA,Santa Ysabel,33.10921,-116.67308,WGS84,TOPO! (copied from UC86696),1.609,km,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),99,1609
368,UC24213,Nemophila menziesii,Ralph Hopping,NA,166,NA,4/10/1901,4/10/1901,4/10/1901,Tulare,NA,Kaweah,36.469776,-118.91665,not recorded,"""Terrain Navigator 1:24,000""",2.258,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),100,3633.88972
369,UC24214,Nemophila menziesii,Jos. Burtt Davy,NA,6886,NA,4/13/1901,4/13/1901,4/13/1901,Marin,NA,Angel Island,37.86278,-122.43083,not recorded,Terrain Navigator 5.03 USGS 1:24000,1.03,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),103,1657.6202
370,UC24216,Nemophila menziesii,H. M. Hall,NA,2931,NA,4/21/1902,4/21/1902,4/21/1902,Riverside,NA,Gavilan,33.8037,-117.3779,not recorded,GoogleMaps via BerkeleyMapper (copied fr,2.5,kilometers,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),111,2500
371,UC24222,Nemophila menziesii,Harley P. Chandler,NA,NA,NA,1897-02-10,1897-02-10,1897-02-10,Los Angeles,365 m,Claremont,34.09667,-117.71889,WGS84,"""Baldwin et al. (2017), Master spatial file""",1,km,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),41,1000
372,UC24223,Nemophila menziesii,H. M. Hall,NA,NA,NA,1897-03-20,1897-03-20,1897-03-20,Riverside,NA,Temescal Mine,33.7866,-117.4363,not recorded,GoogleMaps via BerkeleyMapper (copied fr,7.4,kilometers,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),79,7400
373,UC24224,Nemophila menziesii,J. Burtt Davy,NA,2610,NA,1896-05-20,1896-05-20,1896-05-20,Los Angeles,NA,Leonis Valley,34.62475,-118.30813,WGS84,CalTopo 1885-1915 (copied from UC18550),7,km,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),141,7000
374,UC24225,Nemophila menziesii,J. Burtt Davy,NA,3102,NA,1897-03-31,1897-03-31,1897-03-31,Tulare,NA,Tulare,36.207886,-119.34564,not recorded,"""Terrain Navigator 1:24,000""",5.008,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),90,8059.57472
375,UC24235,Nemophila menziesii,J. Burtt Davy,NA,1673,NA,1896-03-15,1896-03-15,1896-03-15,Sonoma,NA,near Fort Ross; near Fort Ross,38.51417,-123.2425,not recorded,Biogeomancer,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),75,NA
376,UC24236,Nemophila menziesii,Harley P. Chandler,NA,281,NA,1899-04-08,1899-04-08,1899-04-08,Marin,NA,n slope Mt. Tamalpais,37.9273,-122.59169,not recorded,Terrain Navigator 5.03 USGS 1:24000,1.808,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),98,2909.68672
377,UC24237,Nemophila menziesii,J. Burtt Davy,NA,2975,NA,1896-04-04,1896-04-04,1896-04-04,San Francisco,NA,Lake Merced,37.7198,-122.49132,not recorded,inferred from Terrain Navigator,1.526,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),95,2455.85284
378,UC24241,Nemophila menziesii,J. Burtt Davy,NA,681,NA,1894-03-31,1894-03-31,1894-03-31,Marin,NA,Olema,38.040913,-122.78589,not recorded,Terrain Navigator 5.03 USGS 1:24000,1.008,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),90,1622.21472
379,UC24242,Nemophila menziesii,Milo S. Baker,NA,NA,NA,3/31/1902,3/31/1902,3/31/1902,Sonoma,NA,Kenwood,38.41389,-122.545,not recorded,Biogeomancer,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),90,NA
380,UC303377,Nemophila menziesii,"""Marcus E. Jones, A. M.""",NA,3079,NA,1882-03-17,1882-03-17,1882-03-17,San Diego,NA,San Diego,32.734,-117.129,WGS84,Topo (from SD) (copied from SBBG113996),9.5,km,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),76,9500
381,UC310216,Nemophila menziesii,Philip A. Munz,NA,10404,NA,5/1/1926,5/1/1926,5/1/1926,San Diego,1524 m,Oak Grove trail to Palomar Mt.; Oak Grove trail to Palomar Mt.,33.37773,-116.82082,not recorded,SD_georef (mak),2,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),121,3218.68
382,UC310223,Nemophila menziesii,Philip A. Munz,NA,10123,NA,4/8/1926,4/8/1926,4/8/1926,San Luis Obispo,NA,Paso Robles,35.630681,-120.675571,WGS84,GEOLocate,4500,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),98,4500
383,UC310650,Nemophila menziesii,Philip A. Munz,NA,10296,NA,4/11/1926,4/11/1926,4/11/1926,Santa Barbara,NA,10 mi w Buellton; w of Buellton,34.6633,-120.3401,NAD83,Terrain Nav. v. 8.7 (copied from UC310784),1,km,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),101,1000
384,UC310899,Nemophila menziesii,Philip A. Munz,NA,9014,NA,3/20/1925,3/20/1925,3/20/1925,Tulare,NA,1 mi n Richgrove (open plain); n of Richgrove,35.809273,-119.10217,not recorded,"""Terrain Navigator 1:24,000""",2.258,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),79,3633.88972
385,UC407074,Nemophila menziesii,L. R. Abrams,NA,10055,NA,4/1/1923,4/1/1923,4/1/1923,Tuolumne,NA,1 mi w Keystone; w of Keystone,37.83528,-120.52496,not recorded,Biogeomancer,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),91,NA
386,UC455932,Nemophila menziesii,I. J. Condit,NA,NA,NA,3/29/1910,3/29/1910,3/29/1910,San Luis Obispo,NA,Carisa Plains,35.144588,-119.740544,WGS84,GeoLocate (copied from UCSC324),16.993,km,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),88,16993
387,UC480616,Nemophila menziesii,Carl Meyer,NA,327,NA,3/4/1928,3/4/1928,3/4/1928,Monterey,NA,"""near Watsonville (Aromas); near Watsonville, Aromas""",36.88841,-121.63942,WGS84,GoogleMaps via BerkeleyMapper (copied from UC480603),789,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),64,789
388,UC480617,Nemophila menziesii,Carl Meyer,NA,284,NA,2/22/1928,2/22/1928,2/22/1928,Contra Costa,NA,Mt. Diablo,37.88178,-121.91309,not recorded,"""Terrain Navigator Pro 1:24,000""",3.364,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),53,5413.81976
389,UC495298,Nemophila menziesii,Philip A. Munz,NA,12023,NA,3/24/1932,3/24/1932,3/24/1932,Riverside,304 m,n Elsinore; n of Elsinore,33.70889,-117.36083,not recorded,(copied from UCR143322),NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),84,NA
390,UC496087,Nemophila menziesii,Misses Patterson and Wiltz,NA,NA,NA,7/2/1907,7/2/1907,7/2/1907,Monterey,NA,"""near Carmel Highlands (San Jose Canyon); , near Carmel Highlands""",36.519,-121.9178,WGS84,GoogleMaps via BerkeleyMapper,850,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),183,850
391,UC501545,Nemophila menziesii,Frank W. Peirson,NA,8286,NA,3/31/1929,3/31/1929,3/31/1929,San Diego,NA,"""e Julian (Foster Grade, just below Banner); Foster Grade, e of Julian, just below Banner""",33.0828,-116.572,not recorded,SD_georef (mak),1.6,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),90,2574.944
392,UC536816,Nemophila menziesii,M. E. Jones,NA,2,NA,3/23/1934,3/23/1934,3/23/1934,San Bernardino,NA,Upland,34.094533,-117.648592,WGS84,Geolocate (copied from POM3499),2.4,km,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),82,2400
393,UC55254,Nemophila menziesii,Milo S. Baker,NA,NA,NA,2/25/1900,2/25/1900,2/25/1900,Sacramento,NA,2 mi se Sacramento; se of Sacramento,38.45,-121.47,not recorded,Terrain Navigator 5.03 USGS 1:24000,3.25,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),56,5230.355
394,UC566277,Nemophila menziesii,A. Lewis,NA,57,NA,3/26/1932,3/26/1932,3/26/1932,San Luis Obispo,NA,"""2 mi e San Miguel; San Miguel Quad., e of San Miguel""",35.7554,-120.6662,not recorded,trs2LL,3,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),86,4828.02
395,UC56876,Nemophila menziesii,Ernest Braunton,NA,216,NA,4/30/1902,4/30/1902,4/30/1902,Los Angeles,NA,North Pomona,34.09,-117.74944,not recorded,Biogeomancer,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),120,NA
396,UC571709,Nemophila menziesii,C. W. and H. K. Sharsmith,NA,1712,NA,3/31/1935,3/31/1935,3/31/1935,Santa Clara,548 m,between Hall's Valley and Grand View (western side of Mount Hamilton); western side of Mount Hamilton,37.342384,-121.64059,not recorded,"""Terrain Navigator, inferred""",0.323,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),90,519.81682
397,UC571711,Nemophila menziesii,Lois Chambers,NA,99,NA,3/30/1933,3/30/1933,3/30/1933,Santa Clara,NA,"""Arroyo Mocho near headwaters (Mount Hamilton Range); , Arroyo Mocho""",37.497536,-121.53551,NAD27,"""Baldwin et al. (2017), Master spatial file""",1.068,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),89,1718.77512
398,UC572488,Nemophila menziesii,D. Axelrod,NA,238,NA,4/27/1935,4/27/1935,4/27/1935,San Bernardino,1386 m,"""3 mi se of mouth Deep Creek (eight mi se of Hesperia); Deep Creek Quad., San Bernardino NF, se of Deep Creek""",34.316,-117.1982,not recorded,trs2LL,0.5,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),117,804.67
399,UC592140,Nemophila menziesii,H. S. Reed,NA,638,NA,4/12/1935,4/12/1935,4/12/1935,San Bernardino,NA,Mohave Desert,34.84988,-116.41113,WGS84,GoogleMaps via BerkeleyMapper (copied from GH427514),108.447,km,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),102,108447
400,UC592188,Nemophila menziesii,H. L. Mason,NA,5108,NA,3/24/1929,3/24/1929,3/24/1929,Madera,NA,at junction of Yosemite Road eighteen mi e Madera; e of Madera at junction of Yosemite Road,36.986427,-119.7463,not recorded,Terrain Navigator 5.03 USGS 1:24000b,15.752,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),83,25350.32368
401,UC592189,Nemophila menziesii,H. L. Mason,NA,1287,NA,3/7/1925,3/7/1925,3/7/1925,Alameda,NA,bluff above stream junction one-half mi sw Sunol; sw of Sunol,37.579037,-121.90704,not recorded,Terrain Navigator 5.03 1:24000,1.742,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),66,2803.47028
402,UC592190,Nemophila menziesii,H. L. Mason,NA,6837,NA,3/20/1932,3/20/1932,3/20/1932,Contra Costa,NA,Antioch sand hills,38.015244,-121.78886,not recorded,"""Terrain Navigator Pro 1:24,000""",0.553,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),80,889.96502
403,UC593306,Nemophila menziesii,H. L. Mason,NA,11807,NA,5/8/1938,5/8/1938,5/8/1938,Santa Barbara,1371 m,"""e Zaca Peak (near summit Figueroa Mountain, San Rafael Mountains); San Rafael Mountains, Figueroa Mountain, e of Zaca Peak""",34.7432,-119.9848,NAD83,Terrain Nav. v. 8.7 (copied from UC908924),1,km,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),128,1000
404,UC595056,Nemophila menziesii,H. L. Mason,NA,11742,NA,5/1/1938,5/1/1938,5/1/1938,Lake,NA,Bartlett Springs,39.18314,-122.70256,not recorded,"""Terrain Navigator Pro 1:24,000""",0.058,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),121,93.34172
405,UC596369,Nemophila menziesii,R. F. Hoover,NA,1689,NA,3/25/1937,3/25/1937,3/25/1937,Madera,NA,8 mi w Chowchilla; w of Chowchilla,37.118904,-120.409256,not recorded,Terrain Navigator 5.03 USGS 1:24000,6.988,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),84,11246.06792
406,UC596582,Nemophila menziesii,R. J. S.,NA,NA,NA,4/1/1909,4/1/1909,4/1/1909,Santa Clara,NA,Milpitas,37.427773,-121.90488,not recorded,"""Terrain Navigator, inferred""",2.008,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),91,3231.55472
407,UC596584,Nemophila menziesii,R. L. Pendleton,NA,553,NA,4/2/1907,4/2/1907,4/2/1907,Santa Clara,274 m,hills w Los Gatos (West Central California); w of Los Gatos,37.2202,-122.0344,WGS84,GoogleMaps via BerkeleyMapper (copied from DS114130),3.5,km,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),92,3500
408,UC606903,Nemophila menziesii,L. Constance,NA,2033,NA,3/27/1938,3/27/1938,3/27/1938,Napa,457 m,"""5 mi e Napa (n slope in Howell Mountains, North Coast Ranges); North Coast Ranges, Howell Mountains, e of Napa""",38.3425,-122.1996,WGS84,"""Baldwin et al. (2017), Master spatial file""",22,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),86,22
409,UC606906,Nemophila menziesii,L. Constance and R. F. Hoover,NA,2069,NA,4/3/1938,4/3/1938,4/3/1938,San Benito,609 m,"""on Tres Pinos Creek 7 mi nw Llanada (San Carlos Range, Inner South Coast Ranges); Inner South Coast Ranges, San Carlos Range""",36.68138,-121.00466,not recorded,Terrain Navigator 5.03 1:24000,3.142,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),93,5056.54628
410,UC606908,Nemophila menziesii,L. Constance,NA,2086,NA,4/10/1938,4/10/1938,4/10/1938,San Luis Obispo,198 m,"""in ravine at n edge Paso Robles , n edge Paso Robles (Salinas River Valley)""",35.6416,-120.7016,WGS84,"""Baldwin et al. (2017), Master spatial file""",33,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),100,33
411,UC606911,Nemophila menziesii,L. Constance,NA,2199,NA,5/7/1938,5/7/1938,5/7/1938,Madera,762 m,"""11 mi sw Coarse Gold (3 mi sw of Kelshaw Corners, Sierra Nevada foothills); Sierra Nevada foothills, sw of Coarse Gold""",37.121006,-119.77128,not recorded,Terrain Navigator 5.03 USGS 1:24000,1.762,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),127,2835.65708
412,UC606912,Nemophila menziesii,"""L. Constance, J. L. Morrison""",NA,2180,NA,5/1/1938,5/1/1938,5/1/1938,Tehama,304 m,"""low hills at Paskenta (Inner North Coast Ranges); , Paskenta""",39.8468,-122.5944,not recorded,(copied from JEPS1489),1350,meters,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),121,1350
413,UC606913,Nemophila menziesii,L. Constance,NA,2144,NA,4/22/1938,4/22/1938,4/22/1938,Lake,457 m,"""4 mi sw Lower Lake (on a branch of Cache Creek, North Coast Ranges); North Coast Ranges, sw of Lower Lake, Cache Creek branch""",38.885494,-122.66307,not recorded,"""Terrain Navigator Pro 1:24,000""",1.719,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),112,2766.45546
414,UC606915,Nemophila menziesii,L. Constance,NA,2218,NA,5/9/1938,5/9/1938,5/9/1938,Fresno,1219 m,"""1.3 mi e Pinehurst (road to General Grant Park, Sierra Nevada foothills); Sierra Nevada foothills, e of Pinehurst""",36.695316,-119.003845,not recorded,Terrain Navigator v.5.03 1:25000,1.258,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),129,2024.54972
415,UC606953,Nemophila menziesii,Mildred Mathias,NA,1341,NA,5/7/1938,5/7/1938,5/7/1938,Kern,NA,6 mi n Caliente; n of Caliente,35.331085,-118.58599,not recorded,Terrain Navigator,2.008,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),127,3231.55472
416,UC606954,Nemophila menziesii,Mildred Mathias,NA,1340,NA,5/7/1938,5/7/1938,5/7/1938,Kern,NA,6 mi n Caliente; n of Caliente,35.331085,-118.58599,not recorded,Terrain Navigator,2.008,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),127,3231.55472
417,UC610620,Nemophila menziesii,"""Edward Lee, Herbert Mason""",NA,9183,NA,2/10/1935,2/10/1935,2/10/1935,Monterey,NA,"""ne side Whaler's Knoll Point Lobos State Park; , ne side Whaler's Knoll""",36.52167,-121.94611,NAD27,Terrain Navigator Pro (copied from UC610600),1.108,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),41,1783.14872
418,UC618397,Nemophila menziesii,"""Alice Eastwood, John Thomas Howell""",NA,4280,NA,5/3/1937,5/3/1937,5/3/1937,San Benito,NA,"""se Panoche (Griswold Creek); se of Panoche, Griswold Creek""",36.583206,-120.80852,not recorded,Terrain Navigator 5.03 1:24000,0.258,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),123,415.20972
419,UC618484,Nemophila menziesii,"""Alice Eastwood, John Thomas Howell""",NA,5400,NA,5/4/1938,5/4/1938,5/4/1938,Madera,NA,near Bass Lake; near Bass Lake,37.31176,-119.547646,not recorded,Terrain Navigator 5.03 USGS 1:24000,2.008,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),124,3231.55472
420,UC618586,Nemophila menziesii,"""Alice Eastwood, John Thomas Howell""",NA,5364,NA,5/3/1938,5/3/1938,5/3/1938,Mariposa,NA,near Granite Springs; near Granite Springs,37.700974,-120.29435,not recorded,Terrain Navigator 5.03 USGS 1:24000,1.008,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),123,1622.21472
421,UC63798,Nemophila menziesii,H. M. Hall,NA,406,NA,1897-03-20,1897-03-20,1897-03-20,Riverside,457 m,Temescal Mts.,33.7866,-117.4363,not recorded,GoogleMaps via BerkeleyMapper (copied fr,7.4,kilometers,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),79,7400
422,UC63943,Nemophila menziesii,Earle Mulliken,NA,41,NA,4/26/1903,4/26/1903,4/26/1903,Alameda,NA,Berkeley Hills,37.88306,-122.2375,not recorded,Biogeomancer,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),116,NA
423,UC643397,Nemophila menziesii,"""I. W. Clokey, B. C. Templeton""",NA,4666,NA,4/9/1930,4/9/1930,4/9/1930,Riverside,NA,n Banning; n of Banning,33.933,-116.9,WGS84,BerkeleyMapper (copied from UC857160),5000,meters,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),99,5000
424,UC660076,Nemophila menziesii,W. C. McCalla,NA,5732,NA,4/4/1940,4/4/1940,4/4/1940,Sacramento,NA,ne Sacramento; ne of Sacramento,38.6024,-121.4161,WGS84,"""Baldwin et al. (2017), Master spatial file""",4.32,km,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),95,4320
425,UC663110,Nemophila menziesii,F. G. Meyer,NA,1378,NA,4/5/1938,4/5/1938,4/5/1938,Lake,NA,along the ne side Clear Lake ne side of Clearlake (Clear Lake),38.971554,-122.610886,not recorded,"""Terrain Navigator Pro 1:24,000""",1.008,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),95,1622.21472
426,UC666593,Nemophila menziesii,Dorothy E. Beetle,NA,197,A,4/19/1942,4/19/1942,4/19/1942,San Diego,NA,2 1/2 mi from Palomar Mt. Summit (on road to Palomar Mt.); road to Palomar Mt.,33.3436,-116.8804,WGS84,Google Earth,401,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),109,401
427,UC66822,Nemophila menziesii,N. K. Berg,NA,NA,NA,4/3/1904,4/3/1904,4/3/1904,Monterey,NA,Pacific Grove,36.617738,-121.916622,WGS84,GeoLocate (copied from CAS228751),2.752,km,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),94,2752
428,UC67143,Nemophila menziesii,R. H. Platt,NA,NA,NA,3/21/1902,3/21/1902,3/21/1902,Solano,NA,Vacaville,38.36104,-121.97021,WGS84,GoogleMaps via BerkeleyMapper (copied from POM141908),8.808,km,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),80,8808
429,UC67144,Nemophila menziesii,Milo S. Baker,NA,617,NA,1898-04-23,1898-04-23,1898-04-23,Sonoma,NA,Santa Rosa Creek Canyon,38.48098,-122.57153,NAD27,"""Baldwin et al. (2017), Master spatial file""",2.917,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),113,4694.44478
430,UC67145,Nemophila menziesii,Daniel Cleveland,NA,NA,NA,1882-04-24,1882-04-24,1882-04-24,Riverside,NA,Temecula,33.4956,-117.1493,not recorded,GoogleMaps via BerkeleyMapper,5000,meters,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),114,5000
