specimen_number,date_new,year,month,day,DOY,lat,long,elev_m,error_dist_m,sub_sp,county,locality,source,datum
UCR165916,2004-05-27,2004,5,27,148,34.02375,-116.89231,1402,NA,NA,Riverside,"""San Bernardino Mtns, head of Banning (San Gorgonio River) Canyon close to the San Bernardino Co. line, 1 mi SE of Oak Glen Conservation Camp""",cch1,NA
UCR16616,1967-03-19,1967,3,19,78,34.57806,-119.95667,229,NA,NA,Santa Barbara,"""Western Transverse Range; Santa Ynez Mtns., Lake Cachuma County Park. Lake shore, south of boat ramp""",cch1,NA
UCR166174,2005-02-10,2005,2,10,41,33.51103,-117.06725,430,NA,NA,Riverside,"""Peninsular Range, E of Temecula, Rancho California, SE of intersection of Mesa Verdugo and Calle Vista, N of Pauba Valley and south of Buck Mesa""",cch1,NA
UCR16817,1968-04-27,1968,4,27,118,34.23278,-117.47333,915,NA,NA,San Bernardino,"""San Gabriel Mtns, Lytle Creek, c. 0.5 mi. SE of Ranger Station""",cch1,NA
UCR16818,1968-05-05,1968,5,5,126,34.01167,-116.985,1098,NA,NA,San Bernardino,"""San Bernardino Mtns, Wildwood Canyon, east end, Camp Wiwoca""",cch1,NA
UCR16819,1976-05-27,1976,5,27,148,34.20222,-117.48611,1433,NA,NA,San Bernardino,"""San Gabriel Mtns., San Sevaine Cow Camp, [west of] Lytle Creek""",cch1,NA
UCR16820,1970-05-09,1970,5,9,129,33.56833,-116.5275,1220,NA,NA,Riverside,"""Santa Rosa Mtns., State Hwy 74, 1 mi. west of Santa Rosa Mountain Road""",cch1,NA
UCR16822,1973-04-22,1973,4,22,112,34.24333,-117.26333,1829,NA,NA,San Bernardino,"""San Bernardino Mtns, opposite 24680 Lake Drive, east shore of Lake Gregory""",cch1,NA
UCR172782,2000-04-30,2000,4,30,121,34.21611,-118.14639,823,NA,NA,Los Angeles,"""Transverse Ranges; San Gabriel Mtns., Millard Canyon, campground 2 mi N of Altadena, up the stream immediately after Millard campground.""",cch1,NA
UCR172794,2000-05-20,2000,5,20,141,34.27056,-117.29139,1159,NA,NA,San Bernardino,"""Transverse Ranges; San Bernardino Mtns., Miller Canyon next to East fork of West fork Mojave River. east of Silverwood lake.""",cch1,NA
UCR172809,2000-04-13,2000,4,13,104,33.6,-117.01667,610,NA,NA,Riverside,"""Peninsular Ranges, Southwestern Riverside County Multispecies Reserve, c. 3 mi NE of Skinner Reservoir""",cch1,NA
UCR176103,2005-05-03,2005,5,3,123,34.27194,-117.29417,1098,NA,NA,San Bernardino,"""San Bernardino Mtns, Miller Canyon below Hwy 138, SE of Silverwood Lake, East Fork of West Fork of the Mojave River""",cch1,NA
UCR177946,1998-04-30,1998,4,30,120,33.97222,-116.86056,915,NA,NA,Riverside,"""San Bernardino Mtns., Morongo Indian Reservation, side canyon east of Hathaway Canyon, tree stand F-06""",cch1,NA
UCR178142,1998-04-23,1998,4,23,113,33.99722,-116.83,1220,NA,NA,Riverside,"""San Bernardino Mtns., Morongo Indian Reservation, seep in Wood Canyon, tree stand W-07""",cch1,NA
UCR178843,1998-05-14,1998,5,14,134,33.98528,-116.78056,1128,NA,NA,Riverside,"""San Bernardino Mtns., Morongo Indian Reservation, flat area cut by small wash, south and west of dirt road to Kitching Peak near junction with East Branch Millard Canyon, tree stand M-04""",cch1,NA
UCR180741,1995-03-25,1995,3,25,84,34.40639,-117.60583,1378,NA,NA,San Bernardino,"""San Gabriel Mtns., Pinon Hills area at Sheep Creek, 0.9 mi. south of Hwy 138 at Scrub Oak Rd.""",cch1,NA
UCR180765,1995-04-03,1995,4,3,93,34.25694,-117.47583,1037,NA,NA,San Bernardino,"""San Gabriel Mtns., Lower Lytle Creek Divide, 0.7 mi. NE of junction of Applewhite Rd. and FS Rd. 3N31""",cch1,NA
UCR181294,1995-04-29,1995,4,29,119,34.29972,-117.48028,945,NA,NA,San Bernardino,"""San Gabriel Mtns., west of Cajon Wash and south of Hwy 138, c. 1 mile SSW of Cajon Junction, off FS road 3N49""",cch1,NA
UCR181563,1995-04-01,1995,4,1,91,34.20722,-117.66528,1220,NA,NA,San Bernardino,"""San Gabriel Mtns., flats immediately south of Spring Hill, west of FS Rd 2N04 (Barrett-Stoddard Truck Rd.), north of Stoddard Peak""",cch1,NA
UCR181673,1995-04-22,1995,4,22,112,34.19556,-117.54583,1043,NA,NA,San Bernardino,"""Transverse Ranges; San Gabriel Mtns., near Cucamonga, Day Canyon, 0.9 miles NW of gaging station at mouth of canyon, at small westerly tributary""",cch1,NA
UCR181684,1995-04-22,1995,4,22,112,34.19222,-117.5425,976,NA,NA,San Bernardino,"""Transverse Ranges; San Gabriel Mtns., near Cucamonga, Day Canyon, 0.6 miles NW of gaging station at mouth of canyon""",cch1,NA
UCR182260,1998-04-14,1998,4,14,104,34.42333,-117.71444,1512,NA,NA,Los Angeles,"""San Gabriel Mtns./Southern Mojave Desert, 100 m east of mouth of Mescal Canyon, in Mescal Heights area, 50 m east of 237th St. East""",cch1,NA
UCR183680,2007-05-11,2007,5,11,131,34.84194,-118.81889,1280,NA,NA,Kern,"""Tehachapi Mountains, hills c. 3/4 mile east of Castac Lake, east of the pipeline road and west of Dry Field Canyon""",cch1,NA
UCR184221,2007-04-19,2007,4,19,109,34.80417,-118.74917,1098,NA,NA,Los Angeles,"""Tehachapi Mtns. Foothills, hills north of Oso Canyon and south of the National Cement Plant""",cch1,NA
UCR185608,2007-04-25,2007,4,25,115,34.81417,-118.78472,1159,NA,NA,Los Angeles,"""Tehachapi Mtns., Oso Canyon, 0.5 mi. SE of Kern Co. line, on Oso Canyon Rd.""",cch1,NA
UCR186487,2007-04-27,2007,4,27,117,34.8675,-118.67594,1098,NA,NA,Los Angeles,"""Tehachapi Mountains Foothills, Bronco Canyon, c. 0.5 mi above confluence with Pescado Creek""",cch1,NA
UCR186955,2006-03-22,2006,3,22,81,34.78889,-118.7375,1067,NA,NA,Los Angeles,"""Tehachapi Mtns. Foothills, south side of Oso Canyon, 1/2 mile above the National Cement Plant Rd., 1.2 mi. north of Quail Lake""",cch1,NA
UCR187019,2006-04-25,2006,4,25,115,34.77028,-118.67833,1006,NA,NA,Los Angeles,"""Transverse Range; Liebre Mtns. Region, 1/2 mi. NW of La Liebre Ranch on the south side of Hwy 138, west of the mouth of Tentrock Canyon""",cch1,NA
UCR187271,2006-04-18,2006,4,18,108,34.79944,-118.75833,1037,NA,NA,Los Angeles,"""Tehachapi Mtns. Foothills, Oso Canyon, c. 2 miles due north of the west end of Quail Lake""",cch1,NA
UCR189255,1998-05-16,1998,5,16,136,34.43333,-117.71667,1402,NA,NA,Los Angeles,"""San Gabriel Mountains/Mojave Desert, near Pinon Hills, Mescal Highlands, 0.9 mile west of 237th St. East at Panorama Way, 2.3 mi. S of Ft. Tejon Rd.""",cch1,NA
UCR189392,1998-05-30,1998,5,30,150,34.19333,-117.73028,890,NA,NA,Los Angeles,"""San Gabriel Mtns., San Dimas Experimental Forest, Fern Canyon""",cch1,NA
UCR189693,1998-05-23,1998,5,23,143,34.30139,-117.49583,1335,NA,NA,San Bernardino,"""San Gabriel Mtns., Ralston Peak, on southern ridge""",cch1,NA
UCR190388,2001-04-18,2001,4,18,108,34.45167,-117.81139,1223,NA,NA,Los Angeles,"""San Gabriel Mtns./Mojave Desert, Valyermo area, Bobs Gap, east of Bobs Gap Road at base of ridge""",cch1,NA
UCR190419,2001-04-18,2001,4,18,108,34.45306,-117.80694,1311,NA,NA,Los Angeles,"""San Gabriel Mtns./Mojave Desert, Valyermo area, ridge top c. 500 m east of south end of Bobs Gap""",cch1,NA
UCR192038,2008-04-11,2008,4,11,102,34.77222,-118.61667,970,NA,NA,Los Angeles,"""Transverse Range/ Mojave Desert, hills south of Hwy 138, c. 1 mile SW of Neenach School, NW of VABM 'Pine""",cch1,NA
UCR192569,2008-04-10,2008,4,10,101,34.76667,-118.60833,1006,NA,NA,Los Angeles,"""Transverse Range/Mojave Desert, hills south of Hwy 138, c. 1 mile south of Neenach School, slopes N & E of VABM 'Pine""",cch1,NA
UCR193524,2008-06-24,2008,6,24,176,33.71168,-116.69023,1555,NA,NA,Riverside,"""Peninsular Range; San Jacinto Mtns., May Valley c. 1.25 mi SW of Fleming Ranch, slope below May Valley Rd. toward meadow on nameless tributary NW of Herkey Crk., north of Bonita Vista Rd.""",cch1,NA
UCR193674,1999-06-25,1999,6,25,176,34.19583,-117.71667,1171,NA,NA,Los Angeles,"""San Gabriel Mtns., Fern Canyon, c. 1.75 mi. east of confluence with upper East Fork San Dimas Canyon""",cch1,NA
UCR204865,2008-03-24,2008,3,24,84,34.31417,-117.43861,1125,NA,NA,San Bernardino,"""San Bernardino Mountains, Wye Peak at Cajon Junction, NE of 215/Hwy 138 intersection""",cch1,NA
UCR205094,2008-04-11,2008,4,11,102,34.17028,-117.81278,549,NA,NA,Los Angeles,"""San Gabriel Mtns., San Dimas Experimental Forest, Lewis Paul Canyon, above waterfall at junction of Big Dalton Cyn. Rd.""",cch1,NA
UCR207548,2004-03-27,2004,3,27,87,33.96667,-117.31944,424,NA,NA,Riverside,"""Peninsular Range, Riverside; UCR Botanical Garden""",cch1,NA
UCR213288,2010-03-30,2010,3,30,89,34.84278,-118.69528,1015,NA,NA,Kern,"""Tehachapi Mtns. Foothills, hills between Big Sycamore and Little Sycamore canyons, north of reservoir on Calif. Aqueduct""",cch1,NA
UCR213310,2010-03-31,2010,3,31,90,33.73444,-117.41083,378,NA,NA,Riverside,"""Peninsular Range; foothills of Gavilan Hills, Temescal Canyon at Alberhill, c. 1/2 mi. west of Lake St. on north side of I-15, near Temescal Canyon Rd. undercrossing, at north edge of Concordia Ranch Rd.""",cch1,NA
UCR213512,2010-04-07,2010,4,7,97,33.74306,-117.39417,488,NA,NA,Riverside,"""Peninsular Range, southeastern Gavilan Hills north of Alberhill, ridge west of dirt extension of Lake St., 0.9 mi. north (358 deg. ) of intersection of I-15 and Lake St.""",cch1,NA
UCR214009,2004-04-05,2004,4,5,96,33.76667,-116.86667,671,NA,NA,Riverside,"""San Jacinto Mountains, Foothills, north of Valle Vista. Indian Creek Watershed""",cch1,NA
UCR214103,2010-04-20,2010,4,20,110,34.81389,-118.83194,1189,NA,NA,Los Angeles,"""Tehachapi Mountains, Crane Canyon, 1.0 mi. SE (144 deg. ) of Castac Lake, 1.7 mi. NE (43 deg. ) of Gorman, just S of Kern Co. line""",cch1,NA
UCR214403,2010-04-14,2010,4,14,104,34.91889,-118.64028,1613,NA,NA,Kern,"""Tehachapi Mountains, head of Canyon del Gato Montes, near foot of road over ridge toward Canyon de la Lecheria""",cch1,NA
UCR214729,2010-04-26,2010,4,26,116,34.88731,-118.65233,1259,NA,NA,Kern,"""Southern Foothills of Tehachapi Mountains, mouth of Canyon de la Lecheria, north of the end of 290th St. West, head of Pescado Creek""",cch1,NA
UCR224679,2008-03-25,2008,3,25,85,35.30728,-119.98622,591,NA,NA,San Luis Obispo,"""north of Carrizo Plain National Monument, along Soda Lake Road between College and Belmont Streets""",cch1,NA
UCR225212,2011-04-19,2011,4,19,109,33.73889,-117.38889,473,NA,NA,Riverside,"""Peninsular Range; Gavilan Hills, Alberhill, unpaved extension of Lake Street, 1.5 km NNE of the intersection of Lake Street and Hwy 15""",cch1,NA
UCR225595,2011-03-29,2011,3,29,88,33.73644,-117.23564,451,NA,NA,Riverside,"""Peninsular Range; Perris-Aguanga Basin Region, hills between Sun City and Perris, low hilltop along powerline corridor c. 1/2 mile west of Goetz Rd., west of Alabaster Loop, above the San Jacinto River upstream of Railroad Canyon Lake""",cch1,NA
UCR230212,2011-04-06,2011,4,6,96,33.76306,-117.46639,320,NA,NA,Riverside,"""Peninsular Range; Santa Ana Mtns. Region, Temescal Canyon, along Temescal Canyon Rd. 1.5 mi. NE (73 deg. ) of Glen Ivy Hot Springs, 0-0.4 mi. NE of I-15 crossing""",cch1,NA
UCR241581,2013-04-02,2013,4,2,92,33.73335,-117.41962,377,NA,NA,Riverside,"""Peninsular Range, Temescal Canyon between Horsethief Canyon Rd. and Hostettler Rd., near I-15 Fwy, SE of Corona (Lee) Lake""",cch1,NA
UCR241867,1998-04-26,1998,4,26,116,34.18278,-117.40861,549,NA,NA,San Bernardino,"""San Bernardino Valley, 1.9 mi. south on dirt road from Glen Helen Parkway South, east side of Lytle Creek Wash""",cch1,NA
UCR249816,2013-03-19,2013,3,19,78,33.59833,-117.14194,402,NA,NA,Riverside,"""Perris-Aguanga Basin, Menifee Valley, Los Alamos Road at its crossing of Warm Springs Creek, and hill west of Jeanette Drive""",cch1,NA
UCR250193,2014-04-08,2014,4,8,98,33.76111,-117.4625,315,NA,NA,Riverside,"""Peninsular Range, Temescal Canyon, along Temescal Canyon Rd. c. 0.35 km NW of El Hermano Rd., c. 0.95 km SE of I-15 crossing""",cch1,NA
UCR251693,2014-04-09,2014,4,9,99,33.64194,-117.2225,534,NA,NA,Riverside,"""Perris-Aguanga Basin, Menifee, c. 4 mi southeast of Canyon Lake, northeast corner of Bundy Canyon Road and Sunset Avenue""",cch1,NA
UCR263735,2013-06-05,2013,6,5,156,33.72958,-116.74578,1540,NA,NA,Riverside,"""San Jacinto Mountains, Strawberry Creek below Strawberry Valley, c. 2.25 air mi southwest of Idyllwild""",cch1,NA
UCR265328,2015-02-24,2015,2,24,55,33.35719,-117.35039,140,NA,NA,San Diego,"""Camp Pendleton, central portion of Base, India Training Area, north of Basilone Road and east of Roblar Road, along a trail in a canyon bottom. Square: D5""",cch1,NA
UCR266592,2009-04-20,2009,4,20,110,34.88981,-118.69111,1340,NA,NA,Kern,"""Tehachapi Range, Tejon Ranch, Bronco Canyon (upper), about 4.5 miles N of the Tehachapi Afterbay""",cch1,NA
UCR267439,2006-04-25,2006,4,25,115,38.57833,-122.46056,526,NA,NA,Napa,"""Howell Mountain Plateau, c. 1 km west of Anguin; McCrane property""",cch1,NA
UCR270781,2016-04-14,2016,4,14,105,35.13411,-118.55461,1300,NA,NA,Kern,"""Tehachapi Mountians, Cummings Valley, N side of W Valley Blvd. near west intersection with Bertram Circle""",cch1,NA
UCR270788,2016-04-20,2016,4,20,111,35.12489,-118.57481,1187,NA,NA,Kern,"""Tehachapi Mountains, Cummings Valley, along W side of W Valley Blvd. (Rt. 202). between Bear Vally Road and Administration Drive""",cch1,NA
UCR28995,1983-03-10,1983,3,10,69,35.26389,-120.28417,506,NA,NA,San Luis Obispo,"""South Coast Range, 1.8 mi. south of American Canyon Campground""",cch1,NA
UCR28996,1981-04-24,1981,4,24,114,35.45889,-120.335,423,NA,NA,San Luis Obispo,"""S of Shandon, at junction of Shell Creek Road and Calif. Hwy 58""",cch1,NA
UCR35348,1967-04-25,1967,4,25,115,33.48333,-117.05,381,NA,NA,Riverside,"""Perris-Aguanga Basin, Pauba Ranch [SE of Temecula in Pauba Valley, off Hwy 79]""",cch1,NA
UCR41111,1950-03-18,1950,3,18,77,34.97139,-119.45583,823,NA,NA,San Luis Obispo,"""Inner South Coast Range, Soda Lake Road to Carrizo Plain, c. 0.8 mi. off Hwy 399 [=SR33], near San Luis Obispo County line""",cch1,NA
UCR4128,1967-03-27,1967,3,27,86,36.96722,-119.35361,412,NA,NA,Fresno,"""Sierra Nevada Foothills, Watts Creek [= Watts Valley?] Rd., 4 mi north of junction with Trimmer Springs [=Maxson?] Rd""",cch1,NA
UCR4141,1965-03-27,1965,3,27,86,34.31222,-117.84139,762,NA,NA,Los Angeles,"""San Gabriel Mtns., road from Devil's Canyon Wild Area to Azusa, 8-12 mi north of where the road crosses the west fork of the San Gabriel River""",cch1,NA
UCR48865,1974-05-17,1974,5,17,137,34.32861,-118.12167,976,NA,NA,Los Angeles,"""San Gabriel Mtns., 8.9 mi east of Big Tujunga Canyon Road, on dirt road 300 yards north of Monte Cristo Ranger Station""",cch1,NA
UCR50783,1988-04-12,1988,4,12,103,34.34639,-117.27639,1037,NA,NA,San Bernardino,"""San Bernardino Mtns./ Mojave Desert, Las Flores Ranch area, c. 2 mi. north of intersection of Grass Valley Creek and Hwy 173, c. 2.5 mi. east of the California Aqueduct""",cch1,NA
UCR51025,1988-02-24,1988,2,24,55,33.75083,-117.45611,381,NA,NA,Riverside,"""Peninsular Range, Temescal Canyon, about 0.25 mi west of intersection of Hwy I-15 and Indian Truck Trail""",cch1,NA
UCR543,1976-04-25,1976,4,25,116,33.98333,-116.8,1372,NA,NA,Riverside,"""San Jacinto Mtns., Idyllwild - Banning Road, c. 1 mi from junction with Hurley Flats Road.""",cch1,NA
UCR75502,1993-04-07,1993,4,7,97,34.025,-116.98333,979,NA,NA,San Bernardino,"""San Bernardino Mtns, E side Water Cyn, trib of Wildwood Cyn from N; SW foot Pisgah Pk""",cch1,NA
UCR84656,1994-04-21,1994,4,21,111,33.96667,-116.8,917,NA,NA,Riverside,"""San Bernardino Mtns, Millard Canyon, near stream crossing of Forest Service Road 2S05, c. 4 miles south of Bear Wallow Spring""",cch1,NA
UCR86166,1995-04-22,1995,4,22,112,34.31917,-117.42278,1200,NA,NA,San Bernardino,"""San Bernardino Mtns., upper Horsethief Canyon along the Pacific Crest Trail, below crossing of Forest Service road to Cleghorn Ridge""",cch1,NA
UCR86880,1995-03-29,1995,3,29,88,33.9,-116.66667,427,NA,NA,Riverside,"""San Jacinto Mtns/Sonoran (Colorado) Desert, San Gorgonio Pass; alluvial fan at the mouth of Snow Creek, between Hwy 111 and Snow Creek Village""",cch1,NA
UCR87892,1994-06-06,1994,6,6,157,34.24778,-117.31778,1525,NA,NA,San Bernardino,"""San Bernardino Mtns, Waters Road near Fernwood Drive, Seeley Creek drainage between Valley of Enchantment and Cedarpines Park""",cch1,NA
UCR88704,1995-05-09,1995,5,9,129,34.33333,-118.51667,488,NA,NA,Los Angeles,"""Transverse Range; Eastern Santa Susana Mtns, just west of San Gabriel Mtns: 'Sunshine Canyon' (name not shown on topo): west of San Fernando Road and Hwy I-5 Fwy, just SW of interchange with State Route 14. Sunshine Canyon Landfill property, site proposed for landfill expansion""",cch1,NA
UCR889,1973-04-21,1973,4,21,111,33.825,-117.41667,244,NA,NA,Riverside,"""Peninsular Range, Cajalco Road, 3 mi. west of Mockingbird Canyon Road, south of Lake Matthews""",cch1,NA
UCR90743,1995-04-05,1995,4,5,95,33.8,-117.1,579,NA,NA,Riverside,"""Perris Valley, Lakeview Mountains; SW of Juniper Flat Road""",cch1,NA
UCR90892,1989-05-08,1989,5,8,128,36.23181,-121.48528,NA,NA,NA,Monterey,Los Padres National Forest: Arroyo Seco Rd. between Arroyo Seco Campground and G16,cch1,NA
UCR91423,1995-03-30,1995,3,30,89,33.93222,-117.18028,579,NA,NA,Riverside,"""San Jacinto Valley, Moreno Valley; hills c. 0.7 air mi directly south of 60 Fwy and west of bend in Moreno Beach Drive. Topo Q. shows 'Moreno' BM 2067 at top of hill.""",cch1,NA
UCR91858,1996-04-24,1996,4,24,115,33.98333,-116.85833,1159,NA,NA,Riverside,"""San Bernardino Mtns, Morongo Indian Reservation, along dirt road in Hathaway Canyon, near Burro Flats""",cch1,NA
UCR91995,1994-04-20,1994,4,20,110,34.17611,-117.53694,915,NA,NA,San Bernardino,"""San Gabriel Mtns., Foothills; mouth of Day Canyon at N end of Etiwanda Ave. Oak Summit project""",cch1,NA
UCR92450,1996-05-05,1996,5,5,126,34.28444,-117.40389,1341,NA,NA,San Bernardino,"""San Bernardino Mtns (western), Cleghorn Road c. 0.25 mi SE of Cleghorn Pass""",cch1,NA
UCR93029,1994-04-07,1994,4,7,97,33.975,-117.29167,NA,NA,NA,Riverside,"""Box Springs Mtns, Big Springs Canyon and N on the crest to Two Trees Canyon (S side)""",cch1,NA
UCR95303,1967-05-02,1967,5,2,122,34.42111,-118.53167,427,NA,NA,Los Angeles,"""San Gabriel Mtns, Liebre Mtns, north side of northwesternmost end of foothills (of San Gabriel Mtns) between Bouquet Junction and Bonelli Ranch""",cch1,NA
UCR96143,1996-04-21,1996,4,21,112,34.78567,-118.63333,915,NA,NA,Los Angeles,"""Western Mojave Desert, Antelope Valley. north side of State Hwy 138 (= Ave. 'D'), c. 2 mi. west of Country Store, at town of Neenach (c. 30 mi. west of Hwy I-14).""",cch1,NA
UCR96194,1996-05-11,1996,5,11,132,34.09167,-116.95833,1341,NA,NA,San Bernardino,"""San Bernardino Mtns., San Bernardino Nat. Forest, Audubon Society's 'Bearpaw Ranch' Sanctuary, below Forest Falls. Just off Calif. Hwy 38 turnoff to Forest Falls, south of Mill Creek, in vicinity of University Creek""",cch1,NA
UCR96702,1997-03-01,1997,3,1,60,33.96667,-117.32222,427,NA,NA,Riverside,"""Riverside, Box Springs Mtns.: Coyote Hill (Bench Mark 'Versity', 1386 ft.) and ridge S and SE of the UCR Botanic Garden""",cch1,NA
UCR96816,1993-03-12,1993,3,12,71,33.71667,-117.10417,466,NA,NA,Riverside,Near Winchester,cch1,NA
UCR97045,1997-03-07,1997,3,7,66,34.9355,-119.11933,1220,NA,NA,Kern,"""San Emigdio Ranch, 4 km NE of Eagle Rest Peak (near bench mark 4070), along a dirt road 6.5 km north of Antimony Peak""",cch1,NA
UCR97578,1997-03-08,1997,3,8,67,35.14667,-119.77167,610,NA,NA,San Luis Obispo,"""Inner Coast Range, Carrizo Plain; 30.1 mi. NW of Calif. Hwy 166 on Soda Lake Rd., at San Diego Creek Rd near edge of Soda Lake""",cch1,NA
UCR97579,1997-03-08,1997,3,8,67,35.38,-120.10667,549,NA,NA,San Luis Obispo,c. 6 mi. west of Soda Lake Rd along Calif. Hwy 58,cch1,NA
UCR97676,1997-03-15,1997,3,15,74,33.59,-117.02333,488,NA,NA,Riverside,Lake Skinner area: hill (1864) east of Skinner Lake at NW end of Tucalota Hills,cch1,NA
UCR98180,1997-02-09,1997,2,9,40,33.74167,-117.44167,460,NA,NA,Riverside,"""Peninsular Range, Elsinore Basin; Temescal Valley: SW of Hwy I-15 between Indian Truck Trail and Lake Street exits, c. 0.5 mi east of Glen Eden""",cch1,NA
UCR99077,1993-02-28,1993,2,28,59,36.42417,-121.88833,300,NA,NA,Monterey,"""Garrapata State Park, off State Hwy 1 (=Pacific Coast Hwy), north of lighthouse at Point Sur and south of Carmel Highlands""",cch1,NA
UCSB10586,1957-03-22,1957,3,22,81,33.7619,-117.4723,NA,NA,NA,Riverside,"""Hwy. 71, near Alberhill""",cch1,NA
UCSB12634,1962-03-17,1962,3,17,76,33.72163,-117.39338,NA,1349,NA,Riverside,Southwest of U.S. Highway 71; about 300 feet; by the Alberhill brickyard in Alberhill,cch1,WGS84
UCSB12645,1938-04-25,1938,4,25,115,35.805,-118.681,NA,5000,NA,Tulare,Jack Ranch; near Posey P.O.,cch1,NAD27
UCSB14717,1961-02-25,1961,2,25,56,34.748,-120.053,426,1000,NA,Santa Barbara,"""Along the Alamo Pintado Creek from 7-8 miles north of Los Olivos; base of Figueroa Mountain, Birabent Canyon, San Rafael Range """,cch1,NAD83
UCSB16228,1963-05-04,1963,5,4,124,33.88068,-116.84681,1158,1000,NA,Riverside,In San Jacinto Mountains; 4 miles south og Banning on Banning to Idyllwild Road,cch1,WGS84
UCSB27796,1961-03-10,1961,3,10,69,36.10151,-120.31102,NA,2000,NA,Fresno,Jacalitos Canyon; near Coalinga,cch1,WGS84
UCSB37852,1928-04-21,1928,4,21,112,34.23496,-117.189624,NA,3000,NA,San Bernardino,Near Lake Arrowhead; on Rim of the World Drive,cch1,WGS84
UCSB46709,1977-04-07,1977,4,7,97,33.80996,-117.4308,457,4179,NA,Riverside,"""South of Lake Matthews; southern Riverside Co., CA""",cch1,WGS84
UCSB5326,1960-05-09,1960,5,9,130,34.5334,-119.061,NA,400,NA,Santa Barbara,On the exact top of Refugio Pass on the Refugio Pass Rd.; 8 miles from Highway 101,cch1,NAD83
UCSB5329,1954-04-13,1954,4,13,103,34.0968,-117.7012,259,1200,NA,Los Angeles,On Pomona College Campus,cch1,WGS84
UCSB70901,1991-05-05,1991,5,5,125,34.495975,-119.123119,NA,2000,NA,Ventura,Sisar Trail. Red Reef Trail to White Ledge Campground.,cch1,WGS84
UCSC009129,2015-03-24,2015,3,24,83,33.2923,-116.8283,1428,NA,NA,San Diego,"""East Grade Road, Palomar Mountain""",cch1,NA
VVC259,1995-03-19,1995,3,19,78,34.0975,-117.09722,732,NA,NA,San Bernardino,"""San Bernardino Mtns., ridge on the south side of Morton Canyon, east side of mouth of the Santa Ana River Canyon""",cch1,NA
YM-YOSE117409,1967-06-10,1967,6,10,161,37.5277643,-119.6413028,1219,NA,NA,Mariposa,EAST SIDE WAWONA MEADOW LOOP ROAD,cch1,NA
CAS-BOT-BC95004,2006-04-06,2006,4,6,96,NA,NA,472,NA,NA,Monterey,"""Los Padres N.F., Santa Lucia Range, along Nacimiento-Fergusson Road, 2 mi. W of border with Fort Hunter Liggett""",cch1,NA
CDA40358,1985-03-14,1985,3,14,73,NA,NA,NA,NA,NA,Fresno,"""Elwood at Pine Flat Road, Sanger.""",cch1,NA
CDA40360,2011-03-24,2011,3,24,83,NA,NA,NA,NA,NA,Ventura,Mountains near Santa Paula.,cch1,NA
CSUSB117,1966-05-04,1966,5,4,124,NA,NA,NA,NA,NA,Los Angeles,Foothills below Mount Baldy.,cch1,NA
CSUSB119,1966-03-14,1966,3,14,73,NA,NA,213.36,NA,NA,Los Angeles,"""500 yards along a path, end of 14th Street in the Puente Hills; found in a rocky, grassy slope.""",cch1,NA
HSC12240,1970-03-28,1970,3,28,87,NA,NA,488,NA,NA,Calaveras,Along Whiskey Slide Rd. .2 mi. S of Jesus Maria Creek,cch1,NA
HSC13580,1966-03-27,1966,3,27,86,NA,NA,NA,NA,NA,Trinity,2 mi. S of Burnt Ranch on the Spellenberg property,cch1,NA
HSC13586,1926-04-11,1926,4,11,101,NA,NA,NA,NA,NA,Humboldt,Buck Mtn.,cch1,NA
HSC13593,1967-03-18,1967,3,18,77,NA,NA,152,NA,NA,Fresno,Near Auberry Rd. at crossing of Friant-Kern Canal,cch1,NA
HSC13596,1937-08-30,1937,8,30,242,NA,NA,NA,NA,NA,Lake,[no information],cch1,NA
HSC13600,1963-04-07,1963,4,7,97,NA,NA,NA,NA,NA,San Luis Obispo,"""Atascadero, E of Portola Rd., N end""",cch1,NA
HSC13610,1962-04-18,1962,4,18,108,NA,NA,NA,NA,NA,Sonoma,About 5 mi. N of Geurneville on the Old Cazadero Rd.,cch1,NA
HSC26644,1973-02-17,1973,2,17,48,NA,NA,NA,NA,NA,Mendocino,"""Manchester, near Davis Lake""",cch1,NA
HSC26853,1971-03-21,1971,3,21,80,NA,NA,NA,NA,NA,Mendocino,Beside Hwy. 128 about 1 mi. E of Yorkville,cch1,NA
HSC31994,1974-05-04,1974,5,4,124,NA,NA,427,NA,NA,Lake,NA,cch1,NA
HSC34933,1975-03-25,1975,3,25,84,NA,NA,NA,NA,NA,Sonoma,Beside Hwy. 128 E of Geyserville,cch1,NA
HSC36876,1976-04-18,1976,4,18,109,NA,NA,854,NA,NA,Humboldt,"""Bald Hills Rd., 17 mi. from its jct. with Hwy. 101""",cch1,NA
HSC45444,1978-04-16,1978,4,16,106,NA,NA,396,NA,NA,Lake,Bachelor Valley Rd. 50 yds. off N entrance from Hwy. 20,cch1,NA
HSC49363,1979-04-08,1979,4,8,98,NA,NA,305,NA,NA,Sonoma,Along Hwy. 128,cch1,NA
HSC59333,1979-04-29,1979,4,29,119,NA,NA,305,NA,NA,Trinity,"""Gray's Falls Campground, E of Willow Creek on Hwy. 299. N side of Trinity River at junction with the New River""",cch1,NA
HSC87763,1967-04-29,1967,4,29,119,NA,NA,91,NA,NA,Colusa,"""Bear Valley, 5 mi. N of Hwy. 20""",cch1,NA
