specimen_number,date_new,year,month,day,DOY,lat,long,elev_m,error_dist_m,sub_sp,county,locality,datum,source
RSA613194,1997-04-08,1997,4,8,98,33.350278,-117.032778,162,NA,NA,San Diego,"""NW Palomar Mountains, Agua Tibia Mountains: Wilderness Gardens Preserve. Approximately 3.4 miles east of Pala south of Hwy. 76 along the San Luis Rey River., Areas along the main trail network from the parking area along the primary driveway within the river bottom to areas of native grasslands on the higher slopes.""",NA,cch1
RSA615,1928-03-18,1928,3,18,78,33.894589,-117.692445,244,2000,NA,San Bernardino,"""Aliso Canyon, Rancho Santa Ana.""",WGS84,cch1
RSA616,1928-03-18,1928,3,18,78,33.8726,-117.7073,152,1609.34,NA,Orange,"""Rancho Santa Ana, Botanic Garden.""",NAD83/WGS84,cch1
RSA616268,1998-03-15,1998,3,15,74,34.433333,-118.35,579,NA,NA,Los Angeles,"""Soledad Canyon Proposed quarry area N of Soledad Canyon road, S of I14 freeway, E of Bee Canyon and W of Agua Dulce Canyon. Degraded shrublands on S facing slopes and canyons above Soledad Canyon.""",NA,cch1
RSA620357,1997-03-01,1997,3,1,60,33.966667,-117.316667,427,NA,NA,Riverside,"""Box Springs Mtns: Coyote Hill (Bench Mark A&lt;&lt;VersityA, 1386ft) and ridge S and SE of the UCR Botanic Garden.""",NA,cch1
RSA628204,1994-06-06,1994,6,6,157,34.25,-117.316667,1400,NA,NA,San Bernardino,"""Waters Road near Fernwood Dr., Seeley Creek drainagebetween Valley of Enchantment and Cedarpines Park.""",NA,cch1
RSA651289,1981-05-10,1981,5,10,130,36.324722,-117.028889,NA,NA,NA,Los Angeles,Hwy 10 N Dudley & [Ganesha] Hills Raod - 1 mile. Pomona.,NA,cch1
RSA652202,1940-02-20,1940,2,20,51,34.08863,-117.18224,457,3000,NA,San Bernardino,Santa Ana Wash.,WGS84,cch1
RSA656407,1958-05-10,1958,5,10,130,34.214438,-117.457673,732,900,NA,San Bernardino,ca. 12 air miles NW of San Bernardino in lower Lytle Creek Wash about 2-4 miles N of Interstate 15,WGS84,cch1
RSA660848,1988-05-04,1988,5,4,125,34.283344,-118.120515,NA,600,NA,Los Angeles,"""Strawberry Peak, San Gabriel Mountains.""",WGS84,cch1
RSA662611,1994-04-21,1994,4,21,111,34.165664,-117.769058,NA,300,NA,Los Angeles,directly west of San Dimas Ranger Station on San Dimas Canyon Rd.,WGS84,cch1
RSA668058,1957-06-08,1957,6,8,159,33.31277,-116.86427,1646,162,NA,San Diego,"""Near crestline Camp, Palomar Mt., Agua Tibia Mountains.""",WGS84,cch1
RSA673728,2000-05-27,2000,5,27,148,33.683333,-116.716667,1616,1600,NA,Riverside,San Jacinto Mountains: Baldy Mtn. area.,NAD83,cch1
RSA682600,2003-03-27,2003,3,27,86,33.533333,-117.583333,91,NA,NA,Orange,Santa Ana Mountain Foothills: Canyon bottom and west facing slopes above Canada Gobernadora.,NA,cch1
RSA688918,2003-04-02,2003,4,2,92,33.783333,-117.5,305,NA,NA,Riverside,Temescal Valley: Just west of I-15 Freeway and northeast of Lawson Dr.,NA,cch1
RSA701528,2004-04-05,2004,4,5,96,33.031111,-116.660556,NA,NA,NA,San Diego,"""Pine Hills area, between Magee Flat and Deadman Flat along Eagle Peak Rd.""",NA,cch1
RSA703103,2004-04-27,2004,4,27,118,33.270833,-116.532222,898,NA,NA,San Diego,"""Warner Springs area, rolling terrain near the Pacific Crest Trail, south of Highway 79 and west of the Warner Springs resort.""",NA,cch1
RSA715310,2000-05-20,2000,5,20,141,34.270556,-117.291389,1098,NA,NA,San Bernardino,Miller Canyon next to East fork of West fork Mojave River. E of Silverwood Lake.,NA,cch1
RSA721842,1937-03-20,1937,3,20,79,35.76889,-119.24611,NA,3800,NA,Kern,Near Delano.,WGS84,cch1
RSA733621,1946-03-23,1946,3,23,82,38.38984,-122.2023,NA,12300,NA,Napa,"""Napa range, along Napa-Monticello road.""",WGS84,cch1
RSA736311,2008-03-25,2008,3,25,85,33.8,-117.491667,274,NA,NA,Riverside,"""Perris / Elsinore Basin: Foothills of Gavilan Hills at Temescal Wash, near Olsen Canyon, A!MorganA(r) Property, Alberhill area.""",NA,cch1
RSA747361,2008-03-24,2008,3,24,84,34.314167,-117.438611,1107,1000,NA,San Bernardino,"""Wye Peak at Cajon Junction, NE of 215/Hwy 138 intersection.""",NA,cch1
RSA748852,2008-04-11,2008,4,11,102,34.170278,-117.812778,549,1000,NA,Los Angeles,"""San Dimas Experimental Forest, Lewis Paul Canyon, above waterfall at junction of Big Dalton Cyn. Rd.""",NA,cch1
RSA750477,1985-03-23,1985,3,23,82,35.6,-118.458333,1000,NA,NA,Kern,"""Piute Mtns. Along Erskine Creek Road, 2.1 miles from the flume and the first creek crossing of Erskine Creek.""",NA,cch1
RSA751918,2009-05-22,2009,5,22,142,33.733333,-116.766667,1159,NA,NA,Riverside,"""San Jacinto Mountains: Old Control Road, above Halfway Spring.""",NA,cch1
RSA752003,2009-06-08,2009,6,8,159,34.16294,-116.96795,1534,NA,NA,San Bernardino,"""San Bernardino Mountains: Along Santa Ana River Trail 2E03, off Middle Control Road, E of Cold Creek.""",WGS84,cch1
RSA75874,1929-05-04,1929,5,4,124,33.6093,-116.9354,793,1250,NA,Riverside,"""In open spaces along road, summit of St. JohnAs Grade, south of Hemet.""",WGS84,cch1
RSA75875,1929-05-04,1929,5,4,124,33.37724,-116.81395,1296,4827,NA,San Diego,Trail from Oak Grove to Palomar Mountain.,WGS84,cch1
RSA763963,2010-05-14,2010,5,14,134,33.416944,-116.827222,754,NA,NA,San Diego,"""Dameron Valley: East side of Hwy 79, 0.6 miles south of Riverside/San Diego county line, +/- 3.0 miles NW of Oak Grove.""",NA,cch1
RSA771945,1973-04-25,1973,4,25,115,34.457427,-117.81411,1159,300,NA,Los Angeles,"""San Gabriel Mountains, Mojave Desert Slope: 1/4 mi N of Bob's Gap, 3.5 miles S of Llano, N slope of Holcomb Ridge""",WGS84,cch1
RSA783108,1962-05-02,1962,5,2,122,33.975,-117.2926,777,1000,NA,Riverside,By saddle just N of highest part of Box Spring Mountains.,WGS84,cch1
RSA802257,2013-06-05,2013,6,5,156,33.72957,-116.74579,NA,NA,NA,Riverside,In Strawberry Creek below Strawberry Valley approximately 2.25 air miles southwest of Idyllwild.,NAD83,cch1
SD113486,2015-04-01,2015,4,1,91,34.122,-117.7176,NA,6000,NA,Los Angeles,Claremont,WGS84,cch1
SD38532,1935-04-19,1935,4,19,109,33.0768,-116.53406,NA,402.335,NA,San Diego,"""In shade of shrubs, 1 mile east of Banner""",WGS84,cch1
SEINET10697901,2000-04-14,2000,4,14,105,36.62777,-121.72972,60,NA,NA,Monterey,"""Ford Ord. Off Jack's Road near Mudhen Lake. East end of Eucalytpus Road. Woodlands, moist slopes.""",NA,cch1
SEINET3091596,1974-05-28,1974,5,28,148,34.203,-117.09074,NA,50000,NA,San Bernardino,Rd. between Running Springs & Lake Arrowhead.,NA,cch1
SEINET3091664,1945-05-05,1945,5,5,125,34.087216,-116.835735,914,10000,NA,Riverside,San Gorgonio Mountains above Banning.,NA,cch1
SEINET5791646,1882-02-27,1882,2,27,58,34.147785,-118.144516,NA,9980,NA,Los Angeles,"""Pasadena, California""",NA,cch1
SEINET7063686,1947-04-16,1947,4,16,106,35.1441,-120.3535,241,NA,NA,San Luis Obispo,"""An open weedy grassland. About 15.6 miles east of Arroyo Grande on the Huasna Road. UTM Zone 10, 741103mE, 3892235mN. (WGS84/NAD83).""",NA,cch1
SEINET7067240,1947-05-13,1947,5,13,133,38.3111,-123.065,NA,NA,NA,Sonoma,Bodega Head. Coordinate datum: NAD27.,NA,cch1
SEINET7067555,1947-06-13,1947,6,13,164,33.4886,-117.2544,NA,NA,NA,Riverside,About 5.2 miles northeast of De Luz in Sandia Canyon. Coordinate datum: NAD27.,NA,cch1
SEINET7072453,1963-04-21,1963,4,21,111,34.7688,-120.5109,NA,NA,NA,Santa Barbara,Weedy area just south of Vandenburg Air Force Base. San Antonio Valley. Coordinate datum: NAD27.,NA,cch1
SEINET7072858,1963-05-20,1963,5,20,140,33.1117,-116.602,NA,NA,NA,San Diego,"""North of Julian on Volcan Road. Coordinate datum: WGS84/NAD83. (33? deg. 6' 42"""" North Latitude, -116? deg. 36' 5"""" West Longitude, Coordinate datum: NAD27.).""",NA,cch1
SEINET7073387,1963-04-23,1963,4,23,113,33.6637,-117.2864,NA,NA,NA,Riverside,About 0.6 mile up Railroad Canyon Road southeast of Lake Elsinore. Coordinate datum: NAD27.,NA,cch1
SEINET7073396,1963-04-23,1963,4,23,113,33.6641,-117.2692,NA,NA,NA,Riverside,About 1.6 mile up the Railroad Canyon Road southeast of Lake Elsinore. Coordinate datum: NAD27.,NA,cch1
SEINET7096613,1947-04-26,1947,4,26,116,37.98297,-120.43433,NA,NA,NA,Tuolumne,"""South Base of Table Mountain. NAD27, 37? deg. 58' 59ao, -120? deg. 26' 0ao (converted to WGS84 decimal degrees). UTM Zone 10, 725425mE, 4206841mN""",NA,cch1
SFV11583,1965-04-11,1965,4,11,101,39.18,-121.63,20,NA,NA,Placer,1 mile north of Marysville on Highway 99E. Roadside.,NAD27,cch1
SFV16101,1995-04-09,1995,4,9,99,34.2952,-118.166,915,800,NA,Los Angeles,"""San Gabriel Mountains Angeles Forest Highway, 3.5 miles north of junction with Angeles Crest Highway. 100 m off highway.""",WGS84,cch1
UC1239737,1938-06-13,1938,6,13,164,40.8343,-123.7133,1432,252,NA,Humboldt,"""at Cold Springs , at Cold Springs (Grouse Mountain)""",WGS84,cch1
UC131446,1903-04-06,1903,4,6,96,37.6874,-122.4355,NA,500,NA,San Francisco,"""San Bruno hills; San Francisco, San Bruno hills""",WGS84,cch1
UC24222,1897-02-10,1897,2,10,41,34.09667,-117.71889,365,1000,NA,Los Angeles,Claremont,WGS84,cch1
UC303377,1882-03-17,1882,3,17,76,32.734,-117.129,NA,9500,NA,San Diego,San Diego,WGS84,cch1
UC571711,1933-03-30,1933,3,30,89,37.497536,-121.53551,NA,1718.77512,NA,Santa Clara,"""Arroyo Mocho near headwaters (Mount Hamilton Range); , Arroyo Mocho""",NAD27,cch1
UC606903,1938-03-27,1938,3,27,86,38.3425,-122.1996,457,22,NA,Napa,"""5 mi e Napa (n slope in Howell Mountains, North Coast Ranges); North Coast Ranges, Howell Mountains, e of Napa""",WGS84,cch1
UC606908,1938-04-10,1938,4,10,100,35.6416,-120.7016,198,33,NA,San Luis Obispo,"""in ravine at n edge Paso Robles , n edge Paso Robles (Salinas River Valley)""",WGS84,cch1
UC660076,1940-04-04,1940,4,4,95,38.6024,-121.4161,NA,4320,NA,Sacramento,ne Sacramento; ne of Sacramento,WGS84,cch1
UC67144,1898-04-23,1898,4,23,113,38.48098,-122.57153,NA,4694.44478,NA,Sonoma,Santa Rosa Creek Canyon,NAD27,cch1
UC880916,2015-05-01,2015,5,1,121,38.6649,-122.6265,NA,3250,NA,Sonoma,Mt. St. Helena,WGS84,cch1
UCD120075,1962-04-08,1962,4,8,98,39.598253,-121.557489,NA,NA,NA,Butte,"""On Table Mountain, north of Oroville.""",WGS84,cch1
UCD120077,1945-02-15,1945,2,15,46,38.5017,-122.02626,NA,NA,NA,Yolo,"""Putah Creek Canyon, west of Winters.""",WGS84,cch1
UCD120079,1964-03-26,1964,3,26,86,34.0457,-116.6202,NA,NA,NA,San Bernardino,Dry Morongo Valley.,WGS84,cch1
UCD120083,1977-05-02,1977,5,2,122,39.5007,-123.7893,NA,500,NA,Mendocino,"""3/4 mile n.w. Cleone, north of Fort Bragg.""",WGS84,cch1
UCD120212,1962-03-24,1962,3,24,83,38.729444,-121.397222,NA,NA,NA,Placer,6 miles west of Roseville.,NAD27,cch1
UCD120214,1995-04-10,1995,4,10,100,38.616667,-122.383333,175,NA,NA,Napa,Along Chiles Valley/Pope Valley Rd. approx. 2 m. S of Pope Canyon Rd. intersection. North Coast Biodiversity Arena.,NA,cch1
UCD120217,1975-04-26,1975,4,26,116,33.7627,-117.4655,335,NA,NA,Riverside,Mayhew Canyon 1.5 mi. southeast of Glen Ivy on Highway 71.,WGS84,cch1
UCD120223,1961-03-24,1961,3,24,83,34.193742,-117.676792,762,NA,NA,San Bernardino,Barett Canyon one mile north of Ranger Station in San Antonio Canyon on Old Road. San Bernardino Mt. Range.,WGS84,cch1
UCD120224,1933-04-02,1933,4,2,92,33.98152,-117.29485,NA,NA,NA,Riverside,Box Springs Hills.,WGS84,cch1
UCD120229,1950-03-18,1950,3,18,77,34.9712,-119.4556,NA,NA,NA,Kern,"""Along Soda Lake Road to Carrizo Plain, about 0.8 mile off Highway 399. Near San Luis Obispo County line.""",WGS84,cch1
UCD120233,1965-04-11,1965,4,11,101,39.156849,-121.635633,NA,NA,NA,Placer,1 mile N. of Marysville on Hwy. 99 E.,WGS84,cch1
UCD120237,1967-03-23,1967,3,23,82,38.52235,-122.21685,167,NA,NA,Napa,c. 1 mi S of Spanish Flat.,WGS84,cch1
UCD140571,2013-04-06,2013,4,6,96,39.228333,-121.776667,271,NA,NA,Sutter,Sutter County; Sutter Buttes. Dean Ranch. South of North Butte. Western slope of Sunrise Ridge.,NAD83,cch1
UCD149685,2006-04-25,2006,4,25,115,38.578333,-122.460556,526,NA,NA,Napa,"""Howell Mountain Plateau, about 1 km west of Angwin. McCrane property. Vineyard conversion.""",WGS84,cch1
UCD158890,1975-04-15,1975,4,15,105,38.830833,-122.768889,853,NA,NA,Lake,"""Mayacmas Mountains, Francisco Property. High Valley Creek. (Elevation estimated using Google Earth by label maker.)""",WGS84,cch1
UCD159735,1975-03-26,1975,3,26,85,38.840278,-122.627222,579,NA,NA,Lake,"""Mayacmas Mountains, Childers Peak area. Barceloux Ranch, east of Big Canyon Road. (Elevation estimated using Google Earth by label maker.)""",WGS84,cch1
UCD160137,1974-03-27,1974,3,27,86,38.799444,-122.830833,426,NA,NA,Sonoma,Mayacmas Mountains. The Geysers. Site A-8. (Elevation estimated using Google Earth by label maker.),WGS84,cch1
UCD160445,1975-05-22,1975,5,22,142,38.838333,-122.769722,792,NA,NA,Lake,"""Mayacmas Mountains, Francisco Property. High Valley Creek. (Coordinates, location, and elevation estimated by label maker.)""",WGS84,cch1
UCD162873,1954-04-07,1954,4,7,97,39.003333,-123.0875,240,NA,NA,Mendocino,"""Hopland, Hopland Field Station, in pasture northwest of station headquarters. (Exact location unknown. Coordinates estimated by label maker).""",WGS84,cch1
UCD35998,1949-04-24,1949,4,24,114,38.038573,-120.456538,304,NA,NA,Tuolumne,"""Tuolumne County, Columbia, sloping towards Vallecito, at Stanislaus River.""",WGS84,cch1
UCD56723,2007-03-23,2007,3,23,82,38.588833,-122.124167,703,NA,NA,Yolo,"""Tuleyome Ireland Ranch. In inner coast range northwest of the City of Winters between Salt Creek and Enos Creek, just north of Wild Cow Mountain. SW portion of ranch.""",NAD83,cch1
UCD78281,2008-03-25,2008,3,25,85,35.307282,-119.986231,591,1000,NA,San Luis Obispo,San Luis Obispo Co.: North of Carrizo Plain National Monument. Along Soda Lake Road between College and Belmont Streets.,NAD83,cch1
UCD82053,1972-04-22,1972,4,22,113,38.6151,-122.4282,NA,NA,NA,Napa,Pope Valley.,WGS84,cch1
UCD83901,2010-04-24,2010,4,24,114,38.984444,-122.480833,330,NA,NA,Lake,"""BLM Cache Creek Wilderness. NE part of Wilderness just west of confluence of Cache and Rocky Creeks, top ridge of peninsula that juts out into Cache Creek.""",NAD 83,cch1
UCD89680,2006-04-24,2006,4,24,114,38.8625,-122.358639,466,NA,NA,Yolo,"""McLaughlin Reserve; Davis Creek Reservoir, Hobbit Hill.""",NA,cch1
UCR122527,2001-05-20,2001,5,20,140,33.68833,-116.70333,1494,NA,NA,Riverside,"""San Jacinto Mtns., 0.3 mi NW of Keen Camp Summit along CA-74""",NA,cch1
UCSC009129,2015-03-24,2015,3,24,83,33.2923,-116.8283,1428,NA,NA,San Diego,"""East Grade Road, Palomar Mountain""",NA,cch1
VVC259,1995-03-19,1995,3,19,78,34.0975,-117.09722,732,NA,NA,San Bernardino,"""San Bernardino Mtns., ridge on the south side of Morton Canyon, east side of mouth of the Santa Ana River Canyon""",NA,cch1
YM-YOSE117409,1967-06-10,1967,6,10,161,37.5277643,-119.6413028,1219,NA,NA,Mariposa,EAST SIDE WAWONA MEADOW LOOP ROAD,NA,cch1
CAS-BOT-BC95004,2006-04-06,2006,4,6,96,NA,NA,472,NA,NA,Monterey,"""Los Padres N.F., Santa Lucia Range, along Nacimiento-Fergusson Road, 2 mi. W of border with Fort Hunter Liggett""",NA,cch1
CDA40358,1985-03-14,1985,3,14,73,NA,NA,NA,NA,NA,Fresno,"""Elwood at Pine Flat Road, Sanger.""",NA,cch1
CDA40360,2011-03-24,2011,3,24,83,NA,NA,NA,NA,NA,Ventura,Mountains near Santa Paula.,NA,cch1
CSUSB117,1966-05-04,1966,5,4,124,NA,NA,NA,NA,NA,Los Angeles,Foothills below Mount Baldy.,NA,cch1
CSUSB119,1966-03-14,1966,3,14,73,NA,NA,213.36,NA,NA,Los Angeles,"""500 yards along a path, end of 14th Street in the Puente Hills; found in a rocky, grassy slope.""",NA,cch1
OBI13914,1952-03-23,1952,3,23,83,NA,NA,NA,NA,NA,San Luis Obispo,"""Shell Crk. 3 mi E 12 mi S, Shandon""",NA,cch1
OBI13915,1966-04-03,1966,4,3,93,NA,NA,NA,NA,NA,San Luis Obispo,Lopez Cyn near the 15th or 16 crk crossing,NA,cch1
OBI13917,1964-02-29,1964,2,29,60,NA,NA,NA,NA,NA,San Luis Obispo,"""Routzahn Park Rd, approx 11 mi from SLO""",NA,cch1
OBI19531,1967-05-06,1967,5,6,126,NA,NA,NA,NA,NA,San Luis Obispo,Avenales Wildlife refuge,NA,cch1
OBI19838,1978-04-16,1978,4,16,106,NA,NA,NA,NA,NA,San Luis Obispo,Off hwy 58 near hwy 127 turnoff,NA,cch1
OBI39146,1978-03-19,1978,3,19,78,NA,NA,701,NA,NA,Kern,"""Along State hwy 178 in Kern River Cyn area, 8 mi W of jctn with Bodfish Rd""",NA,cch1
OBI40889,1965-03-20,1965,3,20,79,NA,NA,213,NA,NA,Fresno,"""Along the Fresno side of Millerton Lake (above the lake 300 ft), W slope of hill""",NA,cch1
OBI43248,1933-04-30,1933,4,30,120,NA,NA,30,NA,NA,Monterey,"""Santa Lucia mts, 6 mi from Carmel; N base of Santa Lucia Mts; 5 mi from ocean""",NA,cch1
OBI46188,1986-05-06,1986,5,6,126,NA,NA,NA,NA,NA,San Luis Obispo,Santa Margarita Ranch. Estadio field in E part of the ranch where a large stand of blue oaks occur on slopes of decomposed limestone,NA,cch1
OBI54498,1997-04-05,1997,4,5,95,NA,NA,NA,NA,NA,Kern,Bitter Crk NAtl Wildlife Refuge. Near Cerro Noroeste Rd where rd to Red lake intersects,NA,cch1
OBI56258,1965-03-22,1965,3,22,81,NA,NA,NA,NA,NA,Santa Barbara,"""Blue Cyn, N slope, Santa Ynez Mts""",NA,cch1
OBI6323,1968-04-06,1968,4,6,97,NA,NA,NA,NA,NA,San Luis Obispo,On hill on W side of Carrizo Plain due W of Soda lake's southern end,NA,cch1
OBI77727,1978-03-01,1978,3,1,60,NA,NA,NA,NA,NA,San Luis Obispo,"""Carrizo Plain, 1 mi S of the jctn of hwy 58 and Sim soda lake san diego cr rd""",NA,cch1
PASA2114,1929-05-22,1929,5,22,142,NA,NA,NA,NA,NA,Tulare,Yosemite,NA,cch1
PASA2115,1930-04-15,1930,4,15,105,NA,NA,NA,NA,NA,Kern,Techapi mountains near Caliente,NA,cch1
PGM5923,1956-05-12,1956,5,12,133,NA,NA,NA,NA,NA,Monterey,"""Sierra de Salinas, Hastings Reservation boundary, Melin's pasture on""",NA,cch1
PGM5926,1963-03-18,1963,3,18,77,NA,NA,NA,NA,NA,Monterey,"""Diablo Range, Vineyard Canyon Rd along, Along rd""",NA,cch1
POM17609,1923-04-07,1923,4,7,97,NA,NA,NA,NA,NA,Kern,DevilAs Den west of Bakersfield,NA,cch1
POM17632,1923-04-08,1923,4,8,98,NA,NA,NA,NA,NA,Kern,Tehachapi.,NA,cch1
POM318298,1971-05-02,1971,5,2,122,NA,NA,1037,NA,NA,Kern,"""Raljon Ranch, 3.5 miles SW of Glennville,Greenhorn Mt, San Joaquin River.""",NA,cch1
POM3486,1909-03-20,1909,3,20,79,NA,NA,NA,NA,NA,Los Angeles,Claremont.,NA,cch1
POM3510,1918-04-05,1918,4,5,95,NA,NA,NA,NA,NA,Los Angeles,Pomona.,NA,cch1
POM3534,1916-03-16,1916,3,16,76,NA,NA,NA,NA,NA,Los Angeles,"""Wash near Greek Theater, Claremont,""",NA,cch1
POM3739,1909-04-19,1909,4,19,109,NA,NA,NA,NA,NA,Los Angeles,Claremont.,NA,cch1
POM97226,1925-05-17,1925,5,17,137,NA,NA,1037,NA,NA,San Diego,1 mile east of Warners Ranch,NA,cch1
POM97447,1925-03-20,1925,3,20,79,NA,NA,NA,NA,NA,Kern,18 miles north of Bakersfield.,NA,cch1
RSA0036056,1935-03-03,1935,3,3,62,NA,NA,762,NA,NA,Orange,San Juan Canyon.,NA,cch1
RSA0037196,1991-05-12,1991,5,12,132,NA,NA,1280,NA,NA,Riverside,"""Area of High Country Ranches. From Tamatea Road approx. 100 ft. to dry stream bed, walking northeasterly direction.""",NA,cch1
RSA0043165,1933-04-19,1933,4,19,109,NA,NA,NA,NA,NA,Los Angeles,Palos Verdes Hills.,NA,cch1
RSA0051320,1932-03-28,1932,3,28,88,NA,NA,NA,NA,NA,Orange,2 miles NW of H.B.,NA,cch1
RSA0056306,1970-04-04,1970,4,4,94,NA,NA,678,NA,NA,Santa Barbara,San Marcos Pass.,NA,cch1
RSA0059611,1917-04-04,1917,4,4,94,NA,NA,762,NA,NA,Riverside,Palm Canyon,NA,cch1
RSA0059738,1945-05-05,1945,5,5,125,NA,NA,914,NA,NA,Riverside,San Gorgonio Mountains above Banning.,NA,cch1
RSA0113523,1938-03-26,1938,3,26,85,NA,NA,NA,NA,NA,Riverside,Corona-Elsinore Rd.,NA,cch1
RSA0128925,1932-03-05,1932,3,5,65,NA,NA,549,NA,NA,Madera,"""5 miles west of Coarsegold. Sierra Nevadas, Fresno River watershed.""",NA,cch1
RSA29514,1954-02-24,1954,2,24,55,NA,NA,NA,NA,NA,Kern,"""7 miles S of Maricopa, Hwy 399, Grocer Grade""",NA,cch1
RSA3166,1932-03-08,1932,3,8,68,NA,NA,305,NA,NA,Orange,"""Santiago Dam, W. base Santa Ana Mts.""",NA,cch1
RSA359870,1986-04-02,1986,4,2,92,NA,NA,610,NA,NA,Riverside,"""Gavilan Plateau, Gavilan Hills, Harford Springs County Park.""",NA,cch1
RSA418541,1978-03-30,1978,3,30,89,NA,NA,159,NA,NA,Tulare,Sequoia National Park; Dry Creek Road.,NA,cch1
RSA421291,1932-03-21,1932,3,21,81,NA,NA,305,NA,NA,Kern,S end Great Valley.,NA,cch1
RSA421300,1932-03-25,1932,3,25,85,NA,NA,412,NA,NA,Los Angeles,2 miles N Claremont.,NA,cch1
RSA421307,1917-04-01,1917,4,1,91,NA,NA,NA,NA,NA,Los Angeles,"""Upper Aliso Canyon, Santa Susana Mts.""",NA,cch1
RSA421308,1917-06-02,1917,6,2,153,NA,NA,NA,NA,NA,Los Angeles,Exposition Park,NA,cch1
RSA421315,1890-01-14,1890,1,14,14,NA,NA,NA,NA,NA,Los Angeles,Los Angeles.,NA,cch1
RSA421317,1922-04-14,1922,4,14,104,NA,NA,NA,NA,NA,Los Angeles,Culver City.,NA,cch1
RSA421318,1884-03-03,1884,3,3,63,NA,NA,NA,NA,NA,Los Angeles,Near USC Los Angeles,NA,cch1
RSA421322,1933-03-31,1933,3,31,90,NA,NA,NA,NA,NA,Los Angeles,Playa del Rey.,NA,cch1
RSA421324,1920-03-13,1920,3,13,73,NA,NA,305,NA,NA,Los Angeles,"""San Jose Hills, 1 mi. South of San Dimas.""",NA,cch1
RSA421329,1938-03-20,1938,3,20,79,NA,NA,NA,NA,NA,Los Angeles,"""Rolling hills, Palos Verdes Hills, Los Angeles.""",NA,cch1
RSA421357,1935-02-10,1935,2,10,41,NA,NA,NA,NA,NA,Orange,El Toro.,NA,cch1
RSA421363,1926-04-25,1926,4,25,115,NA,NA,NA,NA,NA,San Bernardino,"""Rim of W Old Drive, San Bernardino Mts.""",NA,cch1
RSA48449,1949-03-16,1949,3,16,75,NA,NA,NA,NA,NA,Los Angeles,3 miles north of Claremont,NA,cch1
RSA49732,1949-05-11,1949,5,11,131,NA,NA,1280,NA,NA,Kern,10 miles north of Caliente on road to Kernville,NA,cch1
RSA518016,1986-03-31,1986,3,31,90,NA,NA,NA,NA,NA,Los Angeles,"""Mojave Desert:Hwy 138, 4 miles E of jct w/Hwy 18 NE of Pinyon Hills.""",NA,cch1
RSA59320,1950-03-29,1950,3,29,88,NA,NA,457,NA,NA,Kern,"""7 miles S of Maricopa, Grocer Grade, Hwy 399""",NA,cch1
RSA608053,1931-02-07,1931,2,7,38,NA,NA,NA,NA,NA,Los Angeles,Sargent's Grove.,NA,cch1
RSA610229,1997-03-19,1997,3,19,78,NA,NA,122,NA,NA,Orange,"""Rancho Mission Viejo: Canada Gobernadora, east slope. 1.7 km SW Cliff Survey Mark, 1.7 N Calf. Route 74.""",NA,cch1
RSA648209,1983-05-17,1983,5,17,137,NA,NA,884,NA,NA,San Bernardino,1.7 miles northwest of the end of Etiwanda Ave.; Day Canyon Gaging Station.,NA,cch1
RSA652199,1969-05-10,1969,5,10,130,NA,NA,NA,NA,NA,Los Angeles,Evey Can. off Baldy Rd.,NA,cch1
RSA652200,1961-05-29,1961,5,29,149,NA,NA,NA,NA,NA,Los Angeles,"""Mt. Wilson Rd., Angeles Natl. Forest.""",NA,cch1
RSA652201,1937-04-12,1937,4,12,102,NA,NA,NA,NA,NA,Los Angeles,"""Franklin Canyon, Los Angeles. [North of Beverly Hills]""",NA,cch1
RSA717060,2006-04-11,2006,4,11,101,NA,NA,1037,NA,NA,Los Angeles,"""Lebec USGS quad; triangular site generally bounded by Interstate 5, Highway 138, and Gorman Post Road.""",NA,cch1
RSA746616,2009-03-16,2009,3,16,75,NA,NA,905,NA,NA,Kern,"""Western Transverse Range; San Emigdio Mtns. Region; Bitter Creek National Wildlife Preserve, ca. 0.25 mi. SW of junction of Hwy. 166 and Cerro Noroeste Rd.""",NA,cch1
RSA75885,1938-03-31,1938,3,31,90,NA,NA,NA,NA,NA,Kern,"""2 miles W of Famosa, S of road to Wasco""",NA,cch1
RSA783266,1962-05-03,1962,5,3,123,NA,NA,1448,NA,NA,San Bernardino,Edge of yellow pine forest in canyon of southern access road to Thomas Mt. 2 miles west of southern Garner Valley and Pine-to-Palms Hwy,NA,cch1
RSA783331,1958-03-03,1958,3,3,62,NA,NA,1143,NA,NA,San Bernardino,Along tributary to Deer Creek where it crosses Cucamonga Truck Trail 2.5 miles from locked gate at foot of Cucamonga Canyon at head of Sapphire Station and 3 miles N of State Hwy 30 to San Bernardino out of Upland.,NA,cch1
RSA785870,1954-04-05,1954,4,5,95,NA,NA,457,NA,NA,Los Angeles,Puddingstone Dam area near LaVerne,NA,cch1
RSA785871,1966-04-22,1966,4,22,112,NA,NA,1494,NA,NA,San Bernardino,"""Pinnacles stream, San Bernardino Mts.""",NA,cch1
RSA785873,1974-04-10,1974,4,10,100,NA,NA,1067,NA,NA,Kern,"""Greenhorn Mt. Rd., Tehachapi Mts.""",NA,cch1
SEINET10780803,1935-03-16,1935,3,16,75,NA,NA,NA,NA,NA,Alameda,Berkeley Hills.,NA,cch1
SEINET5521015,1967-03-25,1967,3,25,84,NA,NA,509,NA,NA,Tuolumne,South fork Stanislaus river,NA,cch1
