specimen_number,id,date_new,year,month,day,DOY,lat,long,elev_m,error_dist_m,sub_sp,repro,county,locality,habitat,source
SD00010628,500249,2010-07-08,2010,7,8,189,33.39034,-116.91667,1060,NA,integrifolia,FFL,San Diego,Cleveland National Forest: Cutca Valley on the lower northern slope of Palomar Mountain; along Cutca Valley Truck Trail,mostly granitic substrates,cch2
SD00010629,500250,2010-04-07,2010,4,7,97,32.95557,-116.79091,670,NA,integrifolia,FFL,San Diego,"Cleveland National Forest: Northeast of El Cajon Mountain, west of the San Diego River and south of Barona Mesa; just west of El Cajon Mountain Truck Trail",granitic substrates,cch2
SD00010453,500251,2010-05-26,2010,5,26,146,33.28965,-116.58698,1435,NA,menziesii,FFL,San Diego,Eagles Nest: Fletcher Family Ranch; E of Warner Springs on the SW side of Hot Springs Mountain; at the end on Eagles Nest Road; along dirt road loop ENE of lake,granitic substrates,cch2
SD00010590,500252,2007-04-04,2007,4,4,94,32.90152,-116.47683,1577,NA,integrifolia,FL,San Diego,"Cleveland National Forest, Laguna Mountains, 1 mi SW of junction of Sunrise Hwy (S1) and Filaree Flat Rd S, N of Noble Canyon Creek","Clay loam soil, gentle, S facing slope, partial shade",cch2
SD00010623,500255,2008-03-07,2008,3,7,67,33.02106,-117.0006,339,NA,integrifolia,FL,San Diego,"Blue Sky Ecological Reserve, Poway. Ca. 0.25 mi SW of the Lake Ramona Dam and 1.5 mi NE of the intersection of Lake Poway Rd and Espola Rd.",Granitic soils changing from streamside moist soils to dry hillsides.,cch2
SD00010588,500256,2008-06-07,2008,6,7,159,33.35487,-116.60481,1473,NA,integrifolia,FL,San Diego,"Warner Springs, northbound Pacific Crest Trail, 6 miles from Lost Valley Rd. trailhead, 200 yards east of trail, along west bank of dry tributary to Agua Caliente Creek",Granitic soil,cch2
SD00010589,500257,2008-03-19,2008,3,19,79,32.9416,-117.0873,123,NA,integrifolia,FL,San Diego,"East end of Los Penasquitos Canyon Preserve, 1 mi east of intersection I-15 and Poway Rd, S side of Los Penasquitos Canyon Creek",NA,cch2
SD00010587,500258,1997-04-08,1997,4,8,98,33.35028,-117.03278,162,241,integrifolia,FL,San Diego,Wilderness Gardens Preserve; ca. 3.4 miles east of Pala south of Highway 76 along the San Luis Rey River.,Alluvial substrate with sandy loam soil in the river bottom and granitic and or gabbroic substrates with sandy or clay soils on the surrounding slopes.,cch2
SD00010663,500259,1967-05-15,1967,5,15,135,NA,NA,457,NA,integrifolia,FL,Los Angeles,"San Gabriel Mountains, east side Elsmere Canyon near mouth.",NA,cch2
SD00010482,500260,1997-03-21,1997,3,21,80,34.70639,-118.48083,1195,NA,menziesii,FL,Los Angeles,"Portal Ridge, upper Broad Canyon, ca. 1.0 mile east of VABM King and 1.2 mile east of the junction of Forest Service Roads 7N07 and 7N07A, along the ridgeline diving Bleich Canyon and Broad Canyon.",Decomposed granite substrate.,cch2
SD00010622,500261,2009-04-04,2009,4,4,94,33.22695,-116.82572,849,NA,integrifolia,FL,San Diego,"Cleveland National Forest, Temescal Valley, ¾ mi N of Esmeralda Mine, 3¾ mi SW of Lake Henshaw Dam, along Lusardi Canyon Truck Trail 1/4 mile S of the divide and bench mark 3041",Granite boulders with decomposed granite and clay soil,cch2
SD00010621,500262,2009-04-26,2009,4,26,116,33.1071,-116.5978,1350,NA,integrifolia,FL,San Diego,North of Julian. Volcan Mountain Open Space Preserve. 583 meters north east of intersection of Farmer and Wynola Road.,Disturbed area along trail on west facing moderate slope,cch2
SD00010620,500263,2009-05-08,2009,5,8,128,32.8536,-116.4803,1554,NA,integrifolia,FFL,San Diego,"Sunrise Highway, Laguna Mountains, Crouch Valley, north side. 5.49km north east of junction of Sunrise Highway and I-8",Open field,cch2
SD00010452,500264,2008-04-06,2008,4,6,97,33.3736,-116.784,915,NA,menziesii,FL,San Diego,"South of Oak Grove. 25249 Oak Grove Truck Trail, ca. 1 mile S of its intersection with Highway 79, east facing slope west of road.",Granitic,cch2
SD00010450,500265,2008-03-25,2008,3,25,85,32.96111,-117.25556,33,NA,menziesii,FL,San Diego,"San Diego, Crest Canyon, ½ mile W of Interstate 5, 225 yds S of Race Track View Drive, northern section off main trail",Detritus from Torrey Sandstone and fill from San Dieguito Lagoon,cch2
SD00010451,500266,2009-04-22,2009,4,22,112,33.2878,-116.6319,969,NA,menziesii,FL,San Diego,"Warner Springs Ranch, about ½ mi NE of Warner Springs, northeast of horse barn on hiking trail going northeast uphill.",NA,cch2
SD00010625,500267,2010-05-06,2010,5,6,126,32.7324,-116.4779,975,NA,integrifolia,FL,San Diego,"Cleveland National Forest, Buckman Springs area; along Pacific Crest Trail, E of Interstate 8, about 1 mi NNW of junction with Kitchen Creek Road",Decomposed granite sand & granitic boulders.,cch2
SD00010624,500268,2009-04-29,2009,4,29,119,33.19901,-116.75103,1079,NA,integrifolia,FL,San Diego,"Mesa Grande, Nature Conservancy (Wheatly Property), 2 miles W of Morettis Junction (Pala Road & Hwy 79) E of Mesa Grande Road, 2.5 miles S of dam at Lake Henshaw",granitic substrates,cch2
SD00010586,500269,2012-02-17,2012,2,17,48,32.5365,-117.10306,85,NA,integrifolia,FFL,San Diego,Border Field State Park: west of San Ysidro border crossing; south of Monument Road; just north of the USA/Mexico border fence; east-facing lower slope of Bunker Hill,some clay soils,cch2
SD00010449,500270,2010-04-01,2010,4,1,91,33.08049,-116.52357,770,NA,menziesii,FFL,San Diego,"San Felipe Valley Wildlife Area, California Fish & Game property. SW of San Felipe Valley, 1.6 miles ENE of Banner and 3.0 miles WSW of intersection of County Road S-2 and State hwy. 78. S-side of 78.","W-facing, sandy slope below rocky hill.",cch2
SD00010443,500271,2010-05-01,2010,5,1,121,33.2163,-116.58797,1053,NA,menziesii,FFL,San Diego,"Valle de San Jose, NW-side of San Felipe Hills. Pacific Crest Trail trailhead S-side of County Road S-22 (Montezuma Valley Road)1.1 miles ESE of intersection of S-22 and S-2 near Barrel Spring.","in clearing, decomposed granite substrate.",cch2
SD00010662,500272,2006-04-01,2006,4,1,91,34.16111,-116.51083,1220,NA,integrifolia,FL,San Bernardino,"Little San Bernardino Mountains; Pipes Canyon Preserve; Sorrel Horse Canyon, south of Pioneertown Road along wash and ridge to the south.",Decomposed granite and alluvial soils.,cch2
SD00010444,500273,2010-05-01,2010,5,1,121,33.34685,-116.79642,1629,NA,menziesii,FL,San Diego,"Aguanga Mountain, Cleveland National Forest, along Palomar Mountain Divide Truck Trail, near 5.5 air miles WNW of junction with Highway 79.",Granitic,cch2
SD00010585,500274,2010-05-31,2010,5,31,151,33.36112,-116.67281,1168,NA,integrifolia,FL,San Diego,Cleveland National Forest; Puerta La Cruz Road; 2 miles SE Mitchell Camp Road and Chihuahua Valley Road; 5.7 miles N of Warner Springs and Hwy 79,NA,cch2
SD00010584,500275,2010-05-08,2010,5,8,128,33.36474,-116.67411,1182,NA,integrifolia,FL,San Diego,Cleveland National Forest; Puerta La Cruz Road; 1.75 miles SE Mitchell Camp Road and Chihuahua Valley Road; 6 miles N of Warner Springs and Hwy 79,NA,cch2
SD00010583,500276,2009-06-18,2009,6,18,169,33.3447,-116.868,1528,NA,integrifolia,FL,San Diego,"Palomar Mountain State Park, Fry Creek campground, 2.7 mi. north of the summit of the south Palomar grade, E of Canfield Road",Narrow ravine with numerous granitic outcrops.,cch2
SD00010441,500277,2010-05-08,2010,5,8,128,33.3711,-116.68994000000001,1326,NA,menziesii,FL,San Diego,Cleveland National Forest; Puerta La Cruz Road; about 1 mile SE Mitchell Camp Road and Chihuahua Valley Road; south-east of the junction with Puerta La Cruz Trail.,NA,cch2
SD00010440,500278,2010-06-01,2010,6,1,152,33.39556,-116.70111,1225,NA,menziesii,FL,San Diego,"Chihuahua Valley, Adobe Springs, creekside, ca 1 mile NW of intersection Chihuahua Valley Road and Old Mitchell Camp Road, now under BLM management and slated to be part of the Beauty Mountain Wilderness Area.",Granitic,cch2
SD00010439,500279,2010-05-20,2010,5,20,140,33.38696,-116.68639,1269,NA,menziesii,FL,San Diego,Northern San Diego County; along Old Mitchell Camp Road 0.17 mile N of junction with Chihuahua Valley Road,NA,cch2
SD00010438,500280,2010-04-14,2010,4,14,104,33.37634,-116.71033,1216,NA,menziesii,FL,San Diego,"Cleveland National Forest; along Chihuahua Valley Road, 1.5 miles SW of junction with Mitchell Camp Road at large pullout area northwest of U-curve in the road.",NA,cch2
SD00010437,500281,2010-04-14,2010,4,14,104,33.36631,-116.67929,1206,NA,menziesii,FL,San Diego,"Cleveland National Forest; Puerta La Cruz Road; 1.4 miles SE Mitchell Camp Road and Chihuahua Valley Road at small, dry riverbed that crosses the road.",NA,cch2
SD00010582,500282,2012-04-24,2012,4,24,115,32.66724,-116.4419,970,NA,integrifolia,FFL,San Diego,Mountain Warfare Training Camp Michael Monsoor: La Posta area; east of Morena Reservoir and west of La Posta Road; along a dirt road,granitic substrates,cch2
SD00010445,500284,2011-05-08,2011,5,8,128,33.37167,-116.72833,1048,NA,menziesii,FL,San Diego,"Chihuahua Valley Road, 1.1 mile E of intersection with Highway 79.",Granitic; roadcut in steeply sloping mountainside.,cch2
SD00010591,500285,2009-03-30,2009,3,30,89,32.8237,-117.0219,162,NA,integrifolia,FL,San Diego,"Mission Trails Regional Park, .5 mi. southwest of trailhead at Big Rock Park on Mesa Road in Santee, about 1.0 mi W of Hwy 52.",Red soil with occasional granitic outcrops,cch2
SD00010592,500286,2008-04-11,2008,4,11,102,32.53722,-117.105,70,NA,integrifolia,FL,San Diego,"Border Field State Park, at the eastern base of Bunker Hill, south of city of Imperial Beach. South Mesa, flat area just north of US/Mexico Border fence, 1 mi E of Pacific Ocean and about .1 mi NW of Border Monument 257",marine sediment,cch2
SD00010544,500287,2013-03-26,2013,3,26,85,33.06329,-117.1004,130,NA,integrifolia,FFL,San Diego,Lake Hodges: south of Escondido; southeast of the intersection of Lake Drive and Beech Lane; along the north side of Lake southeast of the boat ramp; on a northeast-facing slope,NA,cch2
SD00010529,500295,2014-04-08,2014,4,8,98,33.44083,-117.40063,725,NA,integrifolia,FFL,San Diego,"Camp Pendleton: northeast portion of Base; Training Area Echo, along a dirt road at the base of the highest ridge of the Santa Margarita Mountains, just northeast of Case Springs Road, west of Margarita Peak & southeast of Case Springs Lake",NA,cch2
SD00010481,500298,2009-04-04,2009,4,4,94,38.65556,-120.67528,607,NA,menziesii,FFL,El Dorado,"Northern Sierra Nevada Mountains Foothills: Happy Valley Road, 0.8 mile west of its junction with Happy Valley Cut-off (Camino 7.5')",NA,cch2
SD00010480,500301,2012-03-22,2012,3,22,82,38.54139,-120.84472,270,NA,menziesii,FL,Amador,"Northern Sierra Nevada Mountains Foothills: Bell Road, 0.2 mile east of its junction with CA-49 (Fiddletown 7.5'Q)",NA,cch2
SD00010478,500306,2008-03-25,2008,3,25,85,35.30722,-119.98611,591,NA,NA,FL,San Luis Obispo,North of Carrizo Plain National Monument. Along Soda Lake Road between College and Belmont Streets.,NA,cch2
SD00010477,500308,2013-04-02,2013,4,2,92,33.73696,-117.42017,377,NA,NA,FL,Riverside,"Peninsular Range: Temescal Canyon between Horsetheif Canyon Road and Hostettler Road, near I-15 Fwy, SE of Corona (Lee) Lake (Albrehill 7.5'Q)",NA,cch2
SD00010579,500312,2015-02-24,2015,2,24,55,33.36227,-117.31402,105,NA,integrifolia,FL,San Diego,Camp Pendleton: east-central portion of Base; India Training Area; north of Lake O'Neill; east of the Santa Margarita River; on a rocky slope just east of De Luz Road along the Fallbrook Weapons Station border,NA,cch2
SD00010475,500313,2013-03-19,2013,3,19,78,33.59833,-117.14194,390,NA,NA,FFL,Riverside,"Perris-Aguanga Basin: Menifee Valley, Los Alamos Road at its crossing of Warm Springs Creek, and hill west of Jeanette Drive (Murrieta 7.5'Q)",NA,cch2
SD00010476,500314,2014-04-04,2014,4,4,94,34.46542,-117.82326,1126,NA,menziesii,FL,Los Angeles,"Western Mojave Desert, approx 3.3 km northeast of Valyermo along Bob's Gap Road approx. 1.6 km southeast of the aqueduct.",NA,cch2
SD00010661,500316,2013-03-30,2013,3,30,89,34.83282,-115.64653,1160,NA,integrifolia,FL,San Bernardino,"HAD83; Granite Mountains; Mohave National Preserve, 0.8 mile north of Gate into UC reserve campground near mouth of Cottoonwood Basin.",NA,cch2
SD00010436,500319,2011-05-09,2011,5,9,129,33.39447,-116.68579,1275,NA,menziesii,FL,San Diego,Chihuahua Valley; along Old Mitchell Camp Road; 0.70 mile N of Chihuahua Valley Road,NA,cch2
SD00010474,500323,2013-03-26,2013,3,26,85,38.56861,-120.84611,262,NA,menziesii,FL,Amador,"Northern Sierra Nevada Foothills: Along CA-49, 1.5 miles south of its junction with Sand Ridge Road, between Plymouth and El Dorado (Fiddletown 7.5'Q)",NA,cch2
SD00010619,500325,2010-04-24,2010,4,24,114,32.72604,-116.94038,125,NA,integrifolia,FFL,San Diego,Rancho San Diego; US Fish & Wildlife Refuge; N side of San Miguel Mountain; W of Millar Ranch Road; 0.37 miles SSW of junction with Highway 94 (Campo Road),"Granitic, near sandy bike path",cch2
SD00010515,500327,2015-05-28,2015,5,28,148,32.85686,-116.42813,1831,NA,integrifolia,FFL,San Diego,Cleveland National Forest. Mount Laguna.,NA,cch2
SD00010528,500328,1990-03-31,1990,3,31,90,33.003660000000004,-117.27198,15,NA,integrifolia,FFL,San Diego,"San Elijo Lagoon Ecological Reserve; South of trail near junction with N. Rios Ave, Solana Beach. West of I-5, east of Hwy 101. South side of Reserve.",shaded n.-facing slope,cch2
SD00010527,500329,2008-03-09,2008,3,9,69,33.00921,-117.24916,6,NA,menziesii,FFL,San Diego,"San Elijo Lagoon Ecological Reserve; South side of trail approx ½ way between trailheads, Santa Carina and Santa Helena. Solana Beach.",Sandy north-facing slope,cch2
SD00010526,500330,2017-05-12,2017,5,12,132,32.68267,-116.69306,700,NA,integrifolia,FFL,San Diego,Cleveland National Forest: Barber Mountain area: west of Barrett Lake and southeast of the junction of Honey Springs Road and Lyons Valley Road; along Forest Rte. 17S10/Barber Mountain Road; along stream in rocky canyon,granite substrates,cch2
SD00010524,500331,1994-05-02,1994,5,2,122,32.80635,-116.54912,1151,NA,integrifolia,FFL,San Diego,"Meadow north of small reservoir, south-east of Corte Madera Valley. North-west of Pine Valley",NA,cch2
SD00010525,500332,1994-05-05,1994,5,5,125,32.76818,-116.54245,1185,NA,integrifolia,FFL,San Diego,"Corte Madera Ranch, west of Pine Valley. West of reservoir, along road edge in Long Valley, approx 1½ mi south of Bear Valley Rd.",NA,cch2
SD00010523,500333,1993-06-01,1993,6,1,152,33.1151,-116.58333,1606,NA,integrifolia,FFL,San Diego,"Volcan Mountains, north of Julian. Near road fork between Ferguson and Simmons Flats.",NA,cch2
SD00010522,500334,1993-05-25,1993,5,25,145,33.13311,-116.58407,1603,NA,integrifolia,FFL,San Diego,"Volcan Mountains, north of Julian. Near road, extension of Farmer (Volcan) Road, Rutherford Ranch.",NA,cch2
SD00010521,500335,2017-03-14,2017,3,14,73,33.38229,-117.28723,245,NA,integrifolia,FFL,San Diego,"Fallbrook Naval Weapons Station: west of Fallbrook; North Magazine, north of Ammunition Road; northwestern part of station; on the northwestern slope of the highest peak on the station",NA,cch2
SD00010520,500337,2011-05-06,2011,5,6,126,32.8447,-116.4486,1785,NA,integrifolia,FL,San Diego,Laguna Mountains; near Sunrise Highway about 1/4 miles S of junction with Kitchen Creek Road,Soil comosed of surface organic loam over decomposed granite base.,cch2
SD00010519,500338,2010-03-20,2010,3,20,79,32.72141,-116.93084,203,NA,integrifolia,FL,San Diego,Rancho San Diego; N side of San Miguel Mountain; along Millar Ranch Road; 0.8 miles SE of intersection with Highway 94 (Campo Road); 45 yds W of Millar Ranch Road on rock bench in seasonal creek,"Granitic, rock bench in creekbed",cch2
SD00010518,500339,2012-04-29,2012,4,29,120,33.105,-116.86028,280,NA,integrifolia,FFL,San Diego,"Cleveland National Forest, Pamo Valley, Santa Ysabel Creek, along Forest route 12504 1/4 mile west of intersection with Pamo Valley Rd.","Granite boulders, D.G. soil, north facing moderate slope",cch2
SD00010517,500340,2010-04-16,2010,4,16,106,33.20222,-116.81806,860,NA,integrifolia,FFL,San Diego,"Cleveland National Forest, west side of Mesa Grande Road, North slope of the ridge above the Patton lode mine along the fence line of private property east of National Forest land.","fairly steep North slope with granite boulders, seeps.",cch2
SD00010516,500341,2010-04-11,2010,4,11,101,32.722,-116.4687,1005,NA,integrifolia,FFL,San Diego,"Cleveland National Forest near Cameron Fire Station, just north of 1-8 and Kitchen Creek Road. 300meters WNW of fire station",Gravelly sandy soil,cch2
SD00010435,500342,2014-04-11,2014,4,11,101,33.21246,-116.46545,1021,NA,menziesii,FFL,San Diego,"Anza-Borrego Desert State Park, Chimney Spring Drainage, 6.14 air miles SW of Borrego Springs and .75 air mile NW of intersection of Old Culp Valley Road and County Hwy. S-22.",Boulders and sand.,cch2
SD00010434,500343,2009-04-04,2009,4,4,94,33.3111,-116.6421,1094,NA,menziesii,FL,San Diego,Cleveland National Forest; Warner Springs; N facing shoulder of Lost Creek Road; vicinity of 2 miles NNE of junction Lost Creek Road and Highway 79,decompsing granite,cch2
SD00010433,500344,2012-04-18,2012,4,18,109,33.12596,-116.5638,980,NA,menziesii,FFL,San Diego,"Arkansas Canyon, NE-flank of Volcan Mountain. San Felipe Valley Wildlife Area, California Fish & Game property. 5.7 air miles NW of intersection of State hwy. 78 and County Road S-2.","Near end of access road. SE-facing slope of canyon, fine sandy soil and rocks.",cch2
SD00010432,500345,2015-03-23,2015,3,23,82,33.22449,-116.47383,1109,NA,menziesii,FL,San Diego,Anza-Borrego Desert State Park; head of South Fork Hellhole Canyon; 6.16 air miles SW of Borrego Springs; 0.91 air mile NW of intersection of County Hwy. S-22 and Culp Valley Campground/Pena Spring Primitive Road.,"Boulders, rocks, gravel, and sand.",cch2
SD00010431,500346,2009-04-04,2009,4,4,94,33.2131,-116.583,1097,NA,menziesii,FL,San Diego,Warner Springs; Northeast facing slope along Pacific Crest Trail; 0.38 mile SE of Barrel Spring trailhead off of Montezuma Rd.,"rocky, decompsing granite",cch2
SD00010513,500348,2008-03-15,2008,3,15,75,33.12421,-117.0055,217,NA,integrifolia,FFL,San Diego,"City of Escondido, San Pasqual Valley, Rancho San Pasqual, 200 m north east of Orchard View and Old Ranch Road Intersection, 300 m north west of Ranchview Place and Rosewood Intersection, top of hill","Decomposed Granite, slight slope, north facing.",cch2
SD00010512,500349,2009-05-12,2009,5,12,132,33.14194,-116.6025,1549,NA,integrifolia,FFL,San Diego,Julian; Rutherford Ranch; Volcan Mtns.; 2.71 miles N of junction Farmer Rd. & Wynola Road; Hunter's Camp area; near Santa Ysabel Crk.,Crouch coarse sandy loam.,cch2
SD00010514,500351,1994-02-28,1994,2,28,59,33.12723,-116.51955,764,NA,integrifolia,FFL,San Diego,"San Felipe Valley, east of S-2, north of Sissors Crossing. Grid I-21.",NA,cch2
SFV112659,607801,1995-04-09,1995,4,9,99,34.3,-118.15,915,1000,NA,Flowering,Los Angeles,"San Gabriel Mountains; Angeles Forest Highway, 3.5 miles north of junction with Angeles Crest Highway. 100 m off highway.","Dominant associates include: Quercus berberidifolia, Eriogonum fasciculatum, and Ceanothus integerrimus. Other associates include Nemophila menziesii, Claytonia perfoliata, Avena barbata, and Castilleja affinis.",cch2
SFV112672,611352,2002-04-04,2002,4,4,94,34.22769444,-118.322,532,1000,integrifolia,Flowering,Los Angeles,Verdugo Mountains; Southwest side. From saddle along main crest where the dirt roads of Verdugo Mountain Way and Chandler Fire Road meet (Thomas Guide 1998 street guide and directory) head north down Wildwood Fire Road (closed road and plants growing back onto road) to old home site near La Tuna Canyon Road.,"Associated with: Mimulus aurantiacus, Eriogonum fasciculatum, Lessingia filaginifolia, Melica imperfecta, Artemisia californica, Eriophyllum confertiflorum, Heteromeles arbutifolia, Cercocarpus betuloides, Adenostoma fasciculatum, Prunus ilicifolia, Lithophragma affine, plus ferns of Aspidotis californica, Polypodium californicum, and Pentagramma triangularis.",cch2
SFV112679,611803,2003-02-10,2003,2,10,41,34.20333333,-118.2647222,823,1000,menziesii,Flowering,Los Angeles,Verdugo Mountains; South side of Verdugo Mountains along dirt road (Brand Park Motorway) to top of crest at Verdugo Motorway. South side of slope at saddle of Verdugo Motorway and Brand Park Motorway on the crest of mountains.,"Fire (Summer-Fall 2002) didn't burn down the north side of the mountains. Plants coming back are: Camissonia californica, Hirschfeldia incana, Ambrosia acanthicarpa, Schismus barbatus, Erodium cicutarium, Filago californica, F. gallica, Lupinus bicolor, Cryptantha intermedia, Pterostegia drymarioides, Bromus madritensis rubens, Lotus strigosus, Nemophila menziesii, and Chenopodium sp. Resprouting on south side of crest were: Malosma laurina, Adenostoma fasciculatum, Yucca whipplei, and Marah macrocarpus. At top of crest were: Arctostaphylos glandulosa, Hazardia squarrosa grindeliodes, and Delphinium cardinale resprouting. Near top but on north side were: Cercocarpus betuloides, Leptodactyloon californicum, Keckiella cordifolia, Ceanothus crassifolius, Arctostaphylos glauca, and Xylococcus bicolor (half of shrub burned and vigorously resprouting back).",cch2
SFV112654,611843,2003-05-29,2003,5,29,149,34.225,-118.321,564,1000,integrifolia,Flowering,Los Angeles,"Verdugo Mountains; West end of Verdugo Mountains at junction (saddle) of Verdugo Motorway and Wildwood Fire Road (abandoned road, as the ranch north of here at mouth of canyon down at La Tuna Canyon burned down a long time ago). Went down into a small draw northeast of saddle, then came back up another canyon to the east of the main fire road on the crest of the ridge (Verdugo Motorway).","Thick chaparral cover on north slope, with open area that harbor annuals and herbaceous perennials. Associated plants included: Adenostoma fasciculatum, Ceanothus crassifolius, Heteromeles arbutifolia, Xylococcus bicolor, Cercocarpus betuloides, Fraxinus dipetala, Rhamnus ilicifolia, Prunus ilicifolia, Lonicera subspicata denudata, Galium angustifoliium, Eriophyllum confertiflorum, Mimulus aurantiacus, Delphinium cardinale, Filago californica, F. gallica, Rafinesquia californica, Uropappus lindleyi, Melica imperfecta, Pterostegia drymarioides, Clarkia unguiculata, C. epilobioides, Agrostis pallens, Hirschfeldia incana, Parietaria hespera californica, Pentagramma triangularis, Dichelostemma capitatum, Eucrypta chrysanthemifolia, Thysanocarpus laciniatus, Crassula connata, Bromus rubens, B. sterilis, Githopsis diffusa, Nemophila menziesii integrifolia, Lomatium lucidum, Senecio vulgaris, and Polycarpon tetraphyllum.",cch2
SFV112664,613394,2002-03-17,2002,3,17,76,38.94,-122.91,460,1000,NA,Flowering,Lake,Highland Springs Dam. Dry hillside above reservoir on northeast side of road.,"Associated plants included: Quercus wislizeni, Q. douglasii, Adenostoma fasciculatum, and Eriodictyon californicum.",cch2
SFV112665,613395,1958-03-29,1958,3,29,88,34.32,-118.51,450,1000,NA,Flowering,Los Angeles,Santa Susana Mountains; Phil Gentile Ranch.,Oak woodland by stream.,cch2
SFV112666,613396,1962-06-02,1962,6,2,153,34.25,-118.19,793,1000,NA,Flowering,Los Angeles,San Gabriel Mountains; Roadside along Route 2 (Angeles Crest Highway) about 5 miles north of La Canada.,NA,cch2
SFV112667,613397,1961-05-20,1961,5,20,140,34.09,-118.61,245,1000,NA,Flowering,Los Angeles,"Santa Monica Mountains; Old Topanga Canyon Road, 0.5 miles west of New Topanga Canyon Road, south of highway.",Wooded area.,cch2
SFV112660,613398,1975-04-03,1975,4,3,93,34.37,-118.44,564,1000,NA,Flowering,Los Angeles,San Gabriel Mountains; Placerita Canyon near Los Pinetos Canyon.,Grassy flats under oaks.,cch2
SFV112678,613399,1998-05-28,1998,5,28,148,34.26666667,-118.1416667,976,1000,menziesii,Flowering,Los Angeles,San Gabriel Mountains; Arroyo Seco near Switzer Picnic Area.,NA,cch2
SFV112652,613400,1965-03-19,1965,3,19,78,38.63,-122.35,150,1000,NA,Flowering,Napa,"Field beside Dollarhide Road, about 3-4 miles east of Pope Valley.",NA,cch2
SFV112653,613401,1974-04-13,1974,4,13,103,38.61,-122.41,207,1000,NA,Flowering,Napa,"1 air mile southwest of Pope Valley, just west of Chiles-Pope Valley Road.",NA,cch2
SFV112662,613402,1995-04-30,1995,4,30,120,34.89,-119.36,1400,1000,NA,Flowering,Kern,"Ventura Mountains; Southeast of Maricopa on Cerro Noroeste Road, 9.7 miles southeast of CA Highway 33.",Pinyon-Juniper Woodland.,cch2
SFV112663,613403,1998-06-12,1998,6,12,163,34.91,-119.4,1300,1000,NA,Flowering,Kern,Ventura Mountains; Roadcut adjacent to Cerro Noroeste Road a few miles from Bitter Creek National Wildlife Refuge.,"Dominant associates included: Quercus john-tuckeri, Bromus tectorum, and Poa bulbosum.",cch2
SFV112677,613404,1999-04-17,1999,4,17,107,35.91666667,-119.4083333,800,1000,menziesii,Flowering,Kern,"Ventura Mountains; San Emigdio Mountains. Cerro Noroeste Road, 4 km south of Cienega Canyon.",NA,cch2
SFV112658,613405,1974-05-24,1974,5,24,144,34.32,-118.31,660,1000,NA,Flowering,Los Angeles,San Gabriel Mountains; Gold Creek Canyon. Side canyon of Little Tujunga Canyon. Watts Ranch.,NA,cch2
SFV112671,613406,1958-04-11,1958,4,11,101,34.32,-118.57,945,1000,NA,Flowering,Los Angeles,"Santa Susana Mountains; Oat Mountain, north slope ravine. Roadside.",NA,cch2
SFV112668,613407,1994-05-14,1994,5,14,134,34.24,-118.02,950,1000,NA,Flowering,Los Angeles,San Gabriel Mountains; 1 miles west on 2N23 from Newcomb's Saddle.,"Chaparral - conifer-oak woodlands. Dominant associates include Pseudotsuga macrocarpa, Quercus berberidifolia, Quercus chrysolepis, Rhus ovata, Ceanothus leucodermis, and Ceanothus integerrimus.",cch2
SFV112669,613408,1962-03-25,1962,3,25,84,34.44,-118.37,610,1000,NA,Flowering,Los Angeles,"San Gabriel Mountains; Soledad Canyon. Small, burnt over canyon west of Bee Canyon, north of River's End Ranch.",NA,cch2
SFV112661,613409,1962-04-08,1962,4,8,98,39.6,-121.5,NA,10000,NA,Flowering,Butte,"Lave outcropping on Table Mountain, north of Oroville.",NA,cch2
SFV112670,613410,1978-04-19,1978,4,19,109,34.22,-118.31,610,1000,integrifolia,Flowering,Los Angeles,Verdugo Mountains; About 2 miles from end of Walnut Ave. on Stough Canyon fire road.,NA,cch2
SFV112674,613411,1961-06-23,1961,6,23,174,39.4,-123.4,525,1000,integrifolia,Flowering,Mendocino,North Coast Ranges; 5 miles west of Willits on CA-Highway 20.,NA,cch2
SFV112655,613412,1965-04-11,1965,4,11,101,39.18,-121.63,20,1000,NA,Flowering,Sutter,Sacramento Valley; 1 mile north of Marysville on Highway 99E. Roadside.,NA,cch2
SFV112656,613413,1962-03-24,1962,3,24,83,38.51,-121.26,38,1000,NA,Flowering,Sacramento,"Sacramento Valley; CA Highway 16 at Eagle's Nest Road, southeast of Sacramento.","Open, grassy meadow with damp, sandy soil.",cch2
SFV112675,613414,1961-03-10,1961,3,10,69,34.09,-118.61,245,1000,integrifolia,Flowering,Los Angeles,"Santa Monica Mountains; Old Topanga Canyon Road, about 0.25 miles west of Topanga Canyon Blvd.",Open grassy field and wooded hillside with Quercus and Rhus.,cch2
SFV112676,613415,1962-06-03,1962,6,3,154,34.26,-117.17,1585,1000,integrifolia,Flowering,San Bernardino,"San Bernardino Mountains; North Shore, Lake Arrowhead. Near Lake Arrowhead Hospital.",NA,cch2
SFV112657,613416,1993-03-19,1993,3,19,78,35.23,-119.9,585,1000,NA,Flowering,San Luis Obispo,"Carrizo Plain; Carrizo Plain Natural Area. Along Soda Lake Road, 2.3 miles northwest of intersection with dirt road leading to Painted Rock and Education Center.","Grassland area dominated by Bromus madritensis, Amsinckia tessellata, Schismus arabicus, and Erodium cicutarium.",cch2
